hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.01666, -0.0557341, 0.0166851, 0.0486308, 0.0166549, 0.00703937, 0, 0
0, 1800.00000, 0.0166588, -0.0514291, 0.0166841, 0.0394359, 0.0166571, 0.0119322, 0, 0
0, 2700.00000, 0.0166579, -0.0532535, 0.0166843, 0.0367111, 0.0166578, 0.0164916, 0, 0
1, 0.00000, 0.0166569, -0.0734709, 0.0166891, 0.0542371, 0.016654, 0.0191315, 0, 0
1, 900.00000, 0.0166594, -0.056309, 0.0166854, 0.0472351, 0.0166552, 0.0090777, 0, 0
1, 1800.00000, 0.0166576, -0.037984, 0.0166813, 0.0250286, 0.0166611, 0.0129659, 0, 0
1, 2700.00000, 0.0166556, -0.0423601, 0.0166823, 0.0229231, 0.0166622, 0.0194017, 0, 0
2, 0.00000, 0.0166605, -0.0275695, 0.0166783, 0.0215951, 0.0166612, 0.00598408, 0, 0
2, 900.00000, 0.0166584, -0.0324219, 0.0166789, 0.0158558, 0.0166628, 0.016551, 0, 0
2, 1800.00000, 0.0166601, -0.0270015, 0.0166775, 0.0156772, 0.0166624, 0.0113242, 0, 0
2, 2700.00000, 0.0166594, -0.0286908, 0.0166779, 0.0154546, 0.0166627, 0.0132259, 0, 0
3, 0.00000, 0.0166592, -0.0301138, 0.0166785, 0.0163005, 0.0166623, 0.013801, 0, 0
3, 900.00000, 0.0166597, -0.0333447, 0.0166794, 0.0224115, 0.016661, 0.0109088, 0, 0
3, 1800.00000, 0.0166592, -0.0336365, 0.0166793, 0.0206597, 0.0166616, 0.0129431, 0, 0
3, 2700.00000, 0.0166586, -0.0351787, 0.0166798, 0.0199997, 0.0166616, 0.0151549, 0, 0
4, 0.00000, 0.0166592, -0.0355134, 0.0166801, 0.0229372, 0.0166607, 0.0125452, 0, 0
4, 900.00000, 0.0166593, -0.0345329, 0.0166799, 0.0221388, 0.0166608, 0.0123593, 0, 0
4, 1800.00000, 0.01666, -0.0300427, 0.0166794, 0.0206591, 0.0166605, 0.00936913, 0, 0
4, 2700.00000, 0.0166596, -0.0324539, 0.01668, 0.0215488, 0.0166604, 0.0108662, 0, 0
5, 0.00000, 0.0166586, -0.0368092, 0.0166814, 0.0237212, 0.01666, 0.0130428, 0, 0
5, 900.00000, 0.0166586, -0.0346683, 0.0166805, 0.0205575, 0.0166609, 0.0140763, 0, 0
5, 1800.00000, 0.0166548, -0.0438994, 0.0166837, 0.0214552, 0.0166616, 0.022424, 0, 0
5, 2700.00000, 0.0166552, -0.0415362, 0.0166828, 0.0205795, 0.016662, 0.0209121, 0, 0
6, 0.00000, 0.0166549, -0.0418176, 0.0166829, 0.0192495, 0.0166622, 0.0225075, 0, 0
6, 900.00000, 0.0166554, -0.0405069, 0.0166827, 0.0204335, 0.0166618, 0.0200087, 0, 0
6, 1800.00000, 0.0166531, -0.0457964, 0.0166837, 0.0180932, 0.0166631, 0.0276802, 0, 0
6, 2700.00000, 0.0166527, -0.0471073, 0.0166837, 0.0169411, 0.0166634, 0.0289985, 0, 0
7, 0.00000, 0.016653, -0.0475969, 0.0166844, 0.0204375, 0.0166626, 0.0271094, 0, 0
