hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0166611, -0.060706, 0.0166865, 0.0559824, 0.0166524, 0.00463403, 0, 0
0, 1800.00000, 0.0166597, -0.0560009, 0.0166855, 0.0454902, 0.0166549, 0.0104416, 0, 0
0, 2700.00000, 0.0166585, -0.0584331, 0.0166858, 0.0423022, 0.0166556, 0.0160712, 0, 0
1, 0.00000, 0.0166577, -0.0807238, 0.0166911, 0.0617326, 0.0166512, 0.0188729, 0, 0
1, 900.00000, 0.01666, -0.0633353, 0.0166874, 0.0543253, 0.0166526, 0.00898993, 0, 0
1, 1800.00000, 0.0166571, -0.0444572, 0.0166836, 0.028912, 0.0166593, 0.0155326, 0, 0
1, 2700.00000, 0.0166549, -0.0490985, 0.0166847, 0.0260823, 0.0166604, 0.0229676, 0, 0
2, 0.00000, 0.0166602, -0.0334283, 0.0166803, 0.0251803, 0.0166595, 0.00825094, 0, 0
2, 900.00000, 0.0166581, -0.0383941, 0.0166809, 0.0195001, 0.016661, 0.0188659, 0, 0
2, 1800.00000, 0.0166598, -0.0330418, 0.0166795, 0.019443, 0.0166607, 0.0135824, 0, 0
2, 2700.00000, 0.0166591, -0.0355453, 0.0166802, 0.0196536, 0.0166608, 0.0158739, 0, 0
3, 0.00000, 0.0166589, -0.0369636, 0.0166808, 0.0205861, 0.0166603, 0.0163553, 0, 0
3, 900.00000, 0.0166594, -0.0407289, 0.0166817, 0.0272302, 0.0166588, 0.0134639, 0, 0
3, 1800.00000, 0.0166588, -0.0408614, 0.0166816, 0.0247468, 0.0166597, 0.0160741, 0, 0
3, 2700.00000, 0.0166582, -0.0423964, 0.0166821, 0.0242618, 0.0166597, 0.0181014, 0, 0
4, 0.00000, 0.0166589, -0.042758, 0.0166824, 0.0273098, 0.0166587, 0.0154093, 0, 0
4, 900.00000, 0.016659, -0.0417843, 0.0166822, 0.0265955, 0.0166588, 0.0151473, 0, 0
4, 1800.00000, 0.0166598, -0.0363082, 0.0166815, 0.0246625, 0.0166587, 0.011621, 0, 0
4, 2700.00000, 0.0166593, -0.0392997, 0.0166822, 0.0258202, 0.0166585, 0.0134368, 0, 0
5, 0.00000, 0.0166583, -0.0434827, 0.0166836, 0.0277789, 0.0166581, 0.0156544, 0, 0
5, 900.00000, 0.0166583, -0.0416152, 0.0166828, 0.0247584, 0.0166589, 0.016816, 0, 0
5, 1800.00000, 0.0166538, -0.0514594, 0.0166863, 0.0243801, 0.0166599, 0.0270393, 0, 0
5, 2700.00000, 0.0166543, -0.0491324, 0.0166854, 0.0236131, 0.0166603, 0.0254647, 0, 0
6, 0.00000, 0.0166539, -0.0494907, 0.0166856, 0.0222498, 0.0166605, 0.0271047, 0, 0
6, 900.00000, 0.0166544, -0.048241, 0.0166855, 0.023467, 0.0166601, 0.0246618, 0, 0
6, 1800.00000, 0.0166518, -0.0540993, 0.0166867, 0.0205412, 0.0166615, 0.0335138, 0, 0
6, 2700.00000, 0.0166515, -0.0551324, 0.0166867, 0.0197219, 0.0166618, 0.0352237, 0, 0
7, 0.00000, 0.0166518, -0.0560287, 0.0166874, 0.0232705, 0.0166608, 0.0326897, 0, 0
7, 900.00000, 0.0166516, -0.0551249, 0.0166874, 0.0223749, 0.0166609, 0.0325229, 0, 0
7, 1800.00000, 0.0166524, -0.0542757, 0.0166868, 0.0228273, 0.0166609, 0.0313733, 0, 0
7, 2700.00000, 0.0166519, -0.0550411, 0.0166871, 0.0228475, 0.016661, 0.0321176, 0, 0
