bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group,Chosen_Parquet
531208,0,1678,74751.0,80-100%,,3,Cold,Not in a census Place,G2600930,,Single-Family Attached,2,Natural Gas,72F,Yes,3F,Night +1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,1,50%,104%,Occupied,Natural Gas Standard,Natural Gas,11.66,0.0,18.48,0,40,0.0,130.1235551564667,0.0,0.0,0.0,5536.112515553278,0.0,0.0,0.0,0.0,9514.25922207102,0.0,2250.492747852494,12039.945704815233,0.0,0.0,0.0,0.0,17576.05822036851,13107.0,26378.0,2188.0,8.3454,7.4263,11.177,21.973,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_894.parquet
10381,0,1678,55104.0,80-100%,,4,Cold,Not in a census Place,G2600770,,Single-Family Attached,1,Natural Gas,62F,No,0F,,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,100%,104%,Occupied,Natural Gas Standard,Natural Gas,10.47,0.0,31.45,0,40,0.0,244.4212725236333,0.0,0.0,0.0,4971.95070547175,0.0,0.0,0.0,0.0,9581.37249714046,0.0,4247.479020006017,14609.88591915545,0.0,0.0,0.0,0.0,19581.8366246272,9464.0,26989.0,6695.0,8.289299999999999,7.537,10.475,36.789,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_305.parquet
49048,0,1207,73741.0,80-100%,,4,Cold,"MI, Lansing",G2600650,,Single-Family Attached,2,Natural Gas,72F,Yes,3F,Night -3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,4,200%,104%,Occupied,Electric Standard,Electricity,11.17,0.0,21.69,0,50,0.0,311.5345475930722,0.0,0.0,6933.7684492046055,15437.518621321804,0.0,0.0,0.0,0.0,12228.976545076315,0.0,0.0,15093.453184939615,0.0,0.0,0.0,0.0,30530.97180626142,8378.0,34408.0,22629.0,12.5581,12.7433,9.028,23.337,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_871.parquet
523472,0,3228,54023.0,100-120%,,2,Cold,Not in a census Place,G2600250,,Single-Family Attached,1,Natural Gas,70F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,200%,104%,Occupied,Natural Gas Tankless,Natural Gas,9.02,0.0,20.05,0,0,0.0,196.65068808556111,0.0,0.0,0.0,8386.228672978139,0.0,0.0,0.0,0.0,8878.001928727128,0.0,3350.095403138672,14765.5066574169,0.0,0.0,0.0,0.0,23151.73533039504,5253.0,28691.0,8620.0,9.0971,10.4232,8.166,21.569,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_966.parquet
169556,0,1207,74877.0,100-120%,,1,Cold,"MI, Grand Rapids",G2600810,,Single-Family Attached,2,Natural Gas,65F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,2,100%,104%,Occupied,Natural Gas Standard,Natural Gas,2.44,0.0,23.33,0,30,0.0,209.25274410296663,0.0,0.0,0.0,5751.519752129861,0.0,0.0,0.0,0.0,9506.932445316716,0.0,4479.298236512244,13986.23068182896,0.0,0.0,0.0,0.0,19737.75043395882,3108.0,30719.0,7557.0,8.7355,9.387,3.286,27.097,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_958.parquet
530429,0,872,54023.0,80-100%,,1,Cold,"MI, Southfield",G2601250,,Single-Family Attached,1,Natural Gas,75F,No,0F,,"AC, SEER 8",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,200%,104%,Occupied,Natural Gas Tankless,Natural Gas,7.54,0.0,9.71,0,0,0.0,23.44568561377778,0.0,0.0,0.0,6899.186062924284,0.0,0.0,0.0,0.0,3131.7574558603665,0.0,3114.173191650033,6245.637576440227,0.0,0.0,0.0,0.0,13144.823639364511,8438.0,9965.0,8013.0,6.3386000000000005,4.9853000000000005,6.905,12.744,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_520.parquet
255062,0,2152,50507.0,80-100%,,3,Cold,"MI, Troy",G2601250,,Single-Family Attached,1,Natural Gas,70F,Yes,3F,Night +5h,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,2,200%,104%,Occupied,Natural Gas Standard,Natural Gas,10.05,0.0,35.98,0,40,0.0,449.27795057401664,0.0,0.0,0.0,8099.898237419879,0.0,0.0,0.0,0.0,17575.76514929834,0.0,6514.676818858327,25027.683250567432,0.0,0.0,0.0,0.0,33127.58148798731,9634.0,49459.0,13392.0,7.8693,8.1658,10.092,37.289,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_314.parquet
329472,0,1207,47457.0,80-100%,,3,Cold,In another census Place,G2601210,,Single-Family Attached,2,Natural Gas,75F,Yes,3F,Night -3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,3,100%,104%,Occupied,Natural Gas Standard,Natural Gas,13.91,0.0,35.15,0,40,0.0,481.5157682929611,0.0,0.0,0.0,5329.790482152033,0.0,0.0,0.0,0.0,21968.02127796944,0.0,5224.871039030378,29079.390795698404,0.0,0.0,0.0,0.0,34409.18127785044,9737.0,70893.0,10052.0,2.9221,1.9681,12.231,38.362,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_1276.parquet
519249,0,1207,50608.0,80-100%,,2,Cold,Not in a census Place,G2600990,,Single-Family Attached,1,Natural Gas,62F,Yes,12F,Night +1h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,4,100%,104%,Occupied,Natural Gas Premium,Natural Gas,12.05,0.0,26.5,0,30,0.0,102.57487456027778,0.0,0.0,0.0,7641.24201260035,0.0,0.0,0.0,0.0,4064.6026722185497,0.0,5224.871039030378,10760.397412443312,0.0,0.0,0.0,0.0,18401.63942504366,11153.0,11350.0,11730.0,8.8753,8.7373,10.477,24.816,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_491.parquet
163888,0,1678,74986.0,80-100%,,2,Cold,In another census Place,G2600450,,Single-Family Attached,2,Natural Gas,68F,Yes,3F,Night +1h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,5,200%,104%,Occupied,Electric Standard,Electricity,18.58,0.0,62.97,0,30,0.0,652.0831311331945,0.0,0.0,8436.636897047762,19487.17466896157,0.0,0.0,0.0,0.0,29527.496461991734,0.0,0.0,29527.496461991734,0.0,0.0,0.0,0.0,49014.671130953306,10297.0,95363.0,27676.0,13.8851,13.2862,11.965,65.316,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_298.parquet
510025,0,1678,68718.0,100-120%,,5,Cold,"MI, Wyoming",G2600810,,Single-Family Attached,1,Natural Gas,70F,Yes,3F,Night +1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,2,100%,104%,Occupied,Natural Gas Standard,Natural Gas,7.53,0.0,14.9,0,50,0.0,214.8210944362389,0.0,0.0,0.0,5684.11340599025,0.0,0.0,0.0,0.0,8440.44682096,0.0,4266.528639567211,14212.481548001915,0.0,0.0,0.0,0.0,19896.594953992164,5394.0,23745.0,7562.0,13.1916,13.3185,6.368,17.443,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_427.parquet
433379,0,1207,54023.0,100-120%,,3,Cold,"MI, Portage",G2600770,,Single-Family Attached,3,Electricity,60F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,50000-59999,1,100%,104%,Occupied,Electric Standard,Electricity,9.86,0.0,17.3,0,50,3933.892974921739,0.0,0.0,0.0,1681.348729578039,11632.869988346016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11632.869988346016,10297.0,13422.0,4578.0,12.3544,17.3522,8.708,17.3,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_119.parquet
519249,0,1207,50608.0,80-100%,,2,Cold,Not in a census Place,G2600990,,Single-Family Attached,1,Natural Gas,62F,Yes,12F,Night +1h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,4,100%,104%,Occupied,Natural Gas Premium,Natural Gas,12.05,0.0,26.5,0,30,0.0,102.57487456027778,0.0,0.0,0.0,7641.24201260035,0.0,0.0,0.0,0.0,4064.6026722185497,0.0,5224.871039030378,10760.397412443312,0.0,0.0,0.0,0.0,18401.63942504366,11153.0,11350.0,11730.0,8.8753,8.7373,10.477,24.816,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Mid,res_1224.parquet
