hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 7350.22, 18.0373, 7022.91, 17.3374, 7252.52, 18.9183
0, 1800.00000, 7149.88, 18.1963, 6849.41, 17.2538, 7066.48, 18.8875
0, 2700.00000, 7072.18, 18.0841, 6731, 17.3695, 7047.59, 18.7982
1, 0.00000, 7071.04, 18.2785, 6825.05, 17.705, 7184.68, 18.9589
1, 900.00000, 7015.37, 18.3764, 6757.29, 17.6516, 7072.71, 19.1415
1, 1800.00000, 7004.44, 19.025, 6773.85, 18.0243, 7128.59, 19.436
1, 2700.00000, 6995.96, 19.2383, 6755.27, 18.0939, 7077.71, 19.5156
2, 0.00000, 6950.85, 19.5418, 6716.41, 18.2219, 7082.78, 19.6672
2, 900.00000, 6959.72, 19.7547, 6681.88, 18.4927, 7117.1, 19.8271
2, 1800.00000, 6867.3, 19.5048, 6606.94, 18.3953, 7053.05, 19.8695
2, 2700.00000, 6777.84, 19.4474, 6535.91, 18.3134, 6970.89, 19.8155
3, 0.00000, 6715.03, 19.4309, 6577.5, 18.2811, 6974.1, 19.7602
3, 900.00000, 6709.91, 19.4459, 6633.85, 18.3815, 7000.31, 19.8607
3, 1800.00000, 6317.74, 18.6534, 6290.78, 17.606, 6571.09, 19.0903
3, 2700.00000, 6393.72, 18.8662, 6341.04, 17.891, 6612.12, 19.2366
4, 0.00000, 6368.88, 18.7749, 6317.82, 17.8405, 6577.07, 19.2223
4, 900.00000, 6398.24, 18.9454, 6329.37, 18.0305, 6633.35, 19.3184
4, 1800.00000, 6501.05, 19.2682, 6423.51, 18.3228, 6718.05, 19.5581
4, 2700.00000, 6535.54, 19.3265, 6420.09, 18.3539, 6745.38, 19.6329
5, 0.00000, 6515.4, 19.3144, 6405.65, 18.3697, 6717.43, 19.691
5, 900.00000, 6523.13, 19.2931, 6436.28, 18.4273, 6736.26, 19.6219
5, 1800.00000, 6817.66, 19.5944, 6677.85, 18.6717, 6984.26, 19.8827
5, 2700.00000, 6707.3, 18.4258, 6623.12, 18.0534, 6973.83, 19.3861
6, 0.00000, 6677.73, 17.9485, 6567.69, 17.6692, 6932.57, 18.9734
6, 900.00000, 6759.89, 18.0522, 6647.09, 17.7524, 7008.96, 18.915
6, 1800.00000, 7015.58, 18.134, 6894.3, 17.8301, 7336.32, 19.029
6, 2700.00000, 8456.75, 19.7057, 8113.47, 19.1369, 8780.98, 20.7069
7, 0.00000, 8689.68, 20.0276, 8336.42, 19.2746, 9108.25, 21.0748
7, 900.00000, 8804.21, 19.7667, 8493.37, 19.2376, 9246.44, 20.7487
7, 1800.00000, 8908.39, 20.1903, 8517.42, 19.146, 9335.52, 21.0687
7, 2700.00000, 8596.68, 20.2661, 8230.12, 19.1361, 8954.8, 20.8218
8, 0.00000, 8681.77, 20.4322, 8282.19, 19.3303, 9031.67, 21.0108
8, 900.00000, 8793.33, 20.3406, 8482.58, 19.2564, 9255.26, 20.997
8, 1800.00000, 9163.53, 20.9848, 8838.56, 19.8177, 9673.34, 21.7371
8, 2700.00000, 8466.59, 20.241, 8290.53, 19.2448, 8978.43, 21.0355
9, 0.00000, 7981.2, 18.9803, 7862.13, 18.3956, 8353.21, 19.8593
9, 900.00000, 7829.91, 18.2971, 7779.69, 18.1094, 8222.39, 19.5065
9, 1800.00000, 7704.21, 18.4647, 7584.91, 18.0589, 8024.05, 19.4705
9, 2700.00000, 7473.15, 17.8204, 7385.07, 17.5512, 7817.9, 18.953
