dataset,rows,column_count,output_file
residential,442130,62,outputs\canadian_proxy\residential_data_SELECT_STATES_MI_VT_WA_MT_MN.csv
commercial,154644,100,outputs\canadian_proxy\commercial_data_SELECT_STATES_MI_VT_WA_MT_MN.csv
