hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 900.00000, 6077.75, 12.5531, 5281.18, 12.1758, 5418.45, 12.4301
0, 1800.00000, 5904.7, 12.8485, 5206.22, 12.4009, 5270.23, 12.6711
0, 2700.00000, 5815.93, 12.9161, 5127.91, 12.4406, 5198.13, 12.8072
1, 0.00000, 5719.2, 13.048, 5153.62, 12.4652, 5245.14, 12.7636
1, 900.00000, 5736.54, 13.2283, 5147.42, 12.834, 5275.52, 13.0572
1, 1800.00000, 5559.38, 13.2872, 4964.97, 12.8239, 5182.66, 13.026
1, 2700.00000, 5438.92, 13.4288, 4914.43, 12.8013, 5126.34, 13.0066
2, 0.00000, 5376.67, 13.4666, 4867.16, 12.7522, 5109.81, 13.5595
2, 900.00000, 5267.42, 13.4831, 4720.92, 12.7726, 4990.23, 13.4332
2, 1800.00000, 5308.34, 13.6334, 4751.71, 12.9654, 4902.91, 13.3051
2, 2700.00000, 5294.74, 13.6811, 4683.97, 13.1274, 4856.99, 13.4321
3, 0.00000, 5232.89, 13.7976, 4604.23, 13.2478, 4851.31, 13.3547
3, 900.00000, 5260.09, 13.8055, 4635.04, 13.2672, 4897.05, 13.3947
3, 1800.00000, 5249.12, 13.7885, 4630.33, 13.2639, 4887.03, 13.3408
3, 2700.00000, 5209.59, 13.7839, 4579.78, 13.2525, 4801.95, 13.433
4, 0.00000, 5319.77, 14.1037, 4675.47, 13.5671, 4907.55, 13.7179
4, 900.00000, 5241.83, 13.9553, 4644.59, 13.3591, 4823.52, 13.5783
4, 1800.00000, 5444.69, 14.5205, 4801.11, 13.8357, 4963.86, 14.0192
4, 2700.00000, 5415.65, 14.3286, 4779.16, 13.6823, 4973.98, 13.9298
5, 0.00000, 5434.04, 14.4101, 4814.62, 13.7156, 4975.92, 13.9769
5, 900.00000, 5325.7, 14.4286, 4692.27, 13.8328, 4837.85, 13.9894
