Unnamed: 0,Values,Differentiator
72,0.1288,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
73,0.1288,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
74,0.1288,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
75,0.1288,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
76,0.1288,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
77,0.1288,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
78,0.10948,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
79,0.10948,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
80,0.10948,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
81,0.10948,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
82,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
83,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
84,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
85,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
86,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
87,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
88,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
89,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
90,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
91,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
92,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
93,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
94,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
95,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
96,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
97,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
98,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
99,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
100,0.1030399999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
101,0.0837199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
102,0.0837199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
103,0.0837199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
104,0.0837199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
105,0.0837199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
106,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
107,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
108,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
109,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
110,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
111,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
112,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
113,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
114,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
115,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
116,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
117,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
118,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
119,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
120,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
121,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
122,0.07728,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
123,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
124,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
125,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
126,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
127,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
128,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
129,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
130,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
131,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
132,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
133,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
134,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
135,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
136,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
137,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
138,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
139,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
140,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
141,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
142,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
143,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
144,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
145,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
146,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
147,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
148,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
149,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
150,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
151,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
152,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
153,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
154,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
155,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
156,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
157,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
158,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
159,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
160,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
161,0.0515199999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
162,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
163,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
164,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
165,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
166,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
167,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
168,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
169,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
170,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
171,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
172,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
173,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
