folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_MT,184193,159698.56035201822,337041.0149029016,159698.56035201822,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",177342.45455088338,0.0,8,2
parquet_commercial_202512_comm_MT,184194,529956.4174245757,652606.3756644884,529956.4174245757,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",122649.95823991275,0.0,1,9
parquet_commercial_202512_comm_MT,184202,621168.0460163825,822322.3688838135,621168.0460163825,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",201154.32286743098,0.0,8,2
parquet_commercial_202512_comm_MT,184207,384381.40981073125,384381.40981073125,384381.40981073125,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184209,802511.3004811589,802511.3004811589,802511.3004811589,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184213,918435.9546152302,918435.9546152302,918435.9546152302,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184217,1503916.0486519032,1503916.0486519032,1503916.0486519032,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184220,217249.26402453845,136318.1688650876,136318.1688650876,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-80931.09515945087,-80931.09515945087,1,2
parquet_commercial_202512_comm_MT,184221,1122188.9171658726,1421302.90883363,1122188.9171658726,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",299113.9916677573,0.0,1,9
parquet_commercial_202512_comm_MT,184223,488980.7406090291,488980.7406090291,488980.7406090291,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184224,510436.40248521,646622.0058001466,510436.40248521,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",136185.60331493663,0.0,1,9
parquet_commercial_202512_comm_MT,184227,2091012.3936827048,2091012.3936827048,2091012.3936827048,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184233,964595.1715132117,1140221.549769742,964595.1715132117,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",175626.37825653027,0.0,1,9
parquet_commercial_202512_comm_MT,184234,2674979.291727468,3161357.638597567,2654424.7135186926,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",486378.3468700992,-20554.57820877526,1,2
parquet_commercial_202512_comm_MT,184237,3300418.343519476,3300418.343519476,3300418.343519476,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184241,643837.7416429279,788489.4330277261,643837.7416429279,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",144651.69138479827,0.0,1,9
parquet_commercial_202512_comm_MT,184246,402698.9401557926,606703.2571178192,402698.9401557926,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",204004.31696202658,0.0,1,9
parquet_commercial_202512_comm_MT,184252,1538155.9928084603,1847060.395912925,1538155.9928084603,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",308904.40310446476,0.0,1,9
parquet_commercial_202512_comm_MT,184258,1873506.0093377505,2496338.365149178,1873506.0093377505,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",622832.3558114276,0.0,1,9
parquet_commercial_202512_comm_MT,184261,538276.0713887166,538276.0713887166,538276.0713887166,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184262,1234927.4895828776,1234927.4895828776,1234927.4895828776,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184266,336469.86218991125,462150.2100330497,336469.86218991125,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",125680.34784313844,0.0,1,9
parquet_commercial_202512_comm_MT,184267,204936.34143555528,243721.0519335098,204936.34143555528,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",38784.71049795451,0.0,1,9
