bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
21,0,3310,82516.0,150%+,,4,Cold,In another census Place,G2600430,,Single-Family Detached,2,Propane,67F,Yes,12F,Night,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,80000-99999,3,200%,85%,Occupied,Propane Standard,Propane,10.1,0.0,47.56,0,40,0.0,589.0728510461666,0.0,0.0,0.0,11801.385853695045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22851.33748346851,0.0,10170.7384192568,34158.898583923365,45960.28443761841,6283.0,64016.99999999999,22928.0,6.2568,7.2243,9.559,49.699,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
28,0,2179,89096.0,150%+,,3,Cold,In another census Place,G2601550,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +2h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,50%,85%,Occupied,Natural Gas Premium,Natural Gas,3.84,0.0,93.12,0,40,0.0,659.1168368173278,0.0,0.0,0.0,7069.4603546943445,0.0,0.0,0.0,0.0,27153.03465145639,0.0,2405.5273439736,30209.179771212323,0.0,0.0,0.0,0.0,37278.64012590667,7177.0,72622.0,4052.0,8.312899999999999,8.7448,5.456,61.571,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
46,0,1698,73741.0,100-120%,,4,Cold,Not in a census Place,G2601470,,Single-Family Detached,2,Natural Gas,68F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,4,50%,85%,Occupied,Natural Gas Standard,Natural Gas,3.81,0.0,65.55,0,40,0.0,657.3584103962944,0.0,0.0,0.0,5896.003789724767,0.0,0.0,0.0,0.0,29955.08715337301,0.0,4535.567881985311,36530.72275482716,0.0,0.0,0.0,0.0,42426.72654455192,3970.0,96781.0,8146.000000000001,2.3557,2.3522,5.74,60.248,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
119,0,322,11140.0,0-30%,,1,Cold,Not in a census Place,G2601030,,20 to 49 Unit,4,Natural Gas,68F,Yes,3F,Day +3h,"Room AC, EER 9.8",40% Conditioned,Room AC,Shared Heating,Ducted Heating,Natural Gas Shared Heating,,,,10000-14999,1,200%,89%,Occupied,Natural Gas Standard,Natural Gas,1.98,0.0,3.6,0,30,0.0,49.82208192927778,0.0,0.0,0.0,3676.8696463807,0.0,0.0,0.0,0.0,583.5045007128945,0.0,5051.959107628766,6469.250802981634,0.0,0.0,0.0,0.0,10146.120449362334,4099.0,1769.0,9008.0,5.1229,5.845,4.162,8.617,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
138,0,1138,4849.0,0-30%,,1,Cold,"MI, Flint",G2600490,,2 Unit,2,Natural Gas,67F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,<10000,1,100%,96%,Occupied,Natural Gas Premium,Natural Gas,15.19,0.0,38.7,0,30,0.0,344.6515785225333,0.0,0.0,0.0,4401.048260776261,0.0,0.0,0.0,0.0,15657.0288528808,0.0,2395.8559986579166,18747.756358917057,0.0,0.0,0.0,0.0,23148.80461969332,12964.0,50591.0,4213.0,3.155,2.5119,15.521,36.839,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
232,0,2179,54023.0,60-80%,,5,Cold,Not in a census Place,G2600990,,Single-Family Detached,1,Other Fuel,70F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,50000-59999,7,100%,85%,Occupied,Electric Standard,Electricity,10.18,0.0,70.51,0,66,0.0,0.0,0.0,0.0,7528.995792724389,21734.44363504217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21734.44363504217,5443.0,98398.0,24643.0,13.0404,12.6806,9.015,52.854,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
292,0,634,0.0,Not Available,,3,Cold,Not in a census Place,G2600410,,Single-Family Detached,1,Propane,55F,No,0F,,"AC, SEER 8",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,Not Available,0,50%,85%,Vacant,Propane Standard,Propane,15.57,0.0,41.02,0,40,0.0,193.13383524349445,0.0,0.0,0.0,5118.779311628034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7635.087520126734,0.0,1665.2298207185668,9300.610411915472,14419.389723543503,6041.0,21500.0,0.0,1.8744,1.1793,9.377,22.433,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
331,0,1698,87842.0,120-150%,,3,Cold,Not in a census Place,G2601390,,Single-Family Detached,1,Natural Gas,70F,Yes,3F,Night -2h,"AC, SEER 15",60% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,1,50%,85%,Occupied,Natural Gas Standard,Natural Gas,10.25,0.0,63.64,0,40,0.0,1088.7590256898054,0.0,0.0,0.0,4603.853441335439,0.0,0.0,0.0,0.0,43056.53627435202,0.0,2157.003076467556,45213.24627974941,0.0,0.0,0.0,0.0,49817.09972108484,6847.0,121159.0,1924.0,3.4469000000000003,4.1637,10.939,65.657,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
415,0,634,27012.0,30-60%,,3,Cold,In another census Place,G2601630,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,25000-29999,1,50%,85%,Occupied,Natural Gas Standard,Natural Gas,12.91,0.0,31.34,0,40,0.0,433.74518385488886,0.0,0.0,0.0,4118.52774913024,0.0,0.0,0.0,0.0,17142.899178653966,0.0,2294.7464794485,19699.651194836435,0.0,0.0,0.0,0.0,23818.178943966675,11632.0,48219.0,1953.0,2.7616,2.1557,11.71,36.608,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
494,0,3310,109096.0,150%+,,4,Cold,Not in a census Place,G2600550,,Single-Family Detached,2,Natural Gas,70F,Yes,6F,Night -1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,3,100%,85%,Occupied,Natural Gas Standard,Natural Gas,28.2,0.0,100.42,0,40,0.0,1535.9854787726165,0.0,0.0,0.0,17636.72393189416,0.0,0.0,0.0,0.0,60760.6665523858,0.0,6065.398868284312,67773.27111946674,0.0,0.0,0.0,0.0,85409.9950513609,34926.0,170643.0,11936.0,6.1414,6.1886,25.878,98.884,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
