hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 58.7568, 179.999, 58.8778, 179.87, 59.0874, -179.87, 0, 0
0, 1800.00000, 0.587506, 0.0143135, 0.588382, -0.181458, 0.591329, 0.16643, 0, 0
0, 2700.00000, 0.587267, -0.026632, 0.588803, -0.156072, 0.591148, 0.18211, 0, 0
1, 0.00000, 0.587074, 0.0120232, 0.588337, -0.178766, 0.591802, 0.165705, 0, 0
1, 900.00000, 0.587126, 0.0282145, 0.58822, -0.17731, 0.591868, 0.148166, 0, 0
1, 1800.00000, 0.587227, 0.0260711, 0.58834, -0.162423, 0.591648, 0.135673, 0, 0
1, 2700.00000, 0.587103, 0.0543801, 0.587995, -0.195246, 0.592115, 0.139846, 0, 0
2, 0.00000, 0.58736, 0.0748741, 0.587799, -0.19556, 0.592055, 0.119844, 0, 0
2, 900.00000, 0.587062, 0.0425137, 0.588192, -0.185729, 0.59196, 0.142334, 0, 0
2, 1800.00000, 0.586884, 0.0603488, 0.587852, -0.216592, 0.592481, 0.155139, 0, 0
2, 2700.00000, 0.586684, 0.05556, 0.587888, -0.227756, 0.592647, 0.170951, 0, 0
3, 0.00000, 0.58646, 0.0518202, 0.587945, -0.253598, 0.592816, 0.200339, 0, 0
3, 900.00000, 0.586376, 0.0481556, 0.587915, -0.252166, 0.592928, 0.202376, 0, 0
3, 1800.00000, 0.586465, 0.0426161, 0.587997, -0.242748, 0.592754, 0.198445, 0, 0
3, 2700.00000, 0.586152, 0.0399542, 0.587947, -0.266685, 0.593121, 0.224808, 0, 0
4, 0.00000, 0.586195, 0.0528707, 0.587773, -0.274293, 0.593252, 0.219441, 0, 0
4, 900.00000, 0.586043, 0.0459542, 0.587801, -0.278057, 0.593377, 0.230041, 0, 0
4, 1800.00000, 0.585717, 0.0615611, 0.587531, -0.322013, 0.593977, 0.257813, 0, 0
4, 2700.00000, 0.585621, 0.0592577, 0.587511, -0.324227, 0.594092, 0.262103, 0, 0
5, 0.00000, 0.585557, 0.0599476, 0.587479, -0.327004, 0.594188, 0.264124, 0, 0
5, 900.00000, 0.585542, 0.0760475, 0.587209, -0.349612, 0.594475, 0.270383, 0, 0
5, 1800.00000, 0.585642, 0.0723463, 0.587436, -0.352625, 0.594151, 0.277353, 0, 0
5, 2700.00000, 0.586102, 0.0985677, 0.586973, -0.329588, 0.594149, 0.228338, 0, 0
6, 0.00000, 0.58573, 0.102576, 0.586767, -0.355379, 0.594732, 0.249639, 0, 0
6, 900.00000, 0.585765, 0.091317, 0.586958, -0.350611, 0.594504, 0.256145, 0, 0
6, 1800.00000, 0.586039, 0.106579, 0.586819, -0.346113, 0.594369, 0.236613, 0, 0
6, 2700.00000, 0.58592, 0.0991931, 0.586962, -0.367738, 0.594347, 0.26536, 0, 0
7, 0.00000, 0.586199, 0.0842223, 0.586895, -0.352525, 0.594137, 0.265321, 0, 0
7, 900.00000, 0.586091, 0.0688509, 0.587087, -0.340274, 0.59405, 0.268373, 0, 0
7, 1800.00000, 0.58656, 0.0108714, 0.587836, -0.323354, 0.592832, 0.309884, 0, 0
7, 2700.00000, 0.58662, 0.00315834, 0.58785, -0.311263, 0.592758, 0.305623, 0, 0
8, 0.00000, 0.58664, 0.00457011, 0.58789, -0.311541, 0.592697, 0.304483, 0, 0
8, 900.00000, 0.586546, 0.000515838, 0.587804, -0.32912, 0.592878, 0.325689, 0, 0
8, 1800.00000, 0.586101, 0.0664711, 0.587217, -0.355518, 0.59391, 0.285912, 0, 0
8, 2700.00000, 0.585812, 0.0781147, 0.58714, -0.342689, 0.594275, 0.261571, 0, 0
9, 0.00000, 0.585346, 0.0698979, 0.5874, -0.381496, 0.594487, 0.308157, 0, 0
9, 900.00000, 0.585244, 0.0701192, 0.587574, -0.386382, 0.594422, 0.313335, 0, 0
9, 1800.00000, 0.585042, 0.051965, 0.587759, -0.384037, 0.594427, 0.328285, 0, 0
9, 2700.00000, 0.585239, 0.0732391, 0.587448, -0.389479, 0.594548, 0.312839, 0, 0
10, 0.00000, 0.585713, 0.0800996, 0.587198, -0.353673, 0.594313, 0.270288, 0, 0
10, 900.00000, 0.585902, 0.0648515, 0.587426, -0.333197, 0.593899, 0.265617, 0, 0
10, 1800.00000, 0.585772, 0.0575545, 0.587447, -0.336199, 0.594009, 0.275775, 0, 0
10, 2700.00000, 0.585542, 0.0378207, 0.587781, -0.327848, 0.593906, 0.287251, 0, 0
11, 0.00000, 0.585836, 0.0520947, 0.587625, -0.316779, 0.593765, 0.262114, 0, 0
11, 900.00000, 0.586737, 0.0615454, 0.5875, -0.271827, 0.592984, 0.208449, 0, 0
11, 1800.00000, 0.587404, 0.062044, 0.587571, -0.228012, 0.592243, 0.164698, 0, 0
11, 2700.00000, 0.587314, 0.0629795, 0.587763, -0.231931, 0.592141, 0.167754, 0, 0
12, 0.00000, 0.587271, 0.0435195, 0.588134, -0.207868, 0.591815, 0.163531, 0, 0
12, 900.00000, 0.587432, 0.0409598, 0.588281, -0.191529, 0.591504, 0.149866, 0, 0
12, 1800.00000, 0.587064, 0.0352129, 0.588217, -0.204015, 0.591936, 0.167833, 0, 0
12, 2700.00000, 0.587203, 0.0443499, 0.587998, -0.19907, 0.592016, 0.153837, 0, 0
13, 0.00000, 0.587243, 0.0540691, 0.58782, -0.209637, 0.592151, 0.154328, 0, 0
13, 900.00000, 0.586811, 0.0257142, 0.588204, -0.20756, 0.592202, 0.180687, 0, 0
13, 1800.00000, 0.586485, -0.00744876, 0.588531, -0.217316, 0.592202, 0.223346, 0, 0
13, 2700.00000, 0.587223, -0.00563468, 0.588654, -0.1809, 0.59134, 0.18569, 0, 0
14, 0.00000, 0.587606, 0.0034607, 0.588587, -0.15694, 0.591021, 0.152868, 0, 0
14, 900.00000, 0.587793, 0.00331923, 0.588686, -0.137525, 0.590739, 0.134061, 0, 0
14, 1800.00000, 0.587283, -0.0376009, 0.589245, -0.131007, 0.590686, 0.168071, 0, 0
14, 2700.00000, 0.587378, -0.0425298, 0.589435, -0.107757, 0.5904, 0.149932, 0, 0
15, 0.00000, 0.587719, -0.0359905, 0.589316, -0.0944243, 0.590178, 0.130222, 0, 0
15, 900.00000, 0.5876, -0.0301303, 0.589204, -0.0954039, 0.590407, 0.125182, 0, 0
15, 1800.00000, 0.587958, -0.0123537, 0.589015, -0.0901217, 0.590239, 0.102261, 0, 0
15, 2700.00000, 0.587976, -0.021133, 0.58901, -0.0833936, 0.590226, 0.104324, 0, 0
16, 0.00000, 0.587954, -0.00874025, 0.588886, -0.0975056, 0.590372, 0.105954, 0, 0
16, 900.00000, 0.588045, 0.0109549, 0.588762, -0.110653, 0.590406, 0.099493, 0, 0
16, 1800.00000, 0.587955, 0.023624, 0.588624, -0.122264, 0.590633, 0.098363, 0, 0
16, 2700.00000, 0.587755, -0.0110375, 0.58903, -0.111326, 0.590428, 0.122063, 0, 0
17, 0.00000, 0.587416, -0.0537873, 0.589562, -0.09426, 0.590236, 0.147658, 0, 0
17, 900.00000, 0.587602, -0.0835398, 0.589876, -0.0844155, 0.589737, 0.167729, 0, 0
17, 1800.00000, 0.587805, -0.0718323, 0.589659, -0.0954213, 0.589749, 0.167007, 0, 0
17, 2700.00000, 0.587772, -0.00195992, 0.588836, -0.13214, 0.590605, 0.1337, 0, 0
18, 0.00000, 0.587758, -0.00282117, 0.588813, -0.116314, 0.590641, 0.118744, 0, 0
18, 900.00000, 0.587651, -0.00172361, 0.588799, -0.122981, 0.590763, 0.124292, 0, 0
18, 1800.00000, 0.587888, 0.00409036, 0.588766, -0.112197, 0.590556, 0.107648, 0, 0
18, 2700.00000, 0.587949, 0.00371721, 0.588814, -0.11597, 0.590447, 0.111793, 0, 0
19, 0.00000, 0.588286, 0.0186489, 0.588662, -0.102503, 0.590264, 0.0836159, 0, 0
19, 900.00000, 0.588299, 0.0082931, 0.588804, -0.0853395, 0.590107, 0.0768009, 0, 0
19, 1800.00000, 0.588678, -0.00924606, 0.589071, -0.0645256, 0.589461, 0.0737163, 0, 0
19, 2700.00000, 0.58839, -0.018071, 0.589106, -0.0616635, 0.589716, 0.0796267, 0, 0
20, 0.00000, 0.588345, -0.00373534, 0.589015, -0.060886, 0.58985, 0.064515, 0, 0
20, 900.00000, 0.588326, 0.00723901, 0.588859, -0.0619747, 0.590026, 0.0546324, 0, 0
20, 1800.00000, 0.588476, 0.00722438, 0.588813, -0.0467029, 0.589921, 0.0393934, 0, 0
20, 2700.00000, 0.588784, 0.0181724, 0.588735, -0.0284153, 0.589691, 0.0102178, 0, 0
21, 0.00000, 0.58869, 0.0118447, 0.588728, -0.0393796, 0.589792, 0.0274827, 0, 0
21, 900.00000, 0.588913, 0.00624109, 0.588894, -0.0378234, 0.589402, 0.0315519, 0, 0
21, 1800.00000, 0.588686, -0.0150491, 0.589221, -0.0539139, 0.589304, 0.0689601, 0, 0
21, 2700.00000, 0.587968, -0.0855139, 0.590019, -0.0307835, 0.589224, 0.116117, 0, 0
