bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
503672,0,881,42184.0,60-80%,,1,Cold,Not in a census Place,G5000270,,Single-Family Detached,1,Propane,67F,Yes,6F,Night +1h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Propane Fuel Furnace,,,,40000-44999,1,100%,99%,Occupied,Electric Premium,Electricity,2.41,0.0,37.17,0,30,0.0,313.29297401410554,0.0,0.0,1488.5079654047163,5913.881125005271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14301.2820822641,0.0,0.0,14301.2820822641,20215.16320726937,2769.0,46086.0,4380.0,7.865399999999999,7.7976,3.298,40.237,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
503706,0,1228,68718.0,100-120%,,3,Cold,Not in a census Place,G5000050,,Single-Family Detached,2,Other Fuel,70F,Yes,3F,Night -1h,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,60000-69999,2,100%,99%,Occupied,Propane Premium,Propane,0.0,0.0,57.25,0,40,0.0,0.0,0.0,0.0,0.0,5460.7932505190165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4284.405974847717,5097.971265645805,10558.764516164822,0.0,90190.0,8916.0,6.2106,6.5474,0.0,59.108,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
505059,0,1228,63747.0,100-120%,,3,Cold,Not in a census Place,G5000250,,Mobile Home,1,Fuel Oil,68F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,60000-69999,2,200%,137%,Occupied,Electric Standard,Electricity,20.55,0.0,41.32,0,50,0.0,444.8818845214333,0.0,0.0,5080.973143575817,17875.869925154693,22163.499681774305,0.0,0.0,22163.499681774305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40039.369606929,28034.0,62014.0,16245.000000000002,13.1465,14.009799999999998,21.622,44.914,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
506926,0,2179,42401.0,30-60%,,5,Cold,Not in a census Place,G5000070,,Single-Family Detached,2,Fuel Oil,67F,No,0F,,"Room AC, EER 9.8",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,40000-44999,5,100%,99%,Occupied,Fuel Oil Standard,Fuel Oil,4.71,0.0,107.21,0,50,0.0,1256.688748898489,0.0,0.0,0.0,7497.344117145789,50130.9788372393,0.0,7817.670796844028,57948.64963408333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65445.99375122912,4172.0,141122.0,17574.0,4.1839,4.4522,6.413,92.174,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
508283,0,2678,47457.0,80-100%,,4,Cold,In another census Place,G5000250,,Single-Family Detached,2,Fuel Oil,72F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,45000-49999,1,100%,99%,Occupied,FIXME Fuel Oil Indirect,Fuel Oil,6.88,0.0,105.04,0,40,0.0,284.27893806705555,0.0,0.0,0.0,5690.854040604211,71062.99388214992,0.0,2957.673240178067,74020.37405125782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79711.22809186204,4841.0,189515.0,4037.0,10.5187,8.1576,6.516,108.82,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
508666,0,1228,129243.0,150%+,,3,Cold,In another census Place,G5000070,,Single-Family Detached,1,Fuel Oil,70F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,120000-139999,3,50%,99%,Occupied,Fuel Oil Standard,Fuel Oil,4.04,0.0,65.17,0,40,0.0,895.9182615164833,0.0,0.0,0.0,6274.358541317105,35738.55165215164,0.0,3752.188911414961,39490.7405635666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.8433384281724,46714.94244331188,3102.0,100606.0,6737.0,2.7588000000000004,3.1955,4.328,63.457,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
508812,0,2179,270137.0,150%+,,3,Cold,Not in a census Place,G5000110,,Single-Family Detached,1,Fuel Oil,62F,No,0F,,"Room AC, EER 9.8",80% Conditioned,Room AC,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,200000+,4,200%,99%,Occupied,Fuel Oil Standard,Fuel Oil,19.81,0.0,60.94,0,40,0.0,139.50182940197777,0.0,0.0,0.0,11674.486080310471,20805.11527152605,0.0,12354.410963110027,33159.52623463608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44834.01231494656,17727.0,54187.0,29395.0,8.1431,7.2078,18.701,51.68,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
508945,0,1698,149501.0,150%+,,3,Cold,"VT, Burlington",G5000070,,Single-Family Detached,2,Other Fuel,70F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,140000-159999,3,100%,99%,Occupied,Electric Premium,Electricity,0.0,0.0,44.68,0,50,0.0,0.0,0.0,0.0,3891.983811887111,8577.897152870772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.2056987966224,9525.102851667394,0.0,68617.0,12488.0,11.9955,13.017,0.0,46.782,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
509684,0,854,4229.0,0-30%,,2,Cold,In another census Place,G5000190,,5 to 9 Unit,2,Fuel Oil,70F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,Shared Heating,Non-Ducted Heating,Fuel Oil Shared Heating,,,,<10000,3,100%,94%,Occupied,Electric Standard,Electricity,2.37,0.0,13.05,0,30,0.0,92.02431603407778,0.0,0.0,2974.085220107711,7235.04550934165,4594.182096019756,0.0,0.0,4594.182096019756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11829.227605361406,2116.0,11683.0,9082.0,4.9474,5.2738000000000005,2.361,13.968,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
509692,0,1698,64407.0,120-150%,,3,Cold,Not in a census Place,G5000170,,Single-Family Detached,1,Fuel Oil,68F,No,0F,,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,60000-69999,1,100%,99%,Occupied,Electric Standard,Electricity,0.0,0.0,69.4,0,50,0.0,647.3939940104389,0.0,0.0,1602.2195406315388,7810.344020089722,25168.65043532028,0.0,0.0,25168.65043532028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32978.99445540999,0.0,70905.0,4420.0,12.893,14.2388,0.0,74.017,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
