bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
123527,0,1207,64407.0,80-100%,,2,Cold,"VT, Burlington",G5000070,,Single-Family Attached,1,Natural Gas,67F,Yes,6F,Night -5h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,1,100%,84%,Occupied,Natural Gas Premium,Natural Gas,6.67,0.0,21.13,0,30,0.0,240.31827754122224,0.0,0.0,0.0,4320.746787549072,0.0,0.0,0.0,0.0,9595.7329795789,0.0,2543.8568890948886,12139.296797603616,0.0,0.0,0.0,0.0,16460.04358515269,8058.0,26955.0,4485.0,6.693899999999999,7.9238,5.809,25.881,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
130791,0,854,64407.0,100-120%,,1,Cold,In another census Place,G5000050,,5 to 9 Unit,3,Other Fuel,68F,Yes,6F,Night +4h,"Room AC, EER 8.5",60% Conditioned,Room AC,Shared Heating,Non-Ducted Heating,Other Fuel Shared Heating,,,,60000-69999,1,100%,94%,Occupied,Natural Gas Standard,Natural Gas,6.67,0.0,41.84,0,30,0.0,123.38292054250554,0.0,0.0,0.0,3621.1861430479776,0.0,0.0,0.0,0.0,0.0,0.0,3442.1197191727497,3442.1197191727497,0.0,0.0,0.0,0.0,7063.305862220727,5503.0,49524.0,4428.0,5.423,4.2249,8.931,36.625,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
131189,0,2678,54023.0,100-120%,,4,Cold,Not in a census Place,G5000270,,Single-Family Detached,1,Fuel Oil,65F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,50000-59999,1,200%,99%,Occupied,Propane Standard,Propane,4.24,0.0,68.81,0,40,0.0,805.3593008332667,0.0,0.0,0.0,9577.269502158051,31897.26913540432,0.0,0.0,31897.26913540432,0.0,0.0,0.0,0.0,0.0,0.0,4572.494836827012,5388.111625116306,46862.65026267868,1810.0,89805.0,8077.0,12.9631,13.7621,4.523,75.311,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
133099,0,2179,110733.0,100-120%,,4,Cold,"VT, Burlington",G5000070,,Single-Family Detached,1,Fuel Oil,67F,Yes,3F,Night -4h,"Room AC, EER 10.7",60% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,100000-119999,4,200%,99%,Occupied,Fuel Oil Standard,Fuel Oil,8.35,0.0,45.44,0,40,0.0,375.4240408906167,0.0,0.0,0.0,11981.624561850962,17264.23060170527,0.0,12612.020433791413,29876.25103549668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41857.87559734764,14473.0,55704.0,30554.0,6.6778,6.5897,11.416,44.75,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
134740,0,1698,64828.0,80-100%,,3,Cold,Not in a census Place,G5000150,,Single-Family Detached,1,Fuel Oil,67F,No,0F,,,,,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,60000-69999,4,200%,99%,Occupied,Fuel Oil Standard,Fuel Oil,0.0,0.0,21.02,0,40,0.0,183.1694188576389,0.0,0.0,0.0,9312.040183652189,9263.683457073772,0.0,12732.472643632194,21996.156100705968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31308.19628435816,0.0,24910.0,31155.0,10.2033,11.2075,0.0,27.929,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
136446,0,2678,55104.0,80-100%,,3,Cold,Not in a census Place,G5000190,,Single-Family Detached,2,Fuel Oil,70F,Yes,3F,Night +1h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,50000-59999,2,100%,99%,Occupied,Electric Premium,Electricity,5.44,0.0,129.42,0,50,0.0,1666.6951760694278,0.0,0.0,2712.958896584261,9494.916531439656,64822.04544283245,0.0,0.0,64822.04544283245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74316.96197427211,1564.0,182394.0,8465.0,10.5432,11.4628,5.646,120.299,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
138321,0,2179,63747.0,100-120%,,4,Cold,Not in a census Place,G5000230,,Single-Family Detached,1,Fuel Oil,75F,Yes,3F,Night -5h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,60000-69999,2,50%,99%,Occupied,Fuel Oil Standard,Fuel Oil,3.5,0.0,85.93,0,40,0.0,1147.080168654078,0.0,0.0,0.0,5350.598528134262,44603.072311650845,0.0,3401.089769348639,48004.455152069655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53355.05368020391,1466.0,125594.0,4807.0,7.0804,8.544,3.452,85.952,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
139149,0,1228,82516.0,100-120%,,3,Cold,In another census Place,G5000230,,Mobile Home,1,Propane,70F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,80000-99999,3,50%,137%,Occupied,Propane Tankless,Propane,0.0,0.0,23.07,0,0,0.0,0.0,0.0,0.0,0.0,5005.946949611727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17561.697737930073,0.0,2402.303562201705,19964.00130013178,24969.948249743506,0.0,35952.0,6182.0,5.1705,5.3916,0.0,26.705,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
142044,0,1228,85012.0,100-120%,,3,Cold,In another census Place,G5000230,,Mobile Home,1,Other Fuel,67F,No,0F,,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,80000-99999,5,100%,137%,Occupied,Electric Standard,Electricity,2.17,0.0,56.7,0,50,0.0,0.0,0.0,0.0,6235.673160054373,15342.856665656176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15342.856665656176,2201.0,76543.0,20151.0,11.778,12.2678,3.646,54.135,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
149154,0,2179,64828.0,80-100%,,4,Cold,Not in a census Place,G5000090,,Single-Family Detached,2,Fuel Oil,68F,Yes,3F,Night -3h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Boiler, 90% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,60000-69999,4,100%,99%,Occupied,Fuel Oil Standard,Fuel Oil,3.11,0.0,40.52,0,40,0.0,215.99337871692777,0.0,0.0,0.0,6543.98392587555,18845.05595421424,0.0,8106.052729893494,26951.108684107727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33495.09260998328,2992.0,56145.0,17451.0,7.5956,8.1487,3.854,39.033,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT,Mid
