Source_File,State,Matched_Buildings,Tolerance
res_100.parquet,VT,[497783],15
res_1003.parquet,VT,"[37943, 121582]",10
res_1006.parquet,VT,[278917],50
res_1009.parquet,VT,[78265],60
res_101.parquet,VT,"[1652, 14811, 58386, 65278, 77343, 89035, 101102, 377437, 513274]",5
res_1012.parquet,VT,"[78265, 78442]",80
res_1013.parquet,VT,[468623],15
res_1014.parquet,VT,"[78265, 78442, 277891]",90
res_1015.parquet,VT,"[69777, 75771, 81046, 177787, 296256, 343556, 421082]",15
res_1019.parquet,VT,"[4840, 17018, 40854, 48621, 60690, 81676, 92497, 142044, 142442, 142534, 143513, 147074, 150972, 168837, 206820, 211076, 228420, 262655, 266897, 294849, 304597, 325661, 331213, 375335, 414209, 422915, 432662, 448393, 456567, 481202, 491841, 492628, 495873, 501496, 508945]",25
res_1020.parquet,VT,"[49640, 231009, 322837, 350472, 352206, 363860, 468623, 481202, 494122, 495873, 538885]",15
res_1023.parquet,VT,[525668],5
res_1032.parquet,VT,[78265],35
res_1034.parquet,VT,"[48621, 60690, 69777, 81046, 81676, 92497, 142044, 143513, 262655, 294849, 296256, 375335, 414209, 422915, 491841, 501496, 508945]",20
res_1036.parquet,VT,"[274704, 522487]",25
res_1037.parquet,VT,[497783],10
res_104.parquet,VT,[409888],10
res_1040.parquet,VT,[518272],20
res_1041.parquet,VT,"[314826, 449271]",20
res_1042.parquet,VT,[337643],15
res_1043.parquet,VT,"[92408, 122024, 207112, 243599, 267793, 283003]",15
res_105.parquet,VT,[78265],45
res_1052.parquet,VT,[382852],25
res_1054.parquet,VT,"[63111, 83135, 183018, 192504, 201807, 211317, 259706, 278355, 302565, 316529, 518147]",15
res_106.parquet,VT,[436698],30
res_1066.parquet,VT,"[179247, 179823, 245654, 266897, 294849, 317144, 330113, 431799, 452452, 536400, 538765]",10
res_1067.parquet,VT,"[404803, 508283]",20
res_1069.parquet,VT,[78265],30
res_1070.parquet,VT,"[39951, 103422, 108578, 185244, 202812, 240561, 279739, 289955, 452016, 464380, 468672, 509684, 510277, 521619]",15
