bldg_id,Occurrence_Count,Unique_Source_Files
325853,7,"['com_13649.parquet', 'com_14749.parquet', 'com_14166.parquet', 'com_12805.parquet', 'com_13545.parquet', 'com_14124.parquet', 'com_14590.parquet']"
325681,16,"['com_12806.parquet', 'com_14242.parquet', 'com_14074.parquet', 'com_13051.parquet', 'com_13569.parquet', 'com_13932.parquet', 'com_14971.parquet', 'com_13568.parquet', 'com_14155.parquet', 'com_14592.parquet', 'com_13400.parquet', 'com_13319.parquet', 'com_15071.parquet', 'com_13023.parquet', 'com_13534.parquet', 'com_15222.parquet']"
325866,9,"['com_12806.parquet', 'com_14242.parquet', 'com_14074.parquet', 'com_13051.parquet', 'com_14155.parquet', 'com_14592.parquet', 'com_15071.parquet', 'com_13023.parquet', 'com_15222.parquet']"
325865,1,['com_12809.parquet']
326013,3,"['com_12809.parquet', 'com_13625.parquet', 'com_13404.parquet']"
325728,15,"['com_14619.parquet', 'com_13513.parquet', 'com_15118.parquet', 'com_14862.parquet', 'com_14026.parquet', 'com_14039.parquet', 'com_14795.parquet', 'com_12812.parquet', 'com_15032.parquet', 'com_14291.parquet', 'com_15266.parquet', 'com_13811.parquet', 'com_14677.parquet', 'com_13187.parquet', 'com_13456.parquet']"
325892,5,"['com_12813.parquet', 'com_13645.parquet', 'com_13031.parquet', 'com_15105.parquet', 'com_12814.parquet']"
325530,3,"['com_12814.parquet', 'com_14825.parquet', 'com_13311.parquet']"
325690,4,"['com_12814.parquet', 'com_13311.parquet', 'com_14825.parquet', 'com_12976.parquet']"
325888,8,"['com_12976.parquet', 'com_13858.parquet', 'com_12816.parquet', 'com_13311.parquet', 'com_14523.parquet', 'com_14595.parquet', 'com_12814.parquet', 'com_14825.parquet']"
326001,9,"['com_13880.parquet', 'com_12976.parquet', 'com_14897.parquet', 'com_13858.parquet', 'com_13269.parquet', 'com_13096.parquet', 'com_13172.parquet', 'com_12814.parquet', 'com_13956.parquet']"
325742,2,"['com_12815.parquet', 'com_14498.parquet']"
325895,8,"['com_14244.parquet', 'com_13842.parquet', 'com_13164.parquet', 'com_13303.parquet', 'com_12815.parquet', 'com_13925.parquet', 'com_13088.parquet', 'com_13567.parquet']"
325869,7,"['com_14693.parquet', 'com_15043.parquet', 'com_12816.parquet', 'com_13311.parquet', 'com_12967.parquet', 'com_14962.parquet', 'com_14204.parquet']"
325943,1,['com_12816.parquet']
326031,16,"['com_13996.parquet', 'com_13233.parquet', 'com_14686.parquet', 'com_15043.parquet', 'com_13292.parquet', 'com_14136.parquet', 'com_12816.parquet', 'com_12965.parquet', 'com_14635.parquet', 'com_15069.parquet', 'com_15105.parquet', 'com_14949.parquet', 'com_12842.parquet', 'com_14998.parquet', 'com_13267.parquet', 'com_14901.parquet']"
325559,32,"['com_12817.parquet', 'com_14158.parquet', 'com_14606.parquet', 'com_13397.parquet', 'com_12848.parquet', 'com_13564.parquet', 'com_14687.parquet', 'com_13571.parquet', 'com_14925.parquet', 'com_12893.parquet', 'com_13427.parquet', 'com_13137.parquet', 'com_14413.parquet', 'com_12852.parquet', 'com_14233.parquet', 'com_14237.parquet', 'com_12972.parquet', 'com_14069.parquet', 'com_13016.parquet', 'com_13714.parquet', 'com_12923.parquet', 'com_13169.parquet', 'com_14818.parquet', 'com_15044.parquet', 'com_13477.parquet', 'com_14587.parquet', 'com_12821.parquet', 'com_13112.parquet', 'com_14137.parquet', 'com_13368.parquet', 'com_13795.parquet', 'com_15008.parquet']"
326053,5,"['com_12817.parquet', 'com_13795.parquet', 'com_13714.parquet', 'com_15008.parquet', 'com_13477.parquet']"
325558,6,"['com_13562.parquet', 'com_12977.parquet', 'com_12819.parquet', 'com_13601.parquet', 'com_15066.parquet', 'com_14115.parquet']"
325957,4,"['com_13601.parquet', 'com_12819.parquet', 'com_13740.parquet', 'com_15066.parquet']"
325654,5,"['com_12824.parquet', 'com_15153.parquet', 'com_14547.parquet', 'com_14989.parquet', 'com_13257.parquet']"
325925,18,"['com_14247.parquet', 'com_14987.parquet', 'com_13978.parquet', 'com_14505.parquet', 'com_14093.parquet', 'com_14167.parquet', 'com_13809.parquet', 'com_13289.parquet', 'com_14870.parquet', 'com_13517.parquet', 'com_14564.parquet', 'com_14567.parquet', 'com_14543.parquet', 'com_14111.parquet', 'com_14992.parquet', 'com_12826.parquet', 'com_14484.parquet', 'com_14576.parquet']"
325823,10,"['com_12831.parquet', 'com_13941.parquet', 'com_13406.parquet', 'com_14178.parquet', 'com_13683.parquet', 'com_13325.parquet', 'com_13497.parquet', 'com_14287.parquet', 'com_14504.parquet', 'com_12917.parquet']"
325532,7,"['com_14012.parquet', 'com_13723.parquet', 'com_14727.parquet', 'com_12832.parquet', 'com_14910.parquet', 'com_15077.parquet', 'com_14101.parquet']"
325566,4,"['com_14910.parquet', 'com_12832.parquet', 'com_13723.parquet', 'com_14101.parquet']"
325717,5,"['com_14012.parquet', 'com_14727.parquet', 'com_14910.parquet', 'com_12832.parquet', 'com_14101.parquet']"
325939,28,"['com_14349.parquet', 'com_13274.parquet', 'com_13333.parquet', 'com_14978.parquet', 'com_13248.parquet', 'com_14256.parquet', 'com_13059.parquet', 'com_14248.parquet', 'com_13146.parquet', 'com_12841.parquet', 'com_14868.parquet', 'com_14708.parquet', 'com_14477.parquet', 'com_15170.parquet', 'com_15061.parquet', 'com_14855.parquet', 'com_13791.parquet', 'com_13004.parquet', 'com_12854.parquet', 'com_13964.parquet', 'com_15022.parquet', 'com_13666.parquet', 'com_14481.parquet', 'com_13810.parquet', 'com_13957.parquet', 'com_14850.parquet', 'com_13893.parquet', 'com_14432.parquet']"
325539,7,"['com_12965.parquet', 'com_15000.parquet', 'com_12920.parquet', 'com_13509.parquet', 'com_12842.parquet', 'com_14998.parquet', 'com_12878.parquet']"
325522,3,"['com_15000.parquet', 'com_12843.parquet', 'com_14668.parquet']"
325768,4,"['com_15000.parquet', 'com_12843.parquet', 'com_14129.parquet', 'com_14668.parquet']"
325523,5,"['com_14262.parquet', 'com_13335.parquet', 'com_12846.parquet', 'com_14567.parquet', 'com_14543.parquet']"
325739,3,"['com_13501.parquet', 'com_12846.parquet', 'com_13534.parquet']"
325859,6,"['com_14701.parquet', 'com_14951.parquet', 'com_14121.parquet', 'com_13230.parquet', 'com_14630.parquet', 'com_12847.parquet']"
325573,16,"['com_14158.parquet', 'com_14606.parquet', 'com_14237.parquet', 'com_14137.parquet', 'com_14818.parquet', 'com_13793.parquet', 'com_13016.parquet', 'com_12848.parquet', 'com_12893.parquet', 'com_13427.parquet', 'com_13948.parquet', 'com_14185.parquet', 'com_15044.parquet', 'com_13169.parquet', 'com_13423.parquet', 'com_14587.parquet']"
325660,8,"['com_13141.parquet', 'com_14395.parquet', 'com_14237.parquet', 'com_14494.parquet', 'com_12848.parquet', 'com_13418.parquet', 'com_15044.parquet', 'com_14187.parquet']"
325960,14,"['com_12852.parquet', 'com_13339.parquet', 'com_14158.parquet', 'com_14233.parquet', 'com_14606.parquet', 'com_14137.parquet', 'com_14925.parquet', 'com_12972.parquet', 'com_13016.parquet', 'com_13427.parquet', 'com_14414.parquet', 'com_13948.parquet', 'com_13169.parquet', 'com_13477.parquet']"
325648,2,"['com_14059.parquet', 'com_12855.parquet']"
325767,4,"['com_14059.parquet', 'com_14183.parquet', 'com_12855.parquet', 'com_13305.parquet']"
325901,6,"['com_14183.parquet', 'com_12935.parquet', 'com_12855.parquet', 'com_14059.parquet', 'com_13023.parquet', 'com_13305.parquet']"
325659,18,"['com_14097.parquet', 'com_12857.parquet', 'com_12975.parquet', 'com_13468.parquet', 'com_13425.parquet', 'com_14420.parquet', 'com_14671.parquet', 'com_15271.parquet', 'com_14127.parquet', 'com_12884.parquet', 'com_15020.parquet', 'com_14828.parquet', 'com_13135.parquet', 'com_14194.parquet', 'com_14032.parquet', 'com_14545.parquet', 'com_14268.parquet', 'com_15238.parquet']"
325935,21,"['com_12857.parquet', 'com_12894.parquet', 'com_13135.parquet', 'com_13786.parquet', 'com_14164.parquet', 'com_13391.parquet', 'com_13824.parquet', 'com_13221.parquet', 'com_13212.parquet', 'com_15001.parquet', 'com_12884.parquet', 'com_13085.parquet', 'com_13126.parquet', 'com_14583.parquet', 'com_15131.parquet', 'com_13462.parquet', 'com_13618.parquet', 'com_13123.parquet', 'com_13223.parquet', 'com_14450.parquet', 'com_13747.parquet']"
325563,9,"['com_14876.parquet', 'com_13766.parquet', 'com_14620.parquet', 'com_13653.parquet', 'com_12863.parquet', 'com_13537.parquet', 'com_13601.parquet', 'com_14800.parquet', 'com_13534.parquet']"
325929,12,"['com_14346.parquet', 'com_14620.parquet', 'com_13321.parquet', 'com_14472.parquet', 'com_12863.parquet', 'com_13537.parquet', 'com_13601.parquet', 'com_14800.parquet', 'com_14807.parquet', 'com_15115.parquet', 'com_13116.parquet', 'com_13486.parquet']"
326002,10,"['com_14346.parquet', 'com_14876.parquet', 'com_14472.parquet', 'com_12863.parquet', 'com_13601.parquet', 'com_13537.parquet', 'com_14807.parquet', 'com_15189.parquet', 'com_13116.parquet', 'com_13486.parquet']"
325879,7,"['com_14876.parquet', 'com_12866.parquet', 'com_14620.parquet', 'com_13653.parquet', 'com_13601.parquet', 'com_13537.parquet', 'com_14807.parquet']"
326052,7,"['com_12866.parquet', 'com_14620.parquet', 'com_14092.parquet', 'com_13653.parquet', 'com_13537.parquet', 'com_15071.parquet', 'com_13534.parquet']"
326015,13,"['com_14781.parquet', 'com_13011.parquet', 'com_14838.parquet', 'com_13569.parquet', 'com_13760.parquet', 'com_12871.parquet', 'com_14255.parquet', 'com_15135.parquet', 'com_14859.parquet', 'com_15222.parquet', 'com_13193.parquet', 'com_13894.parquet', 'com_13009.parquet']"
325521,8,"['com_15247.parquet', 'com_13499.parquet', 'com_13689.parquet', 'com_13577.parquet', 'com_13891.parquet', 'com_14824.parquet', 'com_13509.parquet', 'com_12878.parquet']"
325555,3,"['com_13080.parquet', 'com_14646.parquet', 'com_12885.parquet']"
325613,2,"['com_14646.parquet', 'com_12885.parquet']"
325716,17,"['com_13217.parquet', 'com_15226.parquet', 'com_13063.parquet', 'com_15215.parquet', 'com_15059.parquet', 'com_13655.parquet', 'com_14052.parquet', 'com_15233.parquet', 'com_12891.parquet', 'com_14518.parquet', 'com_13641.parquet', 'com_13623.parquet', 'com_14250.parquet', 'com_13372.parquet', 'com_13210.parquet', 'com_14348.parquet', 'com_13898.parquet']"
325796,21,"['com_13090.parquet', 'com_15040.parquet', 'com_14464.parquet', 'com_13044.parquet', 'com_13264.parquet', 'com_14531.parquet', 'com_12998.parquet', 'com_14316.parquet', 'com_14330.parquet', 'com_12896.parquet', 'com_13372.parquet', 'com_14264.parquet', 'com_13973.parquet', 'com_14192.parquet', 'com_15265.parquet', 'com_14797.parquet', 'com_13508.parquet', 'com_14682.parquet', 'com_14427.parquet', 'com_14639.parquet', 'com_13413.parquet']"
326016,15,"['com_14158.parquet', 'com_13239.parquet', 'com_14237.parquet', 'com_14206.parquet', 'com_14494.parquet', 'com_14818.parquet', 'com_13793.parquet', 'com_12903.parquet', 'com_13948.parquet', 'com_13991.parquet', 'com_13418.parquet', 'com_13294.parquet', 'com_13169.parquet', 'com_13423.parquet', 'com_14187.parquet']"
325600,13,"['com_13011.parquet', 'com_14242.parquet', 'com_13766.parquet', 'com_15133.parquet', 'com_12907.parquet', 'com_14092.parquet', 'com_14971.parquet', 'com_14309.parquet', 'com_15115.parquet', 'com_15071.parquet', 'com_13534.parquet', 'com_15222.parquet', 'com_12982.parquet']"
325788,11,"['com_13596.parquet', 'com_14349.parquet', 'com_14978.parquet', 'com_13248.parquet', 'com_12911.parquet', 'com_13868.parquet', 'com_12961.parquet', 'com_13884.parquet', 'com_14212.parquet', 'com_14899.parquet', 'com_13348.parquet']"
325984,26,"['com_13043.parquet', 'com_14070.parquet', 'com_14353.parquet', 'com_13538.parquet', 'com_14981.parquet', 'com_13585.parquet', 'com_13479.parquet', 'com_14512.parquet', 'com_15171.parquet', 'com_13551.parquet', 'com_13047.parquet', 'com_14801.parquet', 'com_13420.parquet', 'com_14552.parquet', 'com_13882.parquet', 'com_14437.parquet', 'com_14748.parquet', 'com_12914.parquet', 'com_14369.parquet', 'com_13922.parquet', 'com_13652.parquet', 'com_13969.parquet', 'com_15174.parquet', 'com_14644.parquet', 'com_13989.parquet', 'com_13010.parquet']"
325567,7,"['com_12916.parquet', 'com_14162.parquet', 'com_14746.parquet', 'com_15212.parquet', 'com_13393.parquet', 'com_13636.parquet', 'com_15111.parquet']"
325746,1,['com_12917.parquet']
325931,1,['com_12917.parquet']
325891,12,"['com_14362.parquet', 'com_13899.parquet', 'com_14459.parquet', 'com_14527.parquet', 'com_14534.parquet', 'com_13144.parquet', 'com_13069.parquet', 'com_13853.parquet', 'com_14520.parquet', 'com_14989.parquet', 'com_15092.parquet', 'com_12921.parquet']"
325617,13,"['com_14994.parquet', 'com_13904.parquet', 'com_13194.parquet', 'com_14364.parquet', 'com_13024.parquet', 'com_12926.parquet', 'com_14018.parquet', 'com_13577.parquet', 'com_15234.parquet', 'com_14314.parquet', 'com_13079.parquet', 'com_14266.parquet', 'com_15242.parquet']"
325715,5,"['com_13420.parquet', 'com_12935.parquet', 'com_14937.parquet', 'com_15027.parquet', 'com_14176.parquet']"
325740,1,['com_12935.parquet']
325819,4,"['com_12939.parquet', 'com_14916.parquet', 'com_12970.parquet', 'com_13466.parquet']"
325867,12,"['com_13138.parquet', 'com_13466.parquet', 'com_13562.parquet', 'com_12939.parquet', 'com_13613.parquet', 'com_13190.parquet', 'com_14916.parquet', 'com_14196.parquet', 'com_15165.parquet', 'com_12966.parquet', 'com_14822.parquet', 'com_13414.parquet']"
325703,7,"['com_14741.parquet', 'com_13502.parquet', 'com_14723.parquet', 'com_12941.parquet', 'com_15157.parquet', 'com_14883.parquet', 'com_13515.parquet']"
326000,6,"['com_14056.parquet', 'com_13887.parquet', 'com_12941.parquet', 'com_13515.parquet', 'com_14117.parquet', 'com_14277.parquet']"
325775,1,['com_12942.parquet']
325840,1,['com_12942.parquet']
325665,10,"['com_13037.parquet', 'com_15205.parquet', 'com_13144.parquet', 'com_12953.parquet', 'com_14219.parquet', 'com_13081.parquet', 'com_13262.parquet', 'com_14102.parquet', 'com_13346.parquet', 'com_13448.parquet']"
325989,11,"['com_13100.parquet', 'com_13847.parquet', 'com_13769.parquet', 'com_14605.parquet', 'com_14709.parquet', 'com_15264.parquet', 'com_12955.parquet', 'com_14295.parquet', 'com_13056.parquet', 'com_13797.parquet', 'com_14294.parquet']"
325787,5,"['com_14490.parquet', 'com_14693.parquet', 'com_13697.parquet', 'com_12965.parquet', 'com_14962.parquet']"
325744,1,['com_12970.parquet']
326003,9,"['com_14420.parquet', 'com_12975.parquet', 'com_13425.parquet', 'com_13802.parquet', 'com_14127.parquet', 'com_14828.parquet', 'com_14545.parquet', 'com_14194.parquet', 'com_14032.parquet']"
326012,8,"['com_14420.parquet', 'com_12975.parquet', 'com_13802.parquet', 'com_14127.parquet', 'com_14828.parquet', 'com_14545.parquet', 'com_14194.parquet', 'com_14032.parquet']"
325982,3,"['com_14825.parquet', 'com_12976.parquet', 'com_14523.parquet']"
325785,15,"['com_13420.parquet', 'com_14757.parquet', 'com_13065.parquet', 'com_14512.parquet', 'com_12983.parquet', 'com_13755.parquet', 'com_14780.parquet', 'com_13440.parquet', 'com_13849.parquet', 'com_14353.parquet', 'com_14437.parquet', 'com_13989.parquet', 'com_14463.parquet', 'com_14580.parquet', 'com_14037.parquet']"
325967,6,"['com_15104.parquet', 'com_14512.parquet', 'com_12983.parquet', 'com_14437.parquet', 'com_13989.parquet', 'com_15117.parquet']"
326014,5,"['com_13065.parquet', 'com_12983.parquet', 'com_14437.parquet', 'com_13849.parquet', 'com_13989.parquet']"
326045,15,"['com_13315.parquet', 'com_13153.parquet', 'com_14247.parquet', 'com_14536.parquet', 'com_14629.parquet', 'com_13676.parquet', 'com_14093.parquet', 'com_12986.parquet', 'com_14384.parquet', 'com_13809.parquet', 'com_13557.parquet', 'com_14564.parquet', 'com_15019.parquet', 'com_13940.parquet', 'com_13977.parquet']"
325538,5,"['com_14356.parquet', 'com_14460.parquet', 'com_13175.parquet', 'com_13379.parquet', 'com_12992.parquet']"
325587,7,"['com_14012.parquet', 'com_15050.parquet', 'com_14646.parquet', 'com_14918.parquet', 'com_14033.parquet', 'com_15137.parquet', 'com_13000.parquet']"
325623,2,"['com_13414.parquet', 'com_13000.parquet']"
325849,3,"['com_13178.parquet', 'com_13066.parquet', 'com_13000.parquet']"
325781,2,"['com_13002.parquet', 'com_13224.parquet']"
325941,8,"['com_14781.parquet', 'com_13011.parquet', 'com_13569.parquet', 'com_14255.parquet', 'com_14859.parquet', 'com_15222.parquet', 'com_13894.parquet', 'com_13009.parquet']"
325688,18,"['com_14981.parquet', 'com_14579.parquet', 'com_13922.parquet', 'com_13479.parquet', 'com_14757.parquet', 'com_14512.parquet', 'com_13882.parquet', 'com_14780.parquet', 'com_14353.parquet', 'com_14437.parquet', 'com_13551.parquet', 'com_14580.parquet', 'com_14847.parquet', 'com_14369.parquet', 'com_13538.parquet', 'com_14696.parquet', 'com_13585.parquet', 'com_13010.parquet']"
325801,11,"['com_13011.parquet', 'com_14242.parquet', 'com_14074.parquet', 'com_15068.parquet', 'com_14092.parquet', 'com_14971.parquet', 'com_13400.parquet', 'com_15071.parquet', 'com_13023.parquet', 'com_13534.parquet', 'com_15222.parquet']"
325885,17,"['com_13121.parquet', 'com_13578.parquet', 'com_14407.parquet', 'com_13386.parquet', 'com_13164.parquet', 'com_15124.parquet', 'com_14402.parquet', 'com_13342.parquet', 'com_13661.parquet', 'com_13875.parquet', 'com_14932.parquet', 'com_13025.parquet', 'com_14772.parquet', 'com_14904.parquet', 'com_14612.parquet', 'com_13567.parquet', 'com_13018.parquet']"
325871,11,"['com_13720.parquet', 'com_14014.parquet', 'com_13804.parquet', 'com_14278.parquet', 'com_13800.parquet', 'com_14205.parquet', 'com_13400.parquet', 'com_14732.parquet', 'com_13023.parquet', 'com_13534.parquet', 'com_13687.parquet']"
325907,7,"['com_14014.parquet', 'com_13804.parquet', 'com_14221.parquet', 'com_14533.parquet', 'com_13400.parquet', 'com_13023.parquet', 'com_13305.parquet']"
325684,8,"['com_13037.parquet', 'com_15205.parquet', 'com_14316.parquet', 'com_13779.parquet', 'com_13983.parquet', 'com_15045.parquet', 'com_14863.parquet', 'com_14639.parquet']"
325738,6,"['com_13037.parquet', 'com_15205.parquet', 'com_13779.parquet', 'com_13983.parquet', 'com_14547.parquet', 'com_14863.parquet']"
325778,10,"['com_13245.parquet', 'com_13037.parquet', 'com_14464.parquet', 'com_14976.parquet', 'com_13081.parquet', 'com_14316.parquet', 'com_14330.parquet', 'com_14639.parquet', 'com_13413.parquet', 'com_13973.parquet']"
