bldg_id,Occurrence_Count,Unique_Source_Files
497783,9,"['res_263.parquet', 'res_523.parquet', 'res_517.parquet', 'res_1037.parquet', 'res_520.parquet', 'res_825.parquet', 'res_100.parquet', 'res_1258.parquet', 'res_377.parquet']"
37943,5,"['res_46.parquet', 'res_119.parquet', 'res_742.parquet', 'res_357.parquet', 'res_1003.parquet']"
121582,4,"['res_119.parquet', 'res_1003.parquet', 'res_742.parquet', 'res_303.parquet']"
278917,5,"['res_1006.parquet', 'res_642.parquet', 'res_794.parquet', 'res_131.parquet', 'res_779.parquet']"
78265,56,"['res_1077.parquet', 'res_846.parquet', 'res_1012.parquet', 'res_264.parquet', 'res_984.parquet', 'res_105.parquet', 'res_1088.parquet', 'res_905.parquet', 'res_1032.parquet', 'res_192.parquet', 'res_876.parquet', 'res_557.parquet', 'res_163.parquet', 'res_1102.parquet', 'res_70.parquet', 'res_1180.parquet', 'res_1014.parquet', 'res_649.parquet', 'res_1124.parquet', 'res_186.parquet', 'res_1074.parquet', 'res_1178.parquet', 'res_672.parquet', 'res_860.parquet', 'res_760.parquet', 'res_178.parquet', 'res_1275.parquet', 'res_210.parquet', 'res_310.parquet', 'res_605.parquet', 'res_1189.parquet', 'res_1009.parquet', 'res_1121.parquet', 'res_1198.parquet', 'res_1069.parquet', 'res_538.parquet', 'res_775.parquet', 'res_819.parquet', 'res_138.parquet', 'res_703.parquet', 'res_796.parquet', 'res_439.parquet', 'res_418.parquet', 'res_1078.parquet', 'res_419.parquet', 'res_140.parquet', 'res_217.parquet', 'res_692.parquet', 'res_916.parquet', 'res_112.parquet', 'res_1179.parquet', 'res_501.parquet', 'res_889.parquet', 'res_790.parquet', 'res_496.parquet', 'res_717.parquet']"
1652,6,"['res_88.parquet', 'res_966.parquet', 'res_1091.parquet', 'res_584.parquet', 'res_618.parquet', 'res_101.parquet']"
14811,7,"['res_88.parquet', 'res_966.parquet', 'res_1174.parquet', 'res_584.parquet', 'res_98.parquet', 'res_618.parquet', 'res_101.parquet']"
58386,6,"['res_88.parquet', 'res_966.parquet', 'res_1091.parquet', 'res_584.parquet', 'res_618.parquet', 'res_101.parquet']"
65278,7,"['res_75.parquet', 'res_88.parquet', 'res_958.parquet', 'res_1091.parquet', 'res_469.parquet', 'res_618.parquet', 'res_101.parquet']"
77343,6,"['res_88.parquet', 'res_958.parquet', 'res_469.parquet', 'res_807.parquet', 'res_618.parquet', 'res_101.parquet']"
89035,7,"['res_88.parquet', 'res_958.parquet', 'res_1174.parquet', 'res_469.parquet', 'res_807.parquet', 'res_618.parquet', 'res_101.parquet']"
101102,7,"['res_88.parquet', 'res_958.parquet', 'res_1174.parquet', 'res_469.parquet', 'res_807.parquet', 'res_618.parquet', 'res_101.parquet']"
377437,7,"['res_88.parquet', 'res_958.parquet', 'res_1174.parquet', 'res_469.parquet', 'res_807.parquet', 'res_618.parquet', 'res_101.parquet']"
513274,8,"['res_88.parquet', 'res_1083.parquet', 'res_958.parquet', 'res_1174.parquet', 'res_469.parquet', 'res_807.parquet', 'res_618.parquet', 'res_101.parquet']"
78442,16,"['res_163.parquet', 'res_1180.parquet', 'res_1181.parquet', 'res_1014.parquet', 'res_617.parquet', 'res_1012.parquet', 'res_916.parquet', 'res_988.parquet', 'res_815.parquet', 'res_13.parquet', 'res_653.parquet', 'res_1277.parquet', 'res_408.parquet', 'res_1110.parquet', 'res_760.parquet', 'res_940.parquet']"
468623,11,"['res_689.parquet', 'res_1184.parquet', 'res_1013.parquet', 'res_678.parquet', 'res_298.parquet', 'res_707.parquet', 'res_170.parquet', 'res_1103.parquet', 'res_1020.parquet', 'res_142.parquet', 'res_30.parquet']"
277891,5,"['res_1180.parquet', 'res_1181.parquet', 'res_1014.parquet', 'res_940.parquet', 'res_598.parquet']"
69777,11,"['res_1034.parquet', 'res_689.parquet', 'res_977.parquet', 'res_967.parquet', 'res_227.parquet', 'res_1015.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_455.parquet', 'res_142.parquet', 'res_553.parquet']"
75771,7,"['res_689.parquet', 'res_199.parquet', 'res_1015.parquet', 'res_1115.parquet', 'res_548.parquet', 'res_170.parquet', 'res_40.parquet']"
81046,11,"['res_1034.parquet', 'res_689.parquet', 'res_977.parquet', 'res_967.parquet', 'res_227.parquet', 'res_1015.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_455.parquet', 'res_142.parquet', 'res_553.parquet']"
177787,14,"['res_245.parquet', 'res_460.parquet', 'res_1108.parquet', 'res_148.parquet', 'res_287.parquet', 'res_1015.parquet', 'res_1115.parquet', 'res_548.parquet', 'res_959.parquet', 'res_40.parquet', 'res_582.parquet', 'res_822.parquet', 'res_2.parquet', 'res_1153.parquet']"
296256,9,"['res_1034.parquet', 'res_689.parquet', 'res_977.parquet', 'res_967.parquet', 'res_1015.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_142.parquet', 'res_740.parquet']"
343556,9,"['res_689.parquet', 'res_977.parquet', 'res_967.parquet', 'res_1108.parquet', 'res_227.parquet', 'res_1015.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_740.parquet']"
421082,14,"['res_245.parquet', 'res_460.parquet', 'res_1108.parquet', 'res_148.parquet', 'res_287.parquet', 'res_1015.parquet', 'res_1115.parquet', 'res_548.parquet', 'res_959.parquet', 'res_40.parquet', 'res_582.parquet', 'res_822.parquet', 'res_2.parquet', 'res_1153.parquet']"
4840,7,"['res_450.parquet', 'res_128.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_907.parquet', 'res_577.parquet', 'res_564.parquet']"
17018,5,"['res_597.parquet', 'res_1019.parquet', 'res_899.parquet', 'res_1120.parquet', 'res_142.parquet']"
40854,9,"['res_763.parquet', 'res_1268.parquet', 'res_871.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_564.parquet', 'res_142.parquet', 'res_740.parquet']"
48621,7,"['res_1034.parquet', 'res_450.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_740.parquet']"
60690,5,"['res_1034.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_142.parquet']"
81676,6,"['res_1034.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_142.parquet', 'res_740.parquet']"
92497,7,"['res_1034.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_142.parquet', 'res_740.parquet']"
142044,8,"['res_1034.parquet', 'res_689.parquet', 'res_667.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_142.parquet', 'res_740.parquet']"
142442,6,"['res_450.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_577.parquet', 'res_899.parquet']"
142534,5,"['res_763.parquet', 'res_943.parquet', 'res_1019.parquet', 'res_899.parquet', 'res_1120.parquet']"
143513,8,"['res_1034.parquet', 'res_689.parquet', 'res_667.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_142.parquet', 'res_740.parquet']"
147074,3,"['res_461.parquet', 'res_1183.parquet', 'res_1019.parquet']"
150972,6,"['res_1234.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_748.parquet', 'res_899.parquet', 'res_1120.parquet']"
168837,7,"['res_689.parquet', 'res_667.parquet', 'res_597.parquet', 'res_1019.parquet', 'res_899.parquet', 'res_1120.parquet', 'res_142.parquet']"
206820,3,"['res_411.parquet', 'res_943.parquet', 'res_1019.parquet']"
211076,4,"['res_1234.parquet', 'res_165.parquet', 'res_1019.parquet', 'res_1120.parquet']"
228420,4,"['res_763.parquet', 'res_577.parquet', 'res_943.parquet', 'res_1019.parquet']"
262655,7,"['res_1034.parquet', 'res_689.parquet', 'res_667.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_142.parquet']"
266897,7,"['res_414.parquet', 'res_1066.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_461.parquet', 'res_577.parquet']"
294849,8,"['res_1034.parquet', 'res_414.parquet', 'res_1066.parquet', 'res_128.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet']"
304597,5,"['res_805.parquet', 'res_165.parquet', 'res_1234.parquet', 'res_1019.parquet', 'res_1120.parquet']"
325661,5,"['res_526.parquet', 'res_165.parquet', 'res_1234.parquet', 'res_373.parquet', 'res_1019.parquet']"
331213,7,"['res_763.parquet', 'res_1268.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_564.parquet', 'res_142.parquet', 'res_871.parquet']"
375335,8,"['res_1034.parquet', 'res_689.parquet', 'res_667.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1120.parquet', 'res_142.parquet', 'res_740.parquet']"
414209,6,"['res_1034.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_142.parquet', 'res_740.parquet']"
422915,5,"['res_1034.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_740.parquet']"
432662,5,"['res_1183.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_461.parquet', 'res_427.parquet']"
448393,5,"['res_763.parquet', 'res_943.parquet', 'res_1019.parquet', 'res_577.parquet', 'res_899.parquet']"
456567,5,"['res_1234.parquet', 'res_1019.parquet', 'res_748.parquet', 'res_899.parquet', 'res_1120.parquet']"
481202,5,"['res_1020.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_907.parquet', 'res_564.parquet']"
491841,6,"['res_1034.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_142.parquet', 'res_740.parquet']"
492628,5,"['res_763.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_298.parquet', 'res_899.parquet']"
495873,5,"['res_1239.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1020.parquet', 'res_427.parquet']"
501496,9,"['res_1034.parquet', 'res_763.parquet', 'res_1268.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_879.parquet', 'res_564.parquet', 'res_142.parquet', 'res_740.parquet']"
508945,8,"['res_1034.parquet', 'res_450.parquet', 'res_414.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_740.parquet']"
49640,9,"['res_1128.parquet', 'res_146.parquet', 'res_97.parquet', 'res_763.parquet', 'res_298.parquet', 'res_907.parquet', 'res_1159.parquet', 'res_1020.parquet', 'res_169.parquet']"
231009,6,"['res_689.parquet', 'res_298.parquet', 'res_707.parquet', 'res_1020.parquet', 'res_142.parquet', 'res_30.parquet']"
322837,10,"['res_1128.parquet', 'res_146.parquet', 'res_97.parquet', 'res_298.parquet', 'res_707.parquet', 'res_30.parquet', 'res_1159.parquet', 'res_1020.parquet', 'res_709.parquet', 'res_169.parquet']"
350472,5,"['res_450.parquet', 'res_356.parquet', 'res_298.parquet', 'res_907.parquet', 'res_1020.parquet']"
352206,7,"['res_1128.parquet', 'res_146.parquet', 'res_97.parquet', 'res_763.parquet', 'res_298.parquet', 'res_907.parquet', 'res_1020.parquet']"
363860,7,"['res_97.parquet', 'res_356.parquet', 'res_298.parquet', 'res_707.parquet', 'res_1020.parquet', 'res_142.parquet', 'res_30.parquet']"
494122,9,"['res_1128.parquet', 'res_146.parquet', 'res_97.parquet', 'res_763.parquet', 'res_298.parquet', 'res_907.parquet', 'res_1159.parquet', 'res_1020.parquet', 'res_169.parquet']"
538885,4,"['res_298.parquet', 'res_427.parquet', 'res_1239.parquet', 'res_1020.parquet']"
525668,16,"['res_251.parquet', 'res_283.parquet', 'res_384.parquet', 'res_1084.parquet', 'res_182.parquet', 'res_843.parquet', 'res_220.parquet', 'res_396.parquet', 'res_691.parquet', 'res_1080.parquet', 'res_645.parquet', 'res_1075.parquet', 'res_469.parquet', 'res_207.parquet', 'res_1023.parquet', 'res_1166.parquet']"
274704,2,"['res_1036.parquet', 'res_236.parquet']"
522487,2,"['res_1036.parquet', 'res_236.parquet']"
409888,7,"['res_104.parquet', 'res_850.parquet', 'res_114.parquet', 'res_596.parquet', 'res_561.parquet', 'res_730.parquet', 'res_1079.parquet']"
518272,4,"['res_686.parquet', 'res_940.parquet', 'res_1180.parquet', 'res_1040.parquet']"
314826,3,"['res_1223.parquet', 'res_1041.parquet', 'res_1149.parquet']"
449271,3,"['res_1223.parquet', 'res_1041.parquet', 'res_1149.parquet']"
337643,12,"['res_452.parquet', 'res_431.parquet', 'res_292.parquet', 'res_715.parquet', 'res_853.parquet', 'res_409.parquet', 'res_24.parquet', 'res_696.parquet', 'res_90.parquet', 'res_1105.parquet', 'res_141.parquet', 'res_1042.parquet']"
92408,9,"['res_595.parquet', 'res_947.parquet', 'res_929.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_63.parquet', 'res_1117.parquet', 'res_160.parquet', 'res_1091.parquet']"
122024,6,"['res_58.parquet', 'res_1043.parquet', 'res_966.parquet', 'res_1174.parquet', 'res_1117.parquet', 'res_160.parquet']"
207112,8,"['res_995.parquet', 'res_929.parquet', 'res_1043.parquet', 'res_966.parquet', 'res_63.parquet', 'res_1117.parquet', 'res_160.parquet', 'res_1091.parquet']"
243599,9,"['res_947.parquet', 'res_929.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_966.parquet', 'res_63.parquet', 'res_1117.parquet', 'res_160.parquet', 'res_1091.parquet']"
267793,6,"['res_58.parquet', 'res_1043.parquet', 'res_884.parquet', 'res_966.parquet', 'res_1174.parquet', 'res_160.parquet']"
283003,5,"['res_1043.parquet', 'res_884.parquet', 'res_63.parquet', 'res_1117.parquet', 'res_160.parquet']"
382852,1,['res_1052.parquet']
63111,1,['res_1054.parquet']
83135,3,"['res_225.parquet', 'res_377.parquet', 'res_1054.parquet']"
183018,1,['res_1054.parquet']
192504,3,"['res_307.parquet', 'res_225.parquet', 'res_1054.parquet']"
201807,1,['res_1054.parquet']
211317,8,"['res_203.parquet', 'res_1054.parquet', 'res_739.parquet', 'res_430.parquet', 'res_247.parquet', 'res_522.parquet', 'res_963.parquet', 'res_670.parquet']"
