folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_MI,157637,3068006.7891615317,2928156.9515183647,2882626.823448151,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-139849.837643167,-185379.96571338084,1,2
parquet_commercial_202512_comm_MI,157661,2614264.3010034747,2614264.3010034747,2614264.3010034747,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157668,5384198.4742317,5024519.585619194,4910206.872030866,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-359678.888612506,-473991.6022008341,1,2
parquet_commercial_202512_comm_MI,157688,127600.69868744387,127600.69868744387,127600.69868744387,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157701,825352.9506108847,918962.2038263138,825352.9506108847,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",93609.25321542914,0.0,1,9
parquet_commercial_202512_comm_MI,157718,331381.71630657645,376500.21596820385,331381.71630657645,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",45118.4996616274,0.0,1,9
parquet_commercial_202512_comm_MI,157748,137105.38304348214,137105.38304348214,137105.38304348214,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157760,563379.1841800509,782688.6456522311,563379.1841800509,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",219309.4614721802,0.0,1,9
parquet_commercial_202512_comm_MI,157770,179032.0408605486,162714.03480255953,158664.56930778653,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-16318.006057989056,-20367.471552762057,1,2
parquet_commercial_202512_comm_MI,157793,26588770.53346124,26588770.53346124,26588770.53346124,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157810,112007.93256033989,186648.16735784945,112007.93256033989,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",74640.23479750956,0.0,1,9
parquet_commercial_202512_comm_MI,157823,104296.2266866513,120133.11242116269,104296.2266866513,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",15836.885734511394,0.0,1,9
parquet_commercial_202512_comm_MI,157859,1781930.131010554,2072140.168723687,1781930.131010554,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",290210.03771313303,0.0,8,2
parquet_commercial_202512_comm_MI,157883,520630.33397255454,520630.33397255454,520630.33397255454,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157918,270050.5952792118,270050.5952792118,270050.5952792118,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157939,932272.744718026,932272.744718026,932272.744718026,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,157949,1151954.1503132444,1234274.4757825774,1151954.1503132444,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",82320.32546933298,0.0,1,9
parquet_commercial_202512_comm_MI,157953,1215179.8494227757,1304539.9192208431,1215179.8494227757,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",89360.06979806744,0.0,1,9
parquet_commercial_202512_comm_MI,157974,193188.83385273206,193188.83385273206,193188.83385273206,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,158051,334020.0703104083,376193.5277624403,334020.0703104083,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",42173.45745203202,0.0,1,9
parquet_commercial_202512_comm_MI,158073,1058559.2095635596,1195408.3240342326,1058559.2095635596,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",136849.11447067303,0.0,1,9
parquet_commercial_202512_comm_MI,158087,200865.6756253686,264527.5000704252,200865.6756253686,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",63661.82444505661,0.0,1,9
parquet_commercial_202512_comm_MI,158126,275344.04326803994,275344.04326803994,275344.04326803994,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MI,158144,470800.1544094171,871226.0490702882,470800.1544094171,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",400425.89466087107,0.0,8,2
