substation,feeder_name,circuit_folder,mix,season,share_baseline,share_dm,share_un,n_daily_baseline,n_daily_dm,n_daily_un,N_daily_total,n_base_baseline,n_base_dm,n_base_un,N_base_total
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_0,0,summer,0.2,0.0,0.8,34,0,169,203,231,0,1390,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_2,2,summer,1.0,0.0,0.0,203,0,0,203,1621,0,0,1621
uhs0_1247,uhs0_1247--udt12274,uhs0_1247_circuit_1_1,1,summer,0.2,0.6,0.2,37,124,42,203,248,1077,296,1621
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_0,0,summer,0.2,0.0,0.8,56,0,236,292,180,0,1645,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_2,2,summer,1.0,0.0,0.0,292,0,0,292,1825,0,0,1825
uhs0_1247,uhs0_1247--udt14717,uhs0_1247_circuit_2_1,1,summer,0.2,0.6,0.2,57,171,64,292,435,946,444,1825
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_0,0,summer,0.2,0.0,0.8,12,0,88,100,43,0,257,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_2,2,summer,1.0,0.0,0.0,100,0,0,100,300,0,0,300
uhs0_1247,uhs0_1247--udt16115,uhs0_1247_circuit_3_1,1,summer,0.2,0.6,0.2,23,58,19,100,50,208,42,300
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_0,0,summer,0.2,0.0,0.8,51,0,220,271,222,0,828,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_2,2,summer,1.0,0.0,0.0,271,0,0,271,1050,0,0,1050
uhs10_1247,uhs10_1247--udt11713,uhs10_1247_circuit_33_1,1,summer,0.2,0.6,0.2,59,146,66,271,168,651,231,1050
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_0,0,summer,0.2,0.0,0.8,50,0,186,236,205,0,1036,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_2,2,summer,1.0,0.0,0.0,236,0,0,236,1241,0,0,1241
uhs10_1247,uhs10_1247--udt12084,uhs10_1247_circuit_34_1,1,summer,0.2,0.6,0.2,45,141,50,236,424,602,215,1241
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_0,0,summer,0.2,0.0,0.8,34,0,170,204,59,0,527,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_2,2,summer,1.0,0.0,0.0,204,0,0,204,586,0,0,586
uhs10_1247,uhs10_1247--udt13528,uhs10_1247_circuit_35_1,1,summer,0.2,0.6,0.2,31,138,35,204,66,402,118,586
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_0,0,summer,0.2,0.0,0.8,41,0,158,199,489,0,656,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_2,2,summer,1.0,0.0,0.0,199,0,0,199,1145,0,0,1145
uhs11_1247,uhs11_1247--udt7105,uhs11_1247_circuit_37_1,1,summer,0.2,0.6,0.2,38,118,43,199,208,752,185,1145
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_0,0,summer,0.2,0.0,0.8,46,0,202,248,272,0,1292,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_2,2,summer,1.0,0.0,0.0,248,0,0,248,1564,0,0,1564
uhs11_1247,uhs11_1247--udt8110,uhs11_1247_circuit_38_1,1,summer,0.2,0.6,0.2,57,133,58,248,198,837,529,1564
uhs12_1247,uhs12_1247--udt1278,uhs12_1247_circuit_39_0,0,summer,0.2,0.0,0.8,49,0,170,219,652,0,1214,1866
