case,topology,donor, S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva,season,design
NC_GSO_urban__NC,NC_GSO_urban,NC,1638.48,4.31549,1633.8346248777025,123.29285847419436,1600.6,4.2433,1596.2125062027214,118.43139381948836,1617.48,4.21264,1613.110047660398,118.8171895689709,4843.157178740822,360.5414418626536,4856.558615860531,4856.56,0.0,1,900.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1527.75,3.6795,1524.600762718732,98.04374950735227,1486.32,3.30026,1483.8550206020343,85.56529807191527,1515.83,3.53156,1512.9514689714867,93.37259467863215,4521.407252292253,276.9816422578997,4529.88326242839,4529.9,0.0,2,1800.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1480.05,3.21348,1477.7227744155894,82.96628516146008,1449.11,3.09656,1446.9941767791863,78.27927227001896,1468.68,3.16361,1466.4417558441016,81.05257008182045,4391.158707038878,242.29812751329948,4397.838465996653,4397.84,0.0,3,2700.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1532.43,4.8866,1526.85999354442,130.5383660596886,1456.73,3.36728,1454.215004223713,85.56292649638928,1511.07,4.0826,1507.2355840204027,107.57991988598651,4488.310581788536,323.6812124420644,4499.966822753576,4500.23,1.0,4,0.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1469.61,3.98584,1466.055394500584,102.15249559230833,1468.77,3.88789,1465.389820045741,99.58909682445328,1434.43,3.43262,1431.856491231696,85.88604902809399,4363.301705778022,287.6276414448556,4372.771596569906,4372.81,1.0,5,900.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1436.95,3.84177,1433.721012234424,96.27752373996012,1418.2,3.24598,1415.9247048631662,80.30236707691533,1404.77,3.17396,1402.6151264108792,77.7789178594907,4252.260843508469,254.35880867636607,4259.861580472612,4259.92,1.0,6,1800.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1397.1,3.50727,1394.4832934746648,85.46785489323811,1383.21,2.92867,1381.4034117701117,70.67190424698519,1363.54,2.68646,1362.041441113372,63.90965724996702,4137.928146358148,220.04941639019032,4143.774980627766,4143.85,1.0,7,2700.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1381.4,3.96013,1378.1016998292057,95.40264633569734,1384.89,3.55411,1382.2264399841702,85.85092142014015,1390.43,3.41911,1387.9550232009706,82.92429361286844,4148.283163014346,264.1778613687059,4156.686558183772,4156.72,2.0,8,0.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1370.16,3.62266,1367.422169927192,86.57386898833722,1362.92,3.4312,1360.476809257656,81.5706924827032,1362.5,3.05342,1360.565665603351,72.5763017886054,4088.464644788199,240.72086325964585,4095.5451023876617,4095.58,2.0,9,900.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
NC_GSO_urban__NC,NC_GSO_urban,NC,1419.97,4.27372,1416.02165884032,105.81806365223404,1394.0,3.71292,1391.074051277737,90.27172238161778,1414.21,3.87682,1410.9738829865234,95.61707812902768,4218.06959310458,291.70686416287947,4228.144272239676,4228.18,2.0,10,1800.0,uhs0_1247_circuit_1_fire_baseline,uhs0_1247,circuit_1,fire_baseline,data,,,,,,summer,NC
