geography,urbanicity,feeder_id,load_count,smart_ds_relpath,feeder_path
GSO,industrial,ihs4_1247,1273,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs4_1247/ihs4_1247--idt275
GSO,industrial,ihs5_1247,4,GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs5_1247,D:/lvg/GSO/industrial/solar_high_batteries_high_timeseries/opendss/ihs5_1247/ihs5_1247--idt627
GSO,rural,rhs0_1247,2212,GSO/rural/base_timeseries/opendss/rhs0_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs0_1247/rhs0_1247--rdt1527
GSO,rural,rhs0_1247,1440,GSO/rural/base_timeseries/opendss/rhs0_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs0_1247/rhs0_1247--rdt1534
GSO,rural,rhs0_1247,1902,GSO/rural/base_timeseries/opendss/rhs0_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs0_1247/rhs0_1247--rdt1948
GSO,rural,rhs1_1247,1973,GSO/rural/base_timeseries/opendss/rhs1_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs1_1247/rhs1_1247--rdt137
GSO,rural,rhs2_1247,708,GSO/rural/base_timeseries/opendss/rhs2_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs2_1247/rhs2_1247--rdt1262
GSO,rural,rhs2_1247,1267,GSO/rural/base_timeseries/opendss/rhs2_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs2_1247/rhs2_1247--rdt1264
GSO,rural,rhs3_1247,2535,GSO/rural/base_timeseries/opendss/rhs3_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs3_1247/rhs3_1247--rdt2705
GSO,rural,rhs3_1247,5,GSO/rural/base_timeseries/opendss/rhs3_1247,D:/lvg/GSO/rural/base_timeseries/opendss/rhs3_1247/rhs3_1247--rdt2999
GSO,rural,rhs0_1247,2212,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs0_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs0_1247/rhs0_1247--rdt1527
GSO,rural,rhs0_1247,1440,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs0_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs0_1247/rhs0_1247--rdt1534
GSO,rural,rhs0_1247,1902,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs0_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs0_1247/rhs0_1247--rdt1948
GSO,rural,rhs1_1247,1973,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs1_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs1_1247/rhs1_1247--rdt137
GSO,rural,rhs2_1247,708,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs2_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs2_1247/rhs2_1247--rdt1262
GSO,rural,rhs2_1247,1267,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs2_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs2_1247/rhs2_1247--rdt1264
GSO,rural,rhs3_1247,2535,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs3_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs3_1247/rhs3_1247--rdt2705
GSO,rural,rhs3_1247,5,GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs3_1247,D:/lvg/GSO/rural/solar_high_batteries_high_timeseries/opendss/rhs3_1247/rhs3_1247--rdt2999
GSO,urban-suburban,uhs0_1247,3179,GSO/urban-suburban/base_timeseries/opendss/uhs0_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs0_1247/uhs0_1247--udt12274
GSO,urban-suburban,uhs0_1247,3563,GSO/urban-suburban/base_timeseries/opendss/uhs0_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs0_1247/uhs0_1247--udt14717
GSO,urban-suburban,uhs0_1247,573,GSO/urban-suburban/base_timeseries/opendss/uhs0_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs0_1247/uhs0_1247--udt16115
GSO,urban-suburban,uhs10_1247,2020,GSO/urban-suburban/base_timeseries/opendss/uhs10_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs10_1247/uhs10_1247--udt11713
GSO,urban-suburban,uhs10_1247,2416,GSO/urban-suburban/base_timeseries/opendss/uhs10_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs10_1247/uhs10_1247--udt12084
GSO,urban-suburban,uhs10_1247,1075,GSO/urban-suburban/base_timeseries/opendss/uhs10_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs10_1247/uhs10_1247--udt13528
GSO,urban-suburban,uhs11_1247,18,GSO/urban-suburban/base_timeseries/opendss/uhs11_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs11_1247/uhs11_1247--p1umv22
GSO,urban-suburban,uhs11_1247,2219,GSO/urban-suburban/base_timeseries/opendss/uhs11_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs11_1247/uhs11_1247--udt7105
GSO,urban-suburban,uhs11_1247,3067,GSO/urban-suburban/base_timeseries/opendss/uhs11_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs11_1247/uhs11_1247--udt8110
GSO,urban-suburban,uhs12_1247,3685,GSO/urban-suburban/base_timeseries/opendss/uhs12_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs12_1247/uhs12_1247--udt1278
GSO,urban-suburban,uhs12_1247,1766,GSO/urban-suburban/base_timeseries/opendss/uhs12_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs12_1247/uhs12_1247--udt15482
GSO,urban-suburban,uhs12_1247,881,GSO/urban-suburban/base_timeseries/opendss/uhs12_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs12_1247/uhs12_1247--udt15805
GSO,urban-suburban,uhs12_1247,2661,GSO/urban-suburban/base_timeseries/opendss/uhs12_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs12_1247/uhs12_1247--udt17650
GSO,urban-suburban,uhs13_1247,1405,GSO/urban-suburban/base_timeseries/opendss/uhs13_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs13_1247/uhs13_1247--udt4015
GSO,urban-suburban,uhs13_1247,1926,GSO/urban-suburban/base_timeseries/opendss/uhs13_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs13_1247/uhs13_1247--udt4819
GSO,urban-suburban,uhs14_1247,1339,GSO/urban-suburban/base_timeseries/opendss/uhs14_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs14_1247/uhs14_1247--udt11665
