hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0166839, 0.0737705, 0.0166424, 0.00360664, 0.0166741, -0.0764477, 0, 0
0, 1800.00000, 0.0166856, 0.0537264, 0.0166503, 0.0318648, 0.016664, -0.0856805, 0, 0
0, 2700.00000, 0.016687, 0.0729114, 0.0166433, 0.013417, 0.0166698, -0.0863598, 0, 0
1, 0.00000, 0.0166938, 0.102786, 0.0166343, 0.0113494, 0.016672, -0.114136, 0, 0
1, 900.00000, 0.0166896, 0.0576953, 0.0166475, 0.0387873, 0.0166631, -0.0960803, 0, 0
1, 1800.00000, 0.0166964, 0.0564565, 0.0166458, 0.0623987, 0.0166578, -0.11889, 0, 0
1, 2700.00000, 0.0166992, 0.0580895, 0.0166476, 0.0698472, 0.0166534, -0.127702, 0, 0
2, 0.00000, 0.0166924, 0.0417815, 0.0166522, 0.0579209, 0.0166555, -0.0995557, 0, 0
2, 900.00000, 0.0166876, 0.0383199, 0.0166538, 0.045126, 0.0166588, -0.0833496, 0, 0
2, 1800.00000, 0.0166835, 0.036376, 0.0166545, 0.0330777, 0.0166621, -0.069316, 0, 0
2, 2700.00000, 0.0166874, 0.0486095, 0.0166511, 0.0359037, 0.0166615, -0.0844247, 0, 0
3, 0.00000, 0.0166884, 0.046441, 0.0166515, 0.0410393, 0.0166602, -0.0874213, 0, 0
3, 900.00000, 0.0166896, 0.0567817, 0.0166491, 0.0376929, 0.0166614, -0.0944804, 0, 0
3, 1800.00000, 0.01669, 0.0613061, 0.016648, 0.0346702, 0.0166621, -0.0959621, 0, 0
3, 2700.00000, 0.0166892, 0.0597502, 0.0166488, 0.0340712, 0.016662, -0.0938877, 0, 0
4, 0.00000, 0.0166926, 0.0625214, 0.0166473, 0.0398796, 0.0166602, -0.102517, 0, 0
4, 900.00000, 0.0166904, 0.0614679, 0.0166481, 0.0354652, 0.0166616, -0.0969059, 0, 0
4, 1800.00000, 0.016689, 0.0562952, 0.01665, 0.0363408, 0.016661, -0.0927693, 0, 0
4, 2700.00000, 0.0166903, 0.0607346, 0.0166483, 0.0366337, 0.0166613, -0.0974407, 0, 0
5, 0.00000, 0.0166908, 0.0606648, 0.0166485, 0.0373136, 0.0166611, -0.0971944, 0, 0
5, 900.00000, 0.0166905, 0.053955, 0.0166504, 0.0416967, 0.0166592, -0.0957956, 0, 0
5, 1800.00000, 0.0166878, 0.0494836, 0.0166525, 0.0387757, 0.0166597, -0.0884091, 0, 0
5, 2700.00000, 0.0166886, 0.0530683, 0.0166511, 0.0379987, 0.0166602, -0.0913831, 0, 0
6, 0.00000, 0.0166878, 0.0519375, 0.0166516, 0.036862, 0.0166606, -0.0889371, 0, 0
6, 900.00000, 0.0166891, 0.062571, 0.0166479, 0.0313989, 0.0166629, -0.0943293, 0, 0
6, 1800.00000, 0.0166897, 0.0582803, 0.0166489, 0.0364367, 0.0166613, -0.0948465, 0, 0
6, 2700.00000, 0.0166936, 0.0576591, 0.0166485, 0.0464143, 0.016658, -0.103872, 0, 0
7, 0.00000, 0.0166904, 0.0570377, 0.016649, 0.0368868, 0.0166608, -0.0937597, 0, 0
7, 900.00000, 0.0166916, 0.0546772, 0.0166493, 0.0427799, 0.0166591, -0.0976455, 0, 0
7, 1800.00000, 0.0166869, 0.0544171, 0.0166499, 0.0268056, 0.0166634, -0.0808925, 0, 0
7, 2700.00000, 0.0166842, 0.0613939, 0.0166477, 0.0142467, 0.016668, -0.0759093, 0, 0
8, 0.00000, 0.0166836, 0.0554421, 0.0166497, 0.0167127, 0.0166669, -0.0720007, 0, 0
8, 900.00000, 0.016684, 0.04719, 0.0166519, 0.0246404, 0.0166642, -0.0717936, 0, 0
8, 1800.00000, 0.0166825, 0.0632064, 0.0166469, 0.00603019, 0.0166705, -0.0696655, 0, 0
8, 2700.00000, 0.0166829, 0.0656379, 0.0166463, 0.00504137, 0.0166709, -0.0705147, 0, 0
9, 0.00000, 0.0166854, 0.0742577, 0.0166438, 0.00528572, 0.0166708, -0.0799442, 0, 0
9, 900.00000, 0.0166845, 0.0662424, 0.0166461, 0.0084295, 0.0166695, -0.074715, 0, 0
9, 1800.00000, 0.0166827, 0.0912509, 0.0166391, -0.0200599, 0.0166782, -0.0714113, 0, 0
9, 2700.00000, 0.0166843, 0.0599183, 0.0166486, 0.0132598, 0.0166671, -0.0731251, 0, 0
10, 0.00000, 0.0166804, 0.0439016, 0.0166542, 0.0171064, 0.0166653, -0.0613282, 0, 0
10, 900.00000, 0.016681, 0.0495786, 0.0166527, 0.0149833, 0.0166662, -0.0649023, 0, 0
