Source_File,State,Matched_Buildings,Tolerance
com_13028.parquet,WA,[339763],15
com_13031.parquet,WA,[335368],15
com_13037.parquet,WA,"[337285, 337317, 338015]",35
com_13043.parquet,WA,"[334000, 334315, 334550, 334771, 334778, 334847, 335104, 335620, 335703, 336243, 336530, 336933, 337740, 337963, 338243, 338244]",20
com_13044.parquet,WA,[336111],35
com_13047.parquet,WA,[334315],10
com_13049.parquet,WA,"[333509, 334596, 335789, 336149, 337234, 337774, 339050, 339880, 339909]",20
com_13051.parquet,WA,"[333544, 334161, 334298, 335339, 337035, 337581, 337745, 338220, 338370, 339040]",30
com_13056.parquet,WA,[335665],15
com_13058.parquet,WA,"[334033, 335264, 339222]",30
com_13059.parquet,WA,[338829],15
com_13063.parquet,WA,"[335356, 335951, 336108, 336568, 338505]",20
com_13065.parquet,WA,"[333892, 334346, 334425, 334654, 334665, 334891, 334911, 335869, 336192, 336197, 336499, 337253, 337351, 337467, 337835, 338001, 338127, 338771, 339203, 339214, 339559, 340003, 340025]",20
com_13066.parquet,WA,"[336839, 337017, 337360, 338835, 339037]",20
com_13069.parquet,WA,"[336239, 336320, 338495, 338700, 339909]",30
com_13074.parquet,WA,"[335847, 336574]",15
com_13076.parquet,WA,"[334112, 334279, 334586, 337875, 338495, 338700, 339316, 339369]",35
com_13079.parquet,WA,"[334126, 334987, 336714, 336739]",25
com_13080.parquet,WA,"[334671, 334713, 336452, 337188, 337291, 339344]",15
com_13081.parquet,WA,"[337317, 338015]",25
com_13083.parquet,WA,"[333894, 334438, 334476, 334878, 335334, 336422, 336594, 337257, 337765]",20
com_13085.parquet,WA,"[333708, 333926, 333976, 335571, 336187, 337204, 337372, 338642, 338976, 338999, 339486, 339593]",25
com_13088.parquet,WA,[338099],25
com_13090.parquet,WA,"[333520, 335014, 335564, 335996, 336462, 336786, 337285, 338015, 338759, 340141]",45
com_13096.parquet,WA,"[333699, 333856, 336397, 336406, 337744]",30
com_13100.parquet,WA,"[333509, 334518, 334589, 334596, 334741, 335027, 335043, 335128, 335179, 335789, 337234, 337772, 337774, 338749, 339369, 339880, 339909, 339916]",20
com_13102.parquet,WA,"[334084, 340087]",15
com_13103.parquet,WA,[334446],20
com_13107.parquet,WA,"[335524, 335533]",20
com_13109.parquet,WA,[340140],40
com_13112.parquet,WA,[334408],15
com_13114.parquet,WA,"[336209, 336663, 337812, 339658, 339681]",25
com_13116.parquet,WA,"[334273, 334915, 335272, 338474, 339431, 339476]",15
com_13121.parquet,WA,"[333897, 336394, 340013, 340030]",30
com_13123.parquet,WA,"[333976, 338570, 338976, 338999, 339486]",30
com_13126.parquet,WA,"[333926, 333974, 333976, 335571, 337372, 338642]",20
com_13132.parquet,WA,"[334393, 336394, 338265]",25
com_13134.parquet,WA,[339433],20
com_13135.parquet,WA,"[333898, 333921, 334723, 336187, 336554, 338999]",20
com_13137.parquet,WA,"[336306, 340195]",20
com_13138.parquet,WA,"[333556, 336965, 338058, 338697]",15
com_13141.parquet,WA,[339786],20
com_13144.parquet,WA,[334400],30
com_13145.parquet,WA,[338000],15
com_13146.parquet,WA,"[336444, 338829]",30
com_13147.parquet,WA,"[333572, 340274]",15
com_13153.parquet,WA,"[338376, 339013]",25
com_13154.parquet,WA,"[333513, 334507, 335527, 336308, 337320, 337912, 338413, 338529, 340145]",20
com_13158.parquet,WA,"[334851, 339715]",15
