bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
536304,0,2179,267342.0,150%+,,3,Marine,In another census Place,G5300610,,Single-Family Detached,2,Natural Gas,68F,Yes,6F,Night -3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,200000+,3,100%,94%,Occupied,Electric Standard,Electricity,12.71,0.0,46.57,0,50,0.0,470.3790676264167,0.0,0.0,3496.044796084439,8959.768757305177,0.0,0.0,0.0,0.0,18596.82475777836,0.0,0.0,19217.84235547329,0.0,0.0,0.0,0.0,28177.611112778475,1044.0,52049.0,10652.0,6.5661000000000005,6.3935,11.506,42.57,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536314,0,854,13633.0,0-30%,,2,Marine,In another census Place,G5300610,,50 or more Unit,11,Electricity,68F,No,0F,,"Room AC, EER 10.7",40% Conditioned,Room AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,10000-14999,1,50%,91%,Occupied,Electric Premium,Electricity,3.17,0.0,17.12,0,30,6929.665454222194,0.0,0.0,0.0,794.5156712368944,9536.825694474282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9536.825694474282,1371.0,23643.0,2053.0,2.8778,4.5747,3.395,11.727,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536374,0,2179,110733.0,120-150%,,4,Cold,"WA, Spokane",G5300630,,Single-Family Detached,1,Natural Gas,68F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,4,100%,94%,Occupied,Electric Premium,Electricity,14.49,0.0,47.79,0,50,0.0,425.53919389006666,0.0,0.0,4668.915218913672,15988.492233245584,0.0,0.0,0.0,0.0,18401.63942504366,0.0,0.0,18401.63942504366,0.0,0.0,0.0,0.0,34390.13165828925,21465.0,59464.0,15256.0,9.8738,10.8089,14.097,36.116,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536518,0,1228,38588.0,60-80%,,1,Marine,Not in a census Place,G5300410,,Mobile Home,1,Other Fuel,68F,Yes,3F,Night -2h,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,35000-39999,1,200%,102%,Occupied,Electric Standard,Electricity,0.0,0.0,38.45,0,30,0.0,0.0,0.0,0.0,2453.0048573415,7094.371395658984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.7064436494943,0.0,0.0,0.0,0.0,8659.077839308478,0.0,53162.0,7278.0,4.771100000000001,5.176699999999999,0.0,44.328,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536540,0,881,37492.0,60-80%,,3,Cold,In another census Place,G5300750,,Single-Family Detached,1,Electricity,68F,Yes,3F,Night,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,35000-39999,2,100%,94%,Occupied,Electric Standard,Electricity,26.26,27.13,26.26,0,50,4806.0724797542725,448.6918084336722,240.90441968156665,7.619847824477778,2614.193945936222,14291.610736948416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14291.610736948416,8117.000000000001,44305.0,7823.0,8.4197,14.4753,17.895,40.406,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536554,0,2179,42184.0,80-100%,,4,Cold,"WA, Spokane",G5300630,,Single-Family Detached,2,Natural Gas,72F,Yes,3F,Night +3h,"AC, SEER 10",60% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,40000-44999,1,50%,94%,Occupied,Natural Gas Standard,Natural Gas,16.38,0.0,60.0,0,40,0.0,887.4192004814889,0.0,0.0,0.0,5525.268885956906,0.0,0.0,0.0,0.0,33250.378266389474,0.0,2288.885058045056,35539.26332443453,0.0,0.0,0.0,0.0,41064.53221039144,12558.0,93733.0,2255.0,11.0431,11.1822,20.518,64.447,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536729,0,881,54023.0,60-80%,,2,Marine,In another census Place,G5300330,,Single-Family Detached,1,Electricity,62F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,50000-59999,1,100%,94%,Occupied,Electric Standard,Electricity,11.87,0.0,21.8,0,30,2547.6668130071275,38.39231019256111,0.0,0.0,1437.2205281245776,8926.065584235372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.6318117293833,0.0,0.0,0.0,0.0,9605.697395964757,15756.0,8826.0,3749.0,12.904,18.0046,14.186,24.126,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536748,0,5587,108692.0,150%+,,5,Marine,Not in a census Place,G5300730,,Single-Family Detached,2,Natural Gas,68F,Yes,3F,Night +1h,,,,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,2,200%,94%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,208.11,0,50,0.0,1917.56401213685,0.0,0.0,0.0,11853.259433115529,0.0,0.0,0.0,0.0,88709.9753015001,0.0,7094.664466729155,95804.63976822927,0.0,0.0,0.0,0.0,107657.8992013448,0.0,286025.0,14774.0,7.4727,8.3126,0.0,199.173,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536758,0,2179,55104.0,60-80%,,3,Marine,In another census Place,G5300110,,Single-Family Detached,1,Electricity,70F,Yes,3F,Night -1h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,50000-59999,2,100%,94%,Occupied,Electric Standard,Electricity,23.32,54.44,23.32,0,50,6568.601895770017,311.24147652290003,4470.213033336906,61.54492473616666,2507.223005323361,23277.16974842875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23277.16974842875,22559.0,77744.0,7454.0,15.1557,20.7686,21.472,49.512,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
536888,0,1698,169093.0,150%+,,3,Marine,Not in a census Place,G5300730,,Single-Family Detached,1,Propane,70F,Yes,3F,Night -4h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,160000-179999,2,200%,94%,Occupied,Propane Standard,Propane,0.0,0.0,64.26,0,40,0.0,708.0597055360888,0.0,0.0,0.0,8195.14633522585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28402.103552530403,0.0,7629.519169793461,36031.32965125369,44226.47598647954,0.0,79789.0,15577.0,9.4995,10.0612,0.0,52.779,Metadata_WA_Residential_WA_baseline_metadata_and_annual_results.csv,WA
