bldg_id,Occurrence_Count,Unique_Source_Files
153588,5,"['res_1003.parquet', 'res_119.parquet', 'res_303.parquet', 'res_1231.parquet', 'res_881.parquet']"
159091,2,"['res_119.parquet', 'res_1003.parquet']"
162892,3,"['res_119.parquet', 'res_303.parquet', 'res_1003.parquet']"
163628,2,"['res_119.parquet', 'res_1003.parquet']"
169995,3,"['res_119.parquet', 'res_303.parquet', 'res_1003.parquet']"
181066,4,"['res_303.parquet', 'res_319.parquet', 'res_1003.parquet', 'res_46.parquet']"
230388,2,"['res_119.parquet', 'res_1003.parquet']"
259210,3,"['res_357.parquet', 'res_46.parquet', 'res_1003.parquet']"
275743,3,"['res_119.parquet', 'res_357.parquet', 'res_1003.parquet']"
278844,2,"['res_119.parquet', 'res_1003.parquet']"
283704,5,"['res_1003.parquet', 'res_119.parquet', 'res_319.parquet', 'res_357.parquet', 'res_303.parquet']"
289847,3,"['res_357.parquet', 'res_319.parquet', 'res_1003.parquet']"
289938,3,"['res_119.parquet', 'res_303.parquet', 'res_1003.parquet']"
303835,2,"['res_357.parquet', 'res_1003.parquet']"
309562,3,"['res_119.parquet', 'res_303.parquet', 'res_1003.parquet']"
326637,3,"['res_303.parquet', 'res_319.parquet', 'res_1003.parquet']"
336337,4,"['res_119.parquet', 'res_303.parquet', 'res_1003.parquet', 'res_881.parquet']"
346162,2,"['res_119.parquet', 'res_1003.parquet']"
426357,2,"['res_119.parquet', 'res_1003.parquet']"
446645,5,"['res_1003.parquet', 'res_119.parquet', 'res_319.parquet', 'res_357.parquet', 'res_303.parquet']"
451507,2,"['res_119.parquet', 'res_1003.parquet']"
462308,5,"['res_1003.parquet', 'res_119.parquet', 'res_303.parquet', 'res_1231.parquet', 'res_881.parquet']"
473915,5,"['res_1003.parquet', 'res_119.parquet', 'res_303.parquet', 'res_1231.parquet', 'res_881.parquet']"
476396,4,"['res_119.parquet', 'res_303.parquet', 'res_319.parquet', 'res_1003.parquet']"
506925,3,"['res_119.parquet', 'res_303.parquet', 'res_1003.parquet']"
507857,2,"['res_119.parquet', 'res_1003.parquet']"
530149,5,"['res_1003.parquet', 'res_119.parquet', 'res_303.parquet', 'res_1231.parquet', 'res_881.parquet']"
546138,2,"['res_119.parquet', 'res_1003.parquet']"
5319,3,"['res_394.parquet', 'res_1006.parquet', 'res_798.parquet']"
72106,8,"['res_779.parquet', 'res_394.parquet', 'res_132.parquet', 'res_451.parquet', 'res_1006.parquet', 'res_794.parquet', 'res_642.parquet', 'res_131.parquet']"
88164,4,"['res_560.parquet', 'res_1006.parquet', 'res_798.parquet', 'res_401.parquet']"
100275,4,"['res_394.parquet', 'res_861.parquet', 'res_642.parquet', 'res_1006.parquet']"
118243,5,"['res_257.parquet', 'res_401.parquet', 'res_1006.parquet', 'res_560.parquet', 'res_798.parquet']"
137015,7,"['res_394.parquet', 'res_132.parquet', 'res_451.parquet', 'res_1006.parquet', 'res_794.parquet', 'res_642.parquet', 'res_131.parquet']"
139712,4,"['res_560.parquet', 'res_1006.parquet', 'res_798.parquet', 'res_401.parquet']"
154581,4,"['res_394.parquet', 'res_861.parquet', 'res_642.parquet', 'res_1006.parquet']"
