bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
458329,0,881,4187.0,0-30%,,3,Cold,Not in a census Place,G2601450,,Single-Family Detached,2,Natural Gas,70F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 76% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,<10000,2,100%,85%,Occupied,Natural Gas Standard,Natural Gas,29.71,0.0,75.12,0,40,0.0,866.0250123589167,0.0,0.0,0.0,7089.389187466056,0.0,0.0,0.0,0.0,36018.72759523628,0.0,4636.970472264899,41561.58074540352,0.0,0.0,0.0,0.0,48650.96993286957,25863.0,96327.0,8143.000000000001,5.1073,3.1646,25.941,67.511,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
458438,0,1228,4849.0,0-30%,,1,Cold,"MI, Westland",G2601630,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night +2h,,,,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Natural Gas Fuel Boiler,,,,<10000,1,200%,85%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,53.75,0,30,0.0,139.20875833180554,0.0,0.0,0.0,5847.64706314635,0.0,0.0,0.0,0.0,34124.023126572865,0.0,4105.339550972489,39045.27253690483,0.0,0.0,0.0,0.0,44892.91960005118,0.0,92155.0,7137.0,11.7476,12.3545,0.0,90.604,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
458579,0,2179,17535.0,0-30%,,2,Cold,Not in a census Place,G2600490,,Single-Family Detached,2,Natural Gas,75F,No,0F,,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,15000-19999,5,50%,85%,Occupied,Natural Gas Standard,Natural Gas,0.0,0.0,66.43,0,30,0.0,1181.9556260045724,0.0,0.0,0.0,5010.343015664311,0.0,0.0,0.0,0.0,46546.719649033024,0.0,5278.503044871894,52797.04636259601,0.0,0.0,0.0,0.0,57807.38937826032,0.0,131084.0,10335.0,3.311,3.9129,0.0,66.533,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
458826,0,1228,31921.0,60-80%,,3,Cold,Not in a census Place,G2601570,,Single-Family Detached,1,Natural Gas,72F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,30000-34999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,26.55,0.0,100.05,0,40,0.0,1019.5942531291612,0.0,0.0,0.0,8611.89339701075,0.0,0.0,0.0,0.0,46287.35175193061,0.0,7350.808582059678,54614.38006873395,0.0,0.0,0.0,0.0,63226.2734657447,20977.0,149562.0,15510.0,6.0884,4.992100000000001,21.386,86.146,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
459060,0,623,19323.0,30-60%,,1,Cold,In another census Place,G2601150,,5 to 9 Unit,2,Electricity,72F,No,0F,,"Room AC, EER 10.7",100% Conditioned,Room AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,15000-19999,1,200%,89%,Occupied,Electric Standard,Electricity,11.68,0.0,26.11,0,30,10006.618619960354,0.0,0.0,0.0,2636.467347269311,18148.13294934469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18148.13294934469,10727.0,34142.0,7794.0,8.0887,13.6552,10.15,26.114,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
459270,0,872,36175.0,60-80%,,1,Cold,"MI, Detroit",G2601630,,Single-Family Attached,1,Natural Gas,72F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,35000-39999,1,100%,104%,Occupied,Electric Standard,Electricity,2.23,0.0,33.69,0,30,0.0,437.8481788373,0.0,0.0,1688.6755063323444,7218.047387271661,0.0,0.0,0.0,0.0,17315.224967915234,0.0,0.0,17315.224967915234,0.0,0.0,0.0,0.0,24533.27235518689,2003.0,48763.0,4703.0,13.3099,13.6873,3.273,42.274,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
459424,0,854,12655.0,0-30%,,2,Cold,"MI, Pontiac",G2601250,,50 or more Unit,9,Electricity,70F,Yes,3F,Night +1h,Shared Cooling,100% Conditioned,Central AC,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,10000-14999,2,50%,89%,Occupied,Electric Standard,Electricity,16.89,0.0,33.18,0,30,11315.4740193495,237.3875668395,0.0,0.0,1258.447175319522,16069.379848613118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16069.379848613118,10969.0,37201.0,3189.0,4.4963,10.6871,11.19,27.423,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
459453,0,2179,32204.0,60-80%,,3,Cold,In another census Place,G2600310,,Single-Family Detached,1,Fuel Oil,67F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,30000-34999,1,100%,85%,Occupied,Electric Premium,Electricity,17.39,0.0,58.01,0,50,0.0,737.6598836234833,0.0,0.0,1462.424640159389,9098.098302426466,29079.683866768577,0.0,0.0,29079.683866768577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.6318117293833,38857.41398092443,8453.0,81891.0,4339.0,11.8254,14.7244,15.632,59.129,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
459604,0,1228,22473.0,30-60%,,3,Cold,Not in a census Place,G2601370,,Mobile Home,1,Natural Gas,70F,Yes,6F,Night,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Natural Gas Fuel Boiler,,,,20000-24999,2,200%,94%,Occupied,Natural Gas Standard,Natural Gas,6.48,0.0,75.7,0,40,0.0,124.55520482319444,0.0,0.0,0.0,8408.209003241056,0.0,0.0,0.0,0.0,44008.724181341575,0.0,7736.19703933615,51744.62814960755,0.0,0.0,0.0,0.0,60152.83715284861,5581.0,116157.0,16500.0,10.2657,11.1119,9.271,86.006,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
459821,0,623,22223.0,30-60%,,2,Cold,In another census Place,G2601250,,50 or more Unit,5,Electricity,68F,Yes,6F,Night -4h,"Room AC, EER 10.7",40% Conditioned,Room AC,Shared Heating,Non-Ducted Heating,Electricity Shared Heating,,,,20000-24999,1,200%,89%,Occupied,Electric Standard,Electricity,3.1,0.0,7.62,0,30,939.8789220423166,41.02994982411112,0.0,0.0,2503.12001034095,7417.628786058944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7417.628786058944,3262.0,3179.0,7459.0,6.5809,7.2405,4.014,10.443,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI,Low
