bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
460934,0,1698,27012.0,30-60%,,3,Cold,"MI, Detroit",G2601630,,Single-Family Detached,1,Natural Gas,72F,Yes,3F,Night +2h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,25000-29999,1,200%,85%,Occupied,Natural Gas Standard,Natural Gas,28.41,0.0,98.22,0,40,0.0,1324.3881661082723,0.0,0.0,0.0,9279.802365933245,0.0,0.0,0.0,0.0,52337.80399563613,0.0,4377.895646232656,56715.99271293896,0.0,0.0,0.0,0.0,65995.79507887221,27263.0,147314.0,6851.0,7.297899999999999,8.663200000000002,24.683,103.615,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
460988,0,1138,4849.0,0-30%,,2,Cold,"MI, Portage",G2600770,,10 to 19 Unit,2,Natural Gas,65F,Yes,3F,Night +4h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,<10000,1,100%,89%,Occupied,Natural Gas Premium,Natural Gas,18.78,0.0,22.76,0,30,0.0,39.56459447325,0.0,0.0,0.0,3351.5607584895333,0.0,0.0,0.0,0.0,6023.196634179511,0.0,2350.429982781222,9068.498124339072,0.0,0.0,0.0,0.0,12420.058882828604,7287.0,19123.0,4064.0,2.2255,1.3349000000000002,14.842,18.535,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
460992,0,2678,27621.0,30-60%,,4,Cold,Not in a census Place,G2601610,,Single-Family Detached,2,Natural Gas,70F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,25000-29999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,40.79,0.0,129.39,0,40,0.0,1340.5070749677443,0.0,0.0,0.0,10709.403046233345,0.0,0.0,0.0,0.0,60732.53172964927,0.0,7295.1250787269555,69003.58347204972,0.0,0.0,0.0,0.0,79712.98651828307,14479.0,196239.0,15553.0,15.5739,14.2853,32.161,115.166,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461063,0,2678,108692.0,120-150%,,4,Cold,"MI, Ann Arbor",G2601610,,Single-Family Detached,2,Natural Gas,70F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,100000-119999,2,100%,85%,Occupied,Natural Gas Standard,Natural Gas,53.03,0.0,148.86,0,40,0.0,1532.7616970007225,0.0,0.0,0.0,6596.150576366206,0.0,0.0,0.0,0.0,69414.76218350136,0.0,4364.414377004733,75498.33145813634,0.0,0.0,0.0,0.0,82094.48203450255,12223.0,224298.0,7845.0,4.1946,2.1901,33.961,140.072,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461117,0,1228,32204.0,30-60%,,3,Cold,"MI, Dearborn",G2601630,,Single-Family Detached,2,Natural Gas,70F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,30000-34999,1,100%,85%,Occupied,Electric Standard,Electricity,15.94,0.0,55.6,0,50,0.0,635.0850090632055,0.0,0.0,1446.5988023700888,6400.672172561333,0.0,0.0,0.0,0.0,28935.492900243844,0.0,0.0,29615.12471197323,0.0,0.0,0.0,0.0,36015.79688453456,12728.0,93489.0,3883.0,10.4011,12.469,14.011,54.646,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461155,0,1138,63747.0,100-120%,,2,Cold,"MI, Royal Oak",G2601250,,20 to 49 Unit,9,Electricity,75F,No,0F,,,,,"Electric Wall Furnace, 100% AFUE",Non-Ducted Heating,Electricity Electric Wall Furnace,,,,60000-69999,2,50%,89%,Occupied,Electric Standard,Electricity,0.0,0.0,23.67,0,30,11101.82520919395,0.0,0.0,0.0,1324.3881661082723,14201.051776265202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.7879880208775,0.0,0.0,0.0,0.0,15495.83976428608,0.0,37879.0,3604.0,4.171600000000001,10.409,0.0,26.812,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461234,0,1228,89096.0,100-120%,,3,Cold,Not in a census Place,G2600930,,Single-Family Detached,1,Other Fuel,68F,No,0F,,,,,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,80000-99999,2,50%,85%,Occupied,Electric Standard,Electricity,0.0,0.0,72.86,0,50,0.0,0.0,0.0,0.0,1495.248600018678,6211.934403370423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6211.934403370423,0.0,103548.0,4086.000000000001,9.7005,10.3607,0.0,60.004,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461300,0,1138,42426.0,30-60%,,2,Cold,In another census Place,G2601610,,10 to 19 Unit,1,Natural Gas,75F,Yes,12F,Night +4h,"AC, SEER 13",100% Conditioned,Central AC,Shared Heating,Ducted Heating,Natural Gas Shared Heating,,,,40000-44999,2,100%,89%,Occupied,Electric Standard,Electricity,9.46,0.0,15.65,0,30,0.0,130.7096972968111,0.0,0.0,2261.0433063786945,6433.496132420622,0.0,0.0,0.0,0.0,7737.662394687011,0.0,0.0,7737.662394687011,0.0,0.0,0.0,0.0,14171.158527107633,9957.0,20514.0,6598.0,5.8622,5.6774,8.276,23.465,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461338,0,1698,66973.0,80-100%,,4,Cold,"MI, Detroit",G2601630,,Single-Family Detached,1,Natural Gas,70F,No,0F,,"AC, SEER 13",80% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,3,100%,85%,Occupied,Natural Gas Standard,Natural Gas,43.51,0.0,159.37,0,40,0.0,2442.161227745128,0.0,0.0,0.0,11860.00006772949,0.0,0.0,0.0,0.0,96529.99066690552,0.0,5946.118942724217,102476.10960962974,0.0,0.0,0.0,0.0,114336.10967735924,23621.0,271812.0,11816.0,7.6235,5.5678,32.826,162.442,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461426,0,1698,55104.0,80-100%,,3,Cold,Not in a census Place,G2601590,,Single-Family Detached,2,Propane,70F,No,0F,,,,,"Fuel Furnace, 76% AFUE",Ducted Heating,Propane Fuel Furnace,,,,50000-59999,2,50%,85%,Occupied,Electric Standard,Electricity,0.0,0.0,101.27,0,50,0.0,1514.8843617202165,0.0,0.0,1578.4807839475889,7966.550900491517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63007.05630525589,0.0,0.0,63657.67408103822,71624.22498152974,0.0,168547.0,4421.0,5.421,7.629399999999999,0.0,87.776,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
