Season,scenario (heating_assignment__FULL_combined.csv),Feeder,Mix,% of Total Count of scenario (heating_assignment__FULL_combined.csv)
winter,dm,circuit_58,4,39.415999353%
summer,dm,circuit_58,4,39.415999353%
winter,dm,circuit_57,4,39.415999353%
summer,dm,circuit_57,4,39.415999353%
winter,dm,circuit_56,4,39.415999353%
summer,dm,circuit_56,4,39.415999353%
winter,dm,circuit_55,4,39.415999353%
summer,dm,circuit_55,4,39.415999353%
winter,dm,circuit_54,4,39.415999353%
summer,dm,circuit_54,4,39.415999353%
winter,dm,circuit_53,4,39.415999353%
summer,dm,circuit_53,4,39.415999353%
winter,dm,circuit_52,4,39.415999353%
summer,dm,circuit_52,4,39.415999353%
winter,dm,circuit_51,4,39.415999353%
summer,dm,circuit_51,4,39.415999353%
winter,dm,circuit_50,4,39.415999353%
summer,dm,circuit_50,4,39.415999353%
winter,dm,circuit_49,4,39.415999353%
summer,dm,circuit_49,4,39.415999353%
winter,dm,circuit_48,4,39.415999353%
summer,dm,circuit_48,4,39.415999353%
winter,dm,circuit_47,4,39.415999353%
summer,dm,circuit_47,4,39.415999353%
winter,dm,circuit_46,4,39.415999353%
summer,dm,circuit_46,4,39.415999353%
winter,dm,circuit_45,4,39.415999353%
summer,dm,circuit_45,4,39.415999353%
winter,dm,circuit_44,4,39.415999353%
summer,dm,circuit_44,4,39.415999353%
winter,dm,circuit_43,4,39.415999353%
summer,dm,circuit_43,4,39.415999353%
winter,dm,circuit_42,4,39.415999353%
summer,dm,circuit_42,4,39.415999353%
winter,dm,circuit_41,4,39.415999353%
summer,dm,circuit_41,4,39.415999353%
winter,dm,circuit_40,4,39.415999353%
summer,dm,circuit_40,4,39.415999353%
winter,dm,circuit_39,4,39.415999353%
summer,dm,circuit_39,4,39.415999353%
winter,dm,circuit_38,4,39.415999353%
summer,dm,circuit_38,4,39.415999353%
winter,dm,circuit_37,4,39.415999353%
summer,dm,circuit_37,4,39.415999353%
winter,dm,circuit_35,4,39.415999353%
summer,dm,circuit_35,4,39.415999353%
winter,dm,circuit_34,4,39.415999353%
summer,dm,circuit_34,4,39.415999353%
winter,dm,circuit_33,4,39.415999353%
summer,dm,circuit_33,4,39.415999353%
winter,dm,circuit_32,4,39.415999353%
summer,dm,circuit_32,4,39.415999353%
winter,dm,circuit_31,4,39.415999353%
summer,dm,circuit_31,4,39.415999353%
winter,dm,circuit_30,4,39.415999353%
summer,dm,circuit_30,4,39.415999353%
winter,dm,circuit_29,4,39.415999353%
summer,dm,circuit_29,4,39.415999353%
winter,dm,circuit_28,4,39.415999353%
summer,dm,circuit_28,4,39.415999353%
winter,dm,circuit_27,4,39.415999353%
summer,dm,circuit_27,4,39.415999353%
winter,dm,circuit_26,4,39.415999353%
summer,dm,circuit_26,4,39.415999353%
winter,dm,circuit_25,4,39.415999353%
summer,dm,circuit_25,4,39.415999353%
winter,dm,circuit_24,4,39.415999353%
summer,dm,circuit_24,4,39.415999353%
winter,dm,circuit_23,4,39.415999353%
summer,dm,circuit_23,4,39.415999353%
winter,dm,circuit_22,4,39.415999353%
summer,dm,circuit_22,4,39.415999353%
winter,dm,circuit_21,4,39.415999353%
summer,dm,circuit_21,4,39.415999353%
winter,dm,circuit_20,4,39.415999353%
summer,dm,circuit_20,4,39.415999353%
winter,dm,circuit_19,4,39.415999353%
summer,dm,circuit_19,4,39.415999353%
winter,dm,circuit_18,4,39.415999353%
summer,dm,circuit_18,4,39.415999353%
winter,dm,circuit_17,4,39.415999353%
summer,dm,circuit_17,4,39.415999353%
winter,dm,circuit_16,4,39.415999353%
summer,dm,circuit_16,4,39.415999353%
winter,dm,circuit_15,4,39.415999353%
summer,dm,circuit_15,4,39.415999353%
winter,dm,circuit_14,4,39.415999353%
summer,dm,circuit_14,4,39.415999353%
winter,dm,circuit_11,4,39.415999353%
summer,dm,circuit_11,4,39.415999353%
winter,dm,circuit_10,4,39.415999353%
summer,dm,circuit_10,4,39.415999353%
winter,dm,circuit_9,4,39.415999353%
summer,dm,circuit_9,4,39.415999353%
winter,dm,circuit_8,4,39.415999353%
summer,dm,circuit_8,4,39.415999353%
winter,dm,circuit_7,4,39.415999353%
summer,dm,circuit_7,4,39.415999353%
winter,dm,circuit_6,4,39.415999353%
summer,dm,circuit_6,4,39.415999353%
winter,dm,circuit_5,4,39.415999353%
summer,dm,circuit_5,4,39.415999353%
winter,dm,circuit_4,4,39.415999353%
summer,dm,circuit_4,4,39.415999353%
winter,dm,circuit_3,4,39.415999353%
summer,dm,circuit_3,4,39.415999353%
winter,dm,circuit_2,4,39.415999353%
summer,dm,circuit_2,4,39.415999353%
winter,dm,circuit_1,4,39.415999353%
summer,dm,circuit_1,4,39.415999353%
winter,dm,circuit_61,3,3.065598965%
summer,dm,circuit_61,3,3.065598965%
winter,dm,circuit_60,3,3.065598965%
summer,dm,circuit_60,3,3.065598965%
winter,dm,circuit_59,3,3.065598965%
summer,dm,circuit_59,3,3.065598965%
winter,dm,circuit_58,3,3.065598965%
summer,dm,circuit_58,3,3.065598965%
winter,dm,circuit_57,3,3.065598965%
summer,dm,circuit_57,3,3.065598965%
winter,dm,circuit_56,3,3.065598965%
summer,dm,circuit_56,3,3.065598965%
winter,dm,circuit_55,3,3.065598965%
summer,dm,circuit_55,3,3.065598965%
winter,dm,circuit_54,3,3.065598965%
summer,dm,circuit_54,3,3.065598965%
winter,dm,circuit_53,3,3.065598965%
summer,dm,circuit_53,3,3.065598965%
winter,dm,circuit_52,3,3.065598965%
summer,dm,circuit_52,3,3.065598965%
winter,dm,circuit_51,3,3.065598965%
summer,dm,circuit_51,3,3.065598965%
winter,dm,circuit_50,3,3.065598965%
summer,dm,circuit_50,3,3.065598965%
winter,dm,circuit_49,3,3.065598965%
summer,dm,circuit_49,3,3.065598965%
winter,dm,circuit_48,3,3.065598965%
summer,dm,circuit_48,3,3.065598965%
winter,dm,circuit_47,3,3.065598965%
summer,dm,circuit_47,3,3.065598965%
winter,dm,circuit_46,3,3.065598965%
summer,dm,circuit_46,3,3.065598965%
winter,dm,circuit_45,3,3.065598965%
summer,dm,circuit_45,3,3.065598965%
winter,dm,circuit_44,3,3.065598965%
summer,dm,circuit_44,3,3.065598965%
winter,dm,circuit_43,3,3.065598965%
summer,dm,circuit_43,3,3.065598965%
winter,dm,circuit_42,3,3.065598965%
summer,dm,circuit_42,3,3.065598965%
winter,dm,circuit_41,3,3.065598965%
summer,dm,circuit_41,3,3.065598965%
winter,dm,circuit_40,3,3.065598965%
summer,dm,circuit_40,3,3.065598965%
winter,dm,circuit_39,3,3.065598965%
summer,dm,circuit_39,3,3.065598965%
winter,dm,circuit_38,3,3.065598965%
summer,dm,circuit_38,3,3.065598965%
winter,dm,circuit_37,3,3.065598965%
summer,dm,circuit_37,3,3.065598965%
winter,dm,circuit_35,3,3.065598965%
summer,dm,circuit_35,3,3.065598965%
winter,dm,circuit_34,3,3.065598965%
summer,dm,circuit_34,3,3.065598965%
winter,dm,circuit_33,3,3.065598965%
summer,dm,circuit_33,3,3.065598965%
winter,dm,circuit_32,3,3.065598965%
summer,dm,circuit_32,3,3.065598965%
winter,dm,circuit_31,3,3.065598965%
summer,dm,circuit_31,3,3.065598965%
winter,dm,circuit_30,3,3.065598965%
summer,dm,circuit_30,3,3.065598965%
winter,dm,circuit_29,3,3.065598965%
summer,dm,circuit_29,3,3.065598965%
winter,dm,circuit_28,3,3.065598965%
summer,dm,circuit_28,3,3.065598965%
winter,dm,circuit_27,3,3.065598965%
summer,dm,circuit_27,3,3.065598965%
winter,dm,circuit_26,3,3.065598965%
summer,dm,circuit_26,3,3.065598965%
winter,dm,circuit_25,3,3.065598965%
summer,dm,circuit_25,3,3.065598965%
winter,dm,circuit_24,3,3.065598965%
summer,dm,circuit_24,3,3.065598965%
winter,dm,circuit_23,3,3.065598965%
summer,dm,circuit_23,3,3.065598965%
winter,dm,circuit_22,3,3.065598965%
summer,dm,circuit_22,3,3.065598965%
winter,dm,circuit_21,3,3.065598965%
summer,dm,circuit_21,3,3.065598965%
winter,dm,circuit_20,3,3.065598965%
summer,dm,circuit_20,3,3.065598965%
winter,dm,circuit_19,3,3.065598965%
summer,dm,circuit_19,3,3.065598965%
winter,dm,circuit_18,3,3.065598965%
summer,dm,circuit_18,3,3.065598965%
winter,dm,circuit_17,3,3.065598965%
summer,dm,circuit_17,3,3.065598965%
winter,dm,circuit_16,3,3.065598965%
summer,dm,circuit_16,3,3.065598965%
winter,dm,circuit_15,3,3.065598965%
summer,dm,circuit_15,3,3.065598965%
winter,dm,circuit_14,3,3.065598965%
summer,dm,circuit_14,3,3.065598965%
winter,dm,circuit_11,3,3.065598965%
summer,dm,circuit_11,3,3.065598965%
winter,dm,circuit_10,3,3.065598965%
summer,dm,circuit_10,3,3.065598965%
winter,dm,circuit_9,3,3.065598965%
summer,dm,circuit_9,3,3.065598965%
winter,dm,circuit_8,3,3.065598965%
summer,dm,circuit_8,3,3.065598965%
winter,dm,circuit_7,3,3.065598965%
summer,dm,circuit_7,3,3.065598965%
winter,dm,circuit_6,3,3.065598965%
summer,dm,circuit_6,3,3.065598965%
winter,dm,circuit_5,3,3.065598965%
summer,dm,circuit_5,3,3.065598965%
winter,dm,circuit_4,3,3.065598965%
summer,dm,circuit_4,3,3.065598965%
winter,dm,circuit_3,3,3.065598965%
summer,dm,circuit_3,3,3.065598965%
winter,dm,circuit_2,3,3.065598965%
summer,dm,circuit_2,3,3.065598965%
winter,dm,circuit_1,3,3.065598965%
summer,dm,circuit_1,3,3.065598965%
winter,dm,circuit_61,2,57.008816630%
summer,dm,circuit_61,2,57.008816630%
winter,dm,circuit_60,2,57.008816630%
summer,dm,circuit_60,2,57.008816630%
winter,dm,circuit_59,2,57.008816630%
summer,dm,circuit_59,2,57.008816630%
winter,dm,circuit_58,2,57.008816630%
summer,dm,circuit_58,2,57.008816630%
winter,dm,circuit_57,2,57.008816630%
summer,dm,circuit_57,2,57.008816630%
winter,dm,circuit_56,2,57.008816630%
summer,dm,circuit_56,2,57.008816630%
winter,dm,circuit_55,2,57.008816630%
summer,dm,circuit_55,2,57.008816630%
winter,dm,circuit_54,2,57.008816630%
summer,dm,circuit_54,2,57.008816630%
winter,dm,circuit_53,2,57.008816630%
summer,dm,circuit_53,2,57.008816630%
winter,dm,circuit_52,2,57.008816630%
summer,dm,circuit_52,2,57.008816630%
winter,dm,circuit_51,2,57.008816630%
summer,dm,circuit_51,2,57.008816630%
winter,dm,circuit_50,2,57.008816630%
summer,dm,circuit_50,2,57.008816630%
winter,dm,circuit_49,2,57.008816630%
summer,dm,circuit_49,2,57.008816630%
winter,dm,circuit_48,2,57.008816630%
summer,dm,circuit_48,2,57.008816630%
winter,dm,circuit_47,2,57.008816630%
summer,dm,circuit_47,2,57.008816630%
winter,dm,circuit_46,2,57.008816630%
summer,dm,circuit_46,2,57.008816630%
winter,dm,circuit_45,2,57.008816630%
summer,dm,circuit_45,2,57.008816630%
winter,dm,circuit_44,2,57.008816630%
summer,dm,circuit_44,2,57.008816630%
winter,dm,circuit_43,2,57.008816630%
summer,dm,circuit_43,2,57.008816630%
winter,dm,circuit_42,2,57.008816630%
summer,dm,circuit_42,2,57.008816630%
winter,dm,circuit_41,2,57.008816630%
summer,dm,circuit_41,2,57.008816630%
winter,dm,circuit_40,2,57.008816630%
summer,dm,circuit_40,2,57.008816630%
winter,dm,circuit_39,2,57.008816630%
summer,dm,circuit_39,2,57.008816630%
winter,dm,circuit_38,2,57.008816630%
summer,dm,circuit_38,2,57.008816630%
winter,dm,circuit_37,2,57.008816630%
summer,dm,circuit_37,2,57.008816630%
winter,dm,circuit_35,2,57.008816630%
summer,dm,circuit_35,2,57.008816630%
winter,dm,circuit_34,2,57.008816630%
summer,dm,circuit_34,2,57.008816630%
winter,dm,circuit_33,2,57.008816630%
summer,dm,circuit_33,2,57.008816630%
winter,dm,circuit_32,2,57.008816630%
summer,dm,circuit_32,2,57.008816630%
winter,dm,circuit_31,2,57.008816630%
summer,dm,circuit_31,2,57.008816630%
winter,dm,circuit_30,2,57.008816630%
summer,dm,circuit_30,2,57.008816630%
winter,dm,circuit_29,2,57.008816630%
summer,dm,circuit_29,2,57.008816630%
winter,dm,circuit_28,2,57.008816630%
summer,dm,circuit_28,2,57.008816630%
winter,dm,circuit_27,2,57.008816630%
summer,dm,circuit_27,2,57.008816630%
winter,dm,circuit_26,2,57.008816630%
summer,dm,circuit_26,2,57.008816630%
winter,dm,circuit_25,2,57.008816630%
summer,dm,circuit_25,2,57.008816630%
winter,dm,circuit_24,2,57.008816630%
summer,dm,circuit_24,2,57.008816630%
winter,dm,circuit_23,2,57.008816630%
summer,dm,circuit_23,2,57.008816630%
winter,dm,circuit_22,2,57.008816630%
summer,dm,circuit_22,2,57.008816630%
winter,dm,circuit_21,2,57.008816630%
summer,dm,circuit_21,2,57.008816630%
winter,dm,circuit_20,2,57.008816630%
summer,dm,circuit_20,2,57.008816630%
winter,dm,circuit_19,2,57.008816630%
summer,dm,circuit_19,2,57.008816630%
winter,dm,circuit_18,2,57.008816630%
summer,dm,circuit_18,2,57.008816630%
winter,dm,circuit_17,2,57.008816630%
summer,dm,circuit_17,2,57.008816630%
winter,dm,circuit_16,2,57.008816630%
summer,dm,circuit_16,2,57.008816630%
winter,dm,circuit_15,2,57.008816630%
summer,dm,circuit_15,2,57.008816630%
winter,dm,circuit_14,2,57.008816630%
summer,dm,circuit_14,2,57.008816630%
winter,dm,circuit_11,2,57.008816630%
summer,dm,circuit_11,2,57.008816630%
winter,dm,circuit_10,2,57.008816630%
summer,dm,circuit_10,2,57.008816630%
winter,dm,circuit_9,2,57.008816630%
summer,dm,circuit_9,2,57.008816630%
winter,dm,circuit_8,2,57.008816630%
summer,dm,circuit_8,2,57.008816630%
winter,dm,circuit_7,2,57.008816630%
summer,dm,circuit_7,2,57.008816630%
winter,dm,circuit_6,2,57.008816630%
summer,dm,circuit_6,2,57.008816630%
winter,dm,circuit_5,2,57.008816630%
summer,dm,circuit_5,2,57.008816630%
winter,dm,circuit_4,2,57.008816630%
summer,dm,circuit_4,2,57.008816630%
winter,dm,circuit_3,2,57.008816630%
summer,dm,circuit_3,2,57.008816630%
winter,dm,circuit_2,2,57.008816630%
summer,dm,circuit_2,2,57.008816630%
winter,dm,circuit_1,2,57.008816630%
summer,dm,circuit_1,2,57.008816630%
winter,dm,circuit_61,1,25.568227776%
summer,dm,circuit_61,1,25.568227776%
winter,dm,circuit_60,1,25.568227776%
summer,dm,circuit_60,1,25.568227776%
winter,dm,circuit_59,1,25.568227776%
summer,dm,circuit_59,1,25.568227776%
winter,dm,circuit_58,1,25.568227776%
summer,dm,circuit_58,1,25.568227776%
winter,dm,circuit_57,1,25.568227776%
summer,dm,circuit_57,1,25.568227776%
winter,dm,circuit_56,1,25.568227776%
summer,dm,circuit_56,1,25.568227776%
winter,dm,circuit_55,1,25.568227776%
summer,dm,circuit_55,1,25.568227776%
winter,dm,circuit_54,1,25.568227776%
summer,dm,circuit_54,1,25.568227776%
winter,dm,circuit_53,1,25.568227776%
summer,dm,circuit_53,1,25.568227776%
winter,dm,circuit_52,1,25.568227776%
summer,dm,circuit_52,1,25.568227776%
winter,dm,circuit_51,1,25.568227776%
summer,dm,circuit_51,1,25.568227776%
winter,dm,circuit_50,1,25.568227776%
summer,dm,circuit_50,1,25.568227776%
winter,dm,circuit_49,1,25.568227776%
summer,dm,circuit_49,1,25.568227776%
winter,dm,circuit_48,1,25.568227776%
summer,dm,circuit_48,1,25.568227776%
winter,dm,circuit_47,1,25.568227776%
summer,dm,circuit_47,1,25.568227776%
winter,dm,circuit_46,1,25.568227776%
summer,dm,circuit_46,1,25.568227776%
winter,dm,circuit_45,1,25.568227776%
summer,dm,circuit_45,1,25.568227776%
winter,dm,circuit_44,1,25.568227776%
summer,dm,circuit_44,1,25.568227776%
winter,dm,circuit_43,1,25.568227776%
summer,dm,circuit_43,1,25.568227776%
winter,dm,circuit_42,1,25.568227776%
summer,dm,circuit_42,1,25.568227776%
winter,dm,circuit_41,1,25.568227776%
summer,dm,circuit_41,1,25.568227776%
winter,dm,circuit_40,1,25.568227776%
summer,dm,circuit_40,1,25.568227776%
winter,dm,circuit_39,1,25.568227776%
summer,dm,circuit_39,1,25.568227776%
winter,dm,circuit_38,1,25.568227776%
summer,dm,circuit_38,1,25.568227776%
winter,dm,circuit_37,1,25.568227776%
summer,dm,circuit_37,1,25.568227776%
winter,dm,circuit_35,1,25.568227776%
summer,dm,circuit_35,1,25.568227776%
winter,dm,circuit_34,1,25.568227776%
summer,dm,circuit_34,1,25.568227776%
winter,dm,circuit_33,1,25.568227776%
summer,dm,circuit_33,1,25.568227776%
winter,dm,circuit_32,1,25.568227776%
summer,dm,circuit_32,1,25.568227776%
winter,dm,circuit_31,1,25.568227776%
summer,dm,circuit_31,1,25.568227776%
winter,dm,circuit_30,1,25.568227776%
summer,dm,circuit_30,1,25.568227776%
winter,dm,circuit_29,1,25.568227776%
summer,dm,circuit_29,1,25.568227776%
winter,dm,circuit_28,1,25.568227776%
summer,dm,circuit_28,1,25.568227776%
winter,dm,circuit_27,1,25.568227776%
summer,dm,circuit_27,1,25.568227776%
winter,dm,circuit_26,1,25.568227776%
summer,dm,circuit_26,1,25.568227776%
winter,dm,circuit_25,1,25.568227776%
summer,dm,circuit_25,1,25.568227776%
winter,dm,circuit_24,1,25.568227776%
summer,dm,circuit_24,1,25.568227776%
winter,dm,circuit_23,1,25.568227776%
summer,dm,circuit_23,1,25.568227776%
winter,dm,circuit_22,1,25.568227776%
summer,dm,circuit_22,1,25.568227776%
winter,dm,circuit_21,1,25.568227776%
summer,dm,circuit_21,1,25.568227776%
winter,dm,circuit_20,1,25.568227776%
summer,dm,circuit_20,1,25.568227776%
winter,dm,circuit_19,1,25.568227776%
summer,dm,circuit_19,1,25.568227776%
winter,dm,circuit_18,1,25.568227776%
summer,dm,circuit_18,1,25.568227776%
winter,dm,circuit_17,1,25.568227776%
summer,dm,circuit_17,1,25.568227776%
winter,dm,circuit_16,1,25.568227776%
summer,dm,circuit_16,1,25.568227776%
winter,dm,circuit_15,1,25.568227776%
summer,dm,circuit_15,1,25.568227776%
winter,dm,circuit_14,1,25.568227776%
summer,dm,circuit_14,1,25.568227776%
winter,dm,circuit_11,1,25.568227776%
summer,dm,circuit_11,1,25.568227776%
winter,dm,circuit_10,1,25.568227776%
summer,dm,circuit_10,1,25.568227776%
winter,dm,circuit_9,1,25.568227776%
summer,dm,circuit_9,1,25.568227776%
winter,dm,circuit_8,1,25.568227776%
summer,dm,circuit_8,1,25.568227776%
winter,dm,circuit_7,1,25.568227776%
summer,dm,circuit_7,1,25.568227776%
winter,dm,circuit_6,1,25.568227776%
summer,dm,circuit_6,1,25.568227776%
winter,dm,circuit_5,1,25.568227776%
summer,dm,circuit_5,1,25.568227776%
winter,dm,circuit_4,1,25.568227776%
summer,dm,circuit_4,1,25.568227776%
winter,dm,circuit_3,1,25.568227776%
summer,dm,circuit_3,1,25.568227776%
winter,dm,circuit_2,1,25.568227776%
summer,dm,circuit_2,1,25.568227776%
winter,dm,circuit_1,1,25.568227776%
summer,dm,circuit_1,1,25.568227776%
winter,un,circuit_61,10,76.263851816%
summer,un,circuit_61,10,76.263851816%
winter,un,circuit_60,10,76.263851816%
summer,un,circuit_60,10,76.263851816%
winter,un,circuit_59,10,76.263851816%
summer,un,circuit_59,10,76.263851816%
winter,un,circuit_58,10,76.263851816%
summer,un,circuit_58,10,76.263851816%
winter,un,circuit_57,10,76.263851816%
summer,un,circuit_57,10,76.263851816%
winter,un,circuit_56,10,76.263851816%
summer,un,circuit_56,10,76.263851816%
winter,un,circuit_55,10,76.263851816%
summer,un,circuit_55,10,76.263851816%
winter,un,circuit_54,10,76.263851816%
summer,un,circuit_54,10,76.263851816%
winter,un,circuit_53,10,76.263851816%
summer,un,circuit_53,10,76.263851816%
winter,un,circuit_52,10,76.263851816%
summer,un,circuit_52,10,76.263851816%
winter,un,circuit_51,10,76.263851816%
summer,un,circuit_51,10,76.263851816%
winter,un,circuit_50,10,76.263851816%
summer,un,circuit_50,10,76.263851816%
winter,un,circuit_49,10,76.263851816%
summer,un,circuit_49,10,76.263851816%
winter,un,circuit_48,10,76.263851816%
summer,un,circuit_48,10,76.263851816%
winter,un,circuit_47,10,76.263851816%
summer,un,circuit_47,10,76.263851816%
winter,un,circuit_46,10,76.263851816%
summer,un,circuit_46,10,76.263851816%
winter,un,circuit_45,10,76.263851816%
summer,un,circuit_45,10,76.263851816%
winter,un,circuit_44,10,76.263851816%
summer,un,circuit_44,10,76.263851816%
winter,un,circuit_43,10,76.263851816%
summer,un,circuit_43,10,76.263851816%
winter,un,circuit_42,10,76.263851816%
summer,un,circuit_42,10,76.263851816%
winter,un,circuit_41,10,76.263851816%
summer,un,circuit_41,10,76.263851816%
winter,un,circuit_40,10,76.263851816%
summer,un,circuit_40,10,76.263851816%
winter,un,circuit_39,10,76.263851816%
summer,un,circuit_39,10,76.263851816%
winter,un,circuit_38,10,76.263851816%
summer,un,circuit_38,10,76.263851816%
winter,un,circuit_37,10,76.263851816%
summer,un,circuit_37,10,76.263851816%
winter,un,circuit_35,10,76.263851816%
summer,un,circuit_35,10,76.263851816%
winter,un,circuit_34,10,76.263851816%
summer,un,circuit_34,10,76.263851816%
winter,un,circuit_33,10,76.263851816%
summer,un,circuit_33,10,76.263851816%
winter,un,circuit_32,10,76.263851816%
summer,un,circuit_32,10,76.263851816%
winter,un,circuit_31,10,76.263851816%
summer,un,circuit_31,10,76.263851816%
winter,un,circuit_30,10,76.263851816%
summer,un,circuit_30,10,76.263851816%
winter,un,circuit_29,10,76.263851816%
summer,un,circuit_29,10,76.263851816%
winter,un,circuit_28,10,76.263851816%
summer,un,circuit_28,10,76.263851816%
winter,un,circuit_27,10,76.263851816%
summer,un,circuit_27,10,76.263851816%
winter,un,circuit_26,10,76.263851816%
summer,un,circuit_26,10,76.263851816%
winter,un,circuit_25,10,76.263851816%
summer,un,circuit_25,10,76.263851816%
winter,un,circuit_24,10,76.263851816%
summer,un,circuit_24,10,76.263851816%
winter,un,circuit_23,10,76.263851816%
summer,un,circuit_23,10,76.263851816%
winter,un,circuit_22,10,76.263851816%
summer,un,circuit_22,10,76.263851816%
winter,un,circuit_21,10,76.263851816%
summer,un,circuit_21,10,76.263851816%
winter,un,circuit_20,10,76.263851816%
summer,un,circuit_20,10,76.263851816%
winter,un,circuit_19,10,76.263851816%
summer,un,circuit_19,10,76.263851816%
winter,un,circuit_18,10,76.263851816%
summer,un,circuit_18,10,76.263851816%
winter,un,circuit_17,10,76.263851816%
summer,un,circuit_17,10,76.263851816%
winter,un,circuit_16,10,76.263851816%
summer,un,circuit_16,10,76.263851816%
winter,un,circuit_15,10,76.263851816%
summer,un,circuit_15,10,76.263851816%
winter,un,circuit_14,10,76.263851816%
summer,un,circuit_14,10,76.263851816%
winter,un,circuit_11,10,76.263851816%
summer,un,circuit_11,10,76.263851816%
winter,un,circuit_10,10,76.263851816%
summer,un,circuit_10,10,76.263851816%
winter,un,circuit_9,10,76.263851816%
summer,un,circuit_9,10,76.263851816%
winter,un,circuit_8,10,76.263851816%
summer,un,circuit_8,10,76.263851816%
winter,un,circuit_7,10,76.263851816%
summer,un,circuit_7,10,76.263851816%
winter,un,circuit_6,10,76.263851816%
summer,un,circuit_6,10,76.263851816%
winter,un,circuit_5,10,76.263851816%
summer,un,circuit_5,10,76.263851816%
winter,un,circuit_4,10,76.263851816%
summer,un,circuit_4,10,76.263851816%
winter,un,circuit_3,10,76.263851816%
summer,un,circuit_3,10,76.263851816%
winter,un,circuit_2,10,76.263851816%
summer,un,circuit_2,10,76.263851816%
winter,un,circuit_1,10,76.263851816%
summer,un,circuit_1,10,76.263851816%
winter,un,circuit_61,9,47.998058724%
summer,un,circuit_61,9,47.998058724%
winter,un,circuit_60,9,47.998058724%
summer,un,circuit_60,9,47.998058724%
winter,un,circuit_59,9,47.998058724%
summer,un,circuit_59,9,47.998058724%
winter,un,circuit_58,9,47.998058724%
summer,un,circuit_58,9,47.998058724%
winter,un,circuit_57,9,47.998058724%
summer,un,circuit_57,9,47.998058724%
winter,un,circuit_56,9,47.998058724%
summer,un,circuit_56,9,47.998058724%
winter,un,circuit_55,9,47.998058724%
summer,un,circuit_55,9,47.998058724%
winter,un,circuit_54,9,47.998058724%
summer,un,circuit_54,9,47.998058724%
winter,un,circuit_53,9,47.998058724%
summer,un,circuit_53,9,47.998058724%
winter,un,circuit_52,9,47.998058724%
summer,un,circuit_52,9,47.998058724%
winter,un,circuit_51,9,47.998058724%
summer,un,circuit_51,9,47.998058724%
winter,un,circuit_50,9,47.998058724%
summer,un,circuit_50,9,47.998058724%
winter,un,circuit_49,9,47.998058724%
summer,un,circuit_49,9,47.998058724%
winter,un,circuit_48,9,47.998058724%
summer,un,circuit_48,9,47.998058724%
winter,un,circuit_47,9,47.998058724%
summer,un,circuit_47,9,47.998058724%
winter,un,circuit_46,9,47.998058724%
summer,un,circuit_46,9,47.998058724%
winter,un,circuit_45,9,47.998058724%
summer,un,circuit_45,9,47.998058724%
winter,un,circuit_44,9,47.998058724%
summer,un,circuit_44,9,47.998058724%
winter,un,circuit_43,9,47.998058724%
summer,un,circuit_43,9,47.998058724%
winter,un,circuit_42,9,47.998058724%
summer,un,circuit_42,9,47.998058724%
winter,un,circuit_41,9,47.998058724%
summer,un,circuit_41,9,47.998058724%
winter,un,circuit_40,9,47.998058724%
summer,un,circuit_40,9,47.998058724%
winter,un,circuit_39,9,47.998058724%
summer,un,circuit_39,9,47.998058724%
winter,un,circuit_38,9,47.998058724%
summer,un,circuit_38,9,47.998058724%
winter,un,circuit_37,9,47.998058724%
summer,un,circuit_37,9,47.998058724%
winter,un,circuit_35,9,47.998058724%
summer,un,circuit_35,9,47.998058724%
winter,un,circuit_34,9,47.998058724%
summer,un,circuit_34,9,47.998058724%
winter,un,circuit_33,9,47.998058724%
summer,un,circuit_33,9,47.998058724%
winter,un,circuit_32,9,47.998058724%
summer,un,circuit_32,9,47.998058724%
winter,un,circuit_31,9,47.998058724%
summer,un,circuit_31,9,47.998058724%
winter,un,circuit_30,9,47.998058724%
summer,un,circuit_30,9,47.998058724%
winter,un,circuit_29,9,47.998058724%
summer,un,circuit_29,9,47.998058724%
winter,un,circuit_28,9,47.998058724%
summer,un,circuit_28,9,47.998058724%
winter,un,circuit_27,9,47.998058724%
summer,un,circuit_27,9,47.998058724%
winter,un,circuit_26,9,47.998058724%
summer,un,circuit_26,9,47.998058724%
winter,un,circuit_25,9,47.998058724%
summer,un,circuit_25,9,47.998058724%
winter,un,circuit_24,9,47.998058724%
summer,un,circuit_24,9,47.998058724%
winter,un,circuit_23,9,47.998058724%
summer,un,circuit_23,9,47.998058724%
winter,un,circuit_22,9,47.998058724%
summer,un,circuit_22,9,47.998058724%
winter,un,circuit_21,9,47.998058724%
summer,un,circuit_21,9,47.998058724%
winter,un,circuit_20,9,47.998058724%
summer,un,circuit_20,9,47.998058724%
winter,un,circuit_19,9,47.998058724%
summer,un,circuit_19,9,47.998058724%
winter,un,circuit_18,9,47.998058724%
summer,un,circuit_18,9,47.998058724%
winter,un,circuit_17,9,47.998058724%
summer,un,circuit_17,9,47.998058724%
winter,un,circuit_16,9,47.998058724%
summer,un,circuit_16,9,47.998058724%
winter,un,circuit_15,9,47.998058724%
summer,un,circuit_15,9,47.998058724%
winter,un,circuit_14,9,47.998058724%
summer,un,circuit_14,9,47.998058724%
winter,un,circuit_11,9,47.998058724%
summer,un,circuit_11,9,47.998058724%
winter,un,circuit_10,9,47.998058724%
summer,un,circuit_10,9,47.998058724%
winter,un,circuit_9,9,47.998058724%
summer,un,circuit_9,9,47.998058724%
