hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.0396329, 0.215203, 0.0394594, -0.16873, 0.0397992, -0.0458874, 0, 0
0, 1800.00000, 0.0396148, 0.257187, 0.0394256, -0.233625, 0.0398502, -0.0246619, 0, 0
0, 2700.00000, 0.0396075, 0.243731, 0.0394422, -0.225858, 0.039841, -0.0186159, 0, 0
1, 0.00000, 0.0396102, 0.24047, 0.0394425, -0.217283, 0.0398378, -0.0240369, 0, 0
1, 900.00000, 0.0396234, 0.228312, 0.0394449, -0.184897, 0.0398222, -0.0439838, 0, 0
1, 1800.00000, 0.0396373, 0.273998, 0.0394104, -0.206808, 0.0398431, -0.0679838, 0, 0
1, 2700.00000, 0.0396402, 0.277472, 0.039406, -0.202831, 0.0398444, -0.0755911, 0, 0
2, 0.00000, 0.0396273, 0.288878, 0.0394042, -0.231805, 0.0398596, -0.0576122, 0, 0
2, 900.00000, 0.0396165, 0.265767, 0.0394201, -0.229726, 0.039854, -0.0370757, 0, 0
2, 1800.00000, 0.0395969, 0.277295, 0.0394109, -0.264141, 0.039883, -0.0143005, 0, 0
2, 2700.00000, 0.0395984, 0.290292, 0.0394023, -0.27473, 0.0398903, -0.0168095, 0, 0
3, 0.00000, 0.039595, 0.2927, 0.0393997, -0.283978, 0.0398962, -0.0101534, 0, 0
3, 900.00000, 0.0395933, 0.290986, 0.0393997, -0.284389, 0.039898, -0.00791112, 0, 0
3, 1800.00000, 0.0396039, 0.256316, 0.0394299, -0.240926, 0.039857, -0.0163, 0, 0
3, 2700.00000, 0.039602, 0.274598, 0.0394142, -0.259764, 0.0398743, -0.0163022, 0, 0
4, 0.00000, 0.0395987, 0.258954, 0.039426, -0.250003, 0.0398661, -0.0100283, 0, 0
4, 900.00000, 0.0395963, 0.258182, 0.0394295, -0.249153, 0.0398653, -0.0096977, 0, 0
4, 1800.00000, 0.0396015, 0.26715, 0.0394193, -0.25397, 0.0398699, -0.0143261, 0, 0
4, 2700.00000, 0.039601, 0.263377, 0.0394207, -0.252623, 0.0398689, -0.012058, 0, 0
5, 0.00000, 0.0395989, 0.265153, 0.0394191, -0.256022, 0.0398726, -0.0103981, 0, 0
5, 900.00000, 0.0396067, 0.275142, 0.0394099, -0.255406, 0.039874, -0.0210965, 0, 0
5, 1800.00000, 0.0395597, 0.220222, 0.0394718, -0.269938, 0.0398594, 0.0488349, 0, 0
5, 2700.00000, 0.0395849, 0.250609, 0.0394308, -0.263174, 0.0398749, 0.0113707, 0, 0
6, 0.00000, 0.0395931, 0.255357, 0.0394205, -0.258318, 0.0398771, 0.00173497, 0, 0
6, 900.00000, 0.0395868, 0.242341, 0.039436, -0.258427, 0.039868, 0.0150024, 0, 0
6, 1800.00000, 0.0395747, 0.254847, 0.0394335, -0.287026, 0.0398827, 0.0309083, 0, 0
6, 2700.00000, 0.0395732, 0.263186, 0.03943, -0.29439, 0.0398877, 0.0298245, 0, 0
7, 0.00000, 0.039572, 0.25863, 0.0394318, -0.296622, 0.0398871, 0.036641, 0, 0
7, 900.00000, 0.039575, 0.261769, 0.0394302, -0.292092, 0.0398858, 0.0290912, 0, 0
7, 1800.00000, 0.0395667, 0.250606, 0.0394401, -0.291629, 0.0398841, 0.0397817, 0, 0
7, 2700.00000, 0.0395744, 0.247226, 0.0394346, -0.277599, 0.0398821, 0.0295204, 0, 0
8, 0.00000, 0.0395806, 0.255085, 0.0394239, -0.275488, 0.0398863, 0.0191522, 0, 0
8, 900.00000, 0.0395792, 0.24376, 0.0394335, -0.270448, 0.039878, 0.0254085, 0, 0
8, 1800.00000, 0.0395698, 0.240324, 0.0394351, -0.275367, 0.0398859, 0.0337694, 0, 0
8, 2700.00000, 0.0395769, 0.233502, 0.0394381, -0.260454, 0.0398759, 0.0259895, 0, 0
9, 0.00000, 0.0395571, 0.207138, 0.0394818, -0.265011, 0.0398518, 0.0569973, 0, 0
9, 900.00000, 0.0395546, 0.19892, 0.0394876, -0.261966, 0.0398485, 0.0621755, 0, 0
9, 1800.00000, 0.0395588, 0.22942, 0.0394656, -0.285497, 0.0398662, 0.0548186, 0, 0
9, 2700.00000, 0.0395509, 0.20407, 0.0394824, -0.267845, 0.0398575, 0.0628958, 0, 0
10, 0.00000, 0.0395716, 0.209673, 0.0394552, -0.246136, 0.0398636, 0.0353031, 0, 0
10, 900.00000, 0.0395607, 0.200656, 0.0394676, -0.251471, 0.0398627, 0.0502323, 0, 0
10, 1800.00000, 0.039565, 0.225669, 0.0394467, -0.271551, 0.0398791, 0.0447785, 0, 0
10, 2700.00000, 0.039573, 0.230101, 0.0394431, -0.268017, 0.0398749, 0.0370349, 0, 0
11, 0.00000, 0.0395872, 0.239264, 0.0394323, -0.25841, 0.0398712, 0.0179711, 0, 0
11, 900.00000, 0.0395753, 0.232867, 0.0394416, -0.267687, 0.0398739, 0.0337112, 0, 0
11, 1800.00000, 0.0396099, 0.216008, 0.0394525, -0.210297, 0.0398282, -0.00642722, 0, 0
11, 2700.00000, 0.0395905, 0.184732, 0.039489, -0.207176, 0.0398109, 0.0218235, 0, 0
12, 0.00000, 0.0395903, 0.17806, 0.0394944, -0.200831, 0.0398057, 0.0221816, 0, 0
12, 900.00000, 0.0395824, 0.164009, 0.0395083, -0.197099, 0.0397998, 0.0326775, 0, 0
12, 1800.00000, 0.0395985, 0.194164, 0.0394705, -0.20365, 0.0398214, 0.00870744, 0, 0
12, 2700.00000, 0.0396018, 0.168424, 0.0394872, -0.178616, 0.0398016, 0.00985907, 0, 0
13, 0.00000, 0.0396035, 0.189719, 0.0394695, -0.199087, 0.0398174, 0.00861097, 0, 0
13, 900.00000, 0.0396019, 0.147291, 0.039503, -0.159662, 0.0397855, 0.0119923, 0, 0
13, 1800.00000, 0.0395771, 0.131608, 0.039522, -0.172057, 0.0397912, 0.0399867, 0, 0
13, 2700.00000, 0.0395632, 0.138218, 0.0395253, -0.195154, 0.0398018, 0.0564479, 0, 0
14, 0.00000, 0.0395723, 0.110581, 0.0395465, -0.155737, 0.0397719, 0.0454077, 0, 0
14, 900.00000, 0.0395704, 0.0858136, 0.0395688, -0.132742, 0.039751, 0.0466763, 0, 0
14, 1800.00000, 0.0395701, 0.0863211, 0.0395691, -0.135202, 0.0397514, 0.0490783, 0, 0
14, 2700.00000, 0.0395724, 0.097135, 0.0395642, -0.140886, 0.039754, 0.0439106, 0, 0
15, 0.00000, 0.0395814, 0.117068, 0.0395498, -0.148409, 0.0397596, 0.0316312, 0, 0
15, 900.00000, 0.0396018, 0.128966, 0.0395281, -0.135089, 0.0397607, 0.00629378, 0, 0
15, 1800.00000, 0.0396043, 0.134679, 0.0395239, -0.139992, 0.0397623, 0.00540607, 0, 0
15, 2700.00000, 0.0396064, 0.136989, 0.0395208, -0.141955, 0.0397632, 0.00483458, 0, 0
16, 0.00000, 0.0396086, 0.143205, 0.0395164, -0.141948, 0.0397653, -0.00153637, 0, 0
16, 900.00000, 0.0396043, 0.141701, 0.0395233, -0.141814, 0.039763, 0.000226132, 0, 0
16, 1800.00000, 0.0395916, 0.125334, 0.0395385, -0.143882, 0.0397606, 0.0188037, 0, 0
16, 2700.00000, 0.0396061, 0.134998, 0.0395284, -0.139577, 0.0397558, 0.00436479, 0, 0
17, 0.00000, 0.0395987, 0.130241, 0.0395341, -0.145497, 0.0397576, 0.0152227, 0, 0
17, 900.00000, 0.0396091, 0.13682, 0.0395281, -0.138678, 0.0397529, 0.00134921, 0, 0
17, 1800.00000, 0.039604, 0.120633, 0.0395401, -0.134515, 0.0397462, 0.0137803, 0, 0
17, 2700.00000, 0.039602, 0.100853, 0.0395532, -0.121087, 0.0397349, 0.0199088, 0, 0
18, 0.00000, 0.0396065, 0.124594, 0.0395353, -0.134515, 0.0397484, 0.00960994, 0, 0
18, 900.00000, 0.0396123, 0.134719, 0.0395227, -0.133959, 0.039755, -0.00114301, 0, 0
18, 1800.00000, 0.0396128, 0.134916, 0.0395232, -0.142749, 0.039754, 0.00721888, 0, 0
18, 2700.00000, 0.0396201, 0.156274, 0.039511, -0.145433, 0.0397585, -0.0119585, 0, 0
