hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
13, 1800.00000, 0.150001, 0.0904899, 0.149881, -0.13278, 0.150658, 0.0419949, 0, 0
13, 2700.00000, 0.149961, 0.096743, 0.149889, -0.151397, 0.15069, 0.054345, 0, 0
14, 0.00000, 0.149998, 0.0743642, 0.149953, -0.116771, 0.150591, 0.0426423, 0, 0
14, 900.00000, 0.150023, 0.0564454, 0.150008, -0.090611, 0.150508, 0.0340227, 0, 0
14, 1800.00000, 0.150009, 0.0566762, 0.150012, -0.0966818, 0.15052, 0.0401774, 0, 0
14, 2700.00000, 0.15001, 0.0622278, 0.150007, -0.100719, 0.150525, 0.0386399, 0, 0
15, 0.00000, 0.150036, 0.07549, 0.14997, -0.104633, 0.150536, 0.0294014, 0, 0
15, 900.00000, 0.15005, 0.0800677, 0.149929, -0.104788, 0.150562, 0.0248773, 0, 0
15, 1800.00000, 0.150065, 0.0862251, 0.149911, -0.107997, 0.150566, 0.0219318, 0, 0
15, 2700.00000, 0.15007, 0.0872493, 0.149903, -0.108994, 0.150568, 0.0216364, 0, 0
16, 0.00000, 0.150076, 0.0920992, 0.149889, -0.109332, 0.150575, 0.0170619, 0, 0
16, 900.00000, 0.150071, 0.0923875, 0.149907, -0.107725, 0.150564, 0.0155224, 0, 0
16, 1800.00000, 0.15002, 0.0775014, 0.149963, -0.111233, 0.150558, 0.0338599, 0, 0
16, 2700.00000, 0.15007, 0.0883468, 0.149923, -0.108377, 0.150548, 0.01998, 0, 0
17, 0.00000, 0.150051, 0.0840886, 0.14994, -0.112006, 0.15055, 0.0278856, 0, 0
17, 900.00000, 0.150089, 0.0907102, 0.149919, -0.104698, 0.150532, 0.0136497, 0, 0
17, 1800.00000, 0.150069, 0.0785806, 0.149954, -0.103384, 0.150518, 0.0246843, 0, 0
17, 2700.00000, 0.150064, 0.0650665, 0.14999, -0.0950032, 0.150486, 0.0298, 0, 0
18, 0.00000, 0.150065, 0.0766759, 0.149957, -0.104817, 0.150518, 0.0279565, 0, 0
