hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
0, 900.00000, 0.202212, 0.213972, 0.201351, -0.17665, 0.203125, -0.0367516, 0, 0
0, 1800.00000, 0.202119, 0.256967, 0.201171, -0.241909, 0.203392, -0.0162233, 0, 0
0, 2700.00000, 0.202081, 0.243407, 0.201258, -0.234196, 0.203345, -0.0100124, 0, 0
1, 0.00000, 0.202093, 0.239741, 0.201261, -0.225655, 0.203328, -0.0149885, 0, 0
1, 900.00000, 0.202161, 0.227191, 0.201275, -0.193086, 0.203247, -0.0347198, 0, 0
1, 1800.00000, 0.202237, 0.275638, 0.201089, -0.215529, 0.203358, -0.0609577, 0, 0
1, 2700.00000, 0.202247, 0.278069, 0.201072, -0.211362, 0.203364, -0.0676794, 0, 0
2, 0.00000, 0.202183, 0.291446, 0.201055, -0.241997, 0.203447, -0.0500968, 0, 0
2, 900.00000, 0.202124, 0.26695, 0.201141, -0.23997, 0.203418, -0.0280835, 0, 0
2, 1800.00000, 0.202025, 0.280454, 0.201089, -0.275439, 0.20357, -0.00625084, 0, 0
2, 2700.00000, 0.202033, 0.294175, 0.201043, -0.286413, 0.203609, -0.00910605, 0, 0
3, 0.00000, 0.202016, 0.296893, 0.201028, -0.295965, 0.20364, -0.00247027, 0, 0
3, 900.00000, 0.202007, 0.295494, 0.201027, -0.296693, 0.203652, -0.000217075, 0, 0
3, 1800.00000, 0.202061, 0.259811, 0.201185, -0.252764, 0.203438, -0.0080442, 0, 0
3, 2700.00000, 0.202051, 0.277742, 0.201105, -0.271758, 0.203527, -0.00754784, 0, 0
4, 0.00000, 0.202032, 0.261462, 0.201168, -0.261795, 0.203485, -0.000837812, 0, 0
4, 900.00000, 0.20202, 0.260926, 0.201186, -0.260757, 0.20348, -0.000924727, 0, 0
4, 1800.00000, 0.202045, 0.267975, 0.20114, -0.264497, 0.203499, -0.00470143, 0, 0
4, 2700.00000, 0.202041, 0.263688, 0.201149, -0.262863, 0.203493, -0.00221509, 0, 0
5, 0.00000, 0.20203, 0.265034, 0.201144, -0.265553, 0.20351, -0.000803683, 0, 0
5, 900.00000, 0.202072, 0.274757, 0.201094, -0.264425, 0.203517, -0.0117597, 0, 0
5, 1800.00000, 0.201814, 0.211666, 0.201437, -0.276465, 0.203434, 0.0638584, 0, 0
5, 2700.00000, 0.201949, 0.245401, 0.201218, -0.270507, 0.203517, 0.0238556, 0, 0
6, 0.00000, 0.201988, 0.249166, 0.201168, -0.265892, 0.203528, 0.0154405, 0, 0
6, 900.00000, 0.201958, 0.236445, 0.201246, -0.265752, 0.20348, 0.0281639, 0, 0
6, 1800.00000, 0.201897, 0.249626, 0.201231, -0.294349, 0.203556, 0.0433903, 0, 0
6, 2700.00000, 0.201888, 0.258013, 0.201212, -0.302242, 0.203584, 0.0427798, 0, 0
7, 0.00000, 0.201883, 0.253684, 0.201224, -0.303827, 0.203578, 0.0487351, 0, 0
7, 900.00000, 0.201898, 0.256988, 0.201216, -0.299132, 0.203571, 0.0408468, 0, 0
7, 1800.00000, 0.201856, 0.245594, 0.201264, -0.299288, 0.203565, 0.0523822, 0, 0
7, 2700.00000, 0.201895, 0.242087, 0.201235, -0.285391, 0.203556, 0.0423601, 0, 0
8, 0.00000, 0.201927, 0.249964, 0.201182, -0.28263, 0.203575, 0.0313563, 0, 0
8, 900.00000, 0.201913, 0.234864, 0.20124, -0.276984, 0.203531, 0.0407772, 0, 0
8, 1800.00000, 0.201863, 0.235897, 0.201236, -0.286064, 0.203585, 0.0487965, 0, 0
8, 2700.00000, 0.201902, 0.229889, 0.20125, -0.270857, 0.203532, 0.0399162, 0, 0
9, 0.00000, 0.201783, 0.196719, 0.201466, -0.281193, 0.203436, 0.0833905, 0, 0
9, 900.00000, 0.201775, 0.190802, 0.201491, -0.278117, 0.203417, 0.0862624, 0, 0
9, 1800.00000, 0.20181, 0.225436, 0.201391, -0.295912, 0.203482, 0.06913, 0, 0
9, 2700.00000, 0.201759, 0.197322, 0.20146, -0.284342, 0.203465, 0.0859396, 0, 0
10, 0.00000, 0.201868, 0.204418, 0.201316, -0.2639, 0.203498, 0.058088, 0, 0
10, 900.00000, 0.201819, 0.197891, 0.201399, -0.262722, 0.203467, 0.0642208, 0, 0
10, 1800.00000, 0.201837, 0.222991, 0.201268, -0.290073, 0.20358, 0.0657593, 0, 0
10, 2700.00000, 0.201882, 0.228377, 0.201248, -0.285989, 0.203556, 0.0565885, 0, 0
11, 0.00000, 0.201958, 0.238159, 0.201192, -0.275827, 0.203534, 0.0363024, 0, 0
11, 900.00000, 0.201896, 0.23167, 0.201242, -0.284435, 0.203546, 0.0514758, 0, 0
11, 1800.00000, 0.202079, 0.214877, 0.201301, -0.225552, 0.203303, 0.00983715, 0, 0
11, 2700.00000, 0.201978, 0.18295, 0.201494, -0.221186, 0.203211, 0.0375111, 0, 0
12, 0.00000, 0.201977, 0.176057, 0.201524, -0.214142, 0.203181, 0.0373991, 0, 0
12, 900.00000, 0.201935, 0.160769, 0.2016, -0.209366, 0.203147, 0.0480926, 0, 0
12, 1800.00000, 0.202017, 0.190751, 0.201406, -0.215997, 0.203259, 0.0243672, 0, 0
12, 2700.00000, 0.202029, 0.164022, 0.201499, -0.190517, 0.203155, 0.0260956, 0, 0
13, 0.00000, 0.202042, 0.186332, 0.201404, -0.210925, 0.203237, 0.0237482, 0, 0
13, 900.00000, 0.202036, 0.143457, 0.201578, -0.170398, 0.203067, 0.0264982, 0, 0
13, 1800.00000, 0.201894, 0.122438, 0.201696, -0.181136, 0.203092, 0.0581681, 0, 0
13, 2700.00000, 0.201821, 0.129275, 0.201714, -0.204282, 0.203147, 0.0744517, 0, 0
14, 0.00000, 0.20187, 0.101352, 0.201825, -0.164223, 0.202989, 0.0630808, 0, 0
14, 900.00000, 0.201861, 0.0764637, 0.201941, -0.14074, 0.202879, 0.0639749, 0, 0
14, 1800.00000, 0.20186, 0.077247, 0.201942, -0.143175, 0.202881, 0.0660896, 0, 0
14, 2700.00000, 0.20188, 0.0916146, 0.201906, -0.149817, 0.202898, 0.0583284, 0, 0
15, 0.00000, 0.201933, 0.114091, 0.201823, -0.157866, 0.202928, 0.0440538, 0, 0
15, 900.00000, 0.202041, 0.126047, 0.20171, -0.14432, 0.202933, 0.0184151, 0, 0
15, 1800.00000, 0.202056, 0.131772, 0.201688, -0.1487, 0.20294, 0.0170019, 0, 0
15, 2700.00000, 0.202068, 0.134002, 0.201671, -0.150151, 0.202943, 0.0159996, 0, 0
16, 0.00000, 0.202078, 0.140363, 0.201649, -0.150456, 0.202955, 0.0097855, 0, 0
16, 900.00000, 0.202055, 0.138905, 0.201685, -0.150511, 0.202943, 0.0116748, 0, 0
16, 1800.00000, 0.201991, 0.122196, 0.201765, -0.151692, 0.202928, 0.0297837, 0, 0
16, 2700.00000, 0.202068, 0.131789, 0.201713, -0.146431, 0.202901, 0.0144952, 0, 0
17, 0.00000, 0.202029, 0.126924, 0.201743, -0.152479, 0.20291, 0.0254713, 0, 0
17, 900.00000, 0.202082, 0.133213, 0.201714, -0.145652, 0.202884, 0.0119192, 0, 0
17, 1800.00000, 0.202056, 0.11685, 0.201776, -0.141632, 0.20285, 0.0246402, 0, 0
17, 2700.00000, 0.202045, 0.0969463, 0.201843, -0.128382, 0.202792, 0.0310895, 0, 0
18, 0.00000, 0.202065, 0.120771, 0.201752, -0.142412, 0.202863, 0.0213025, 0, 0
18, 900.00000, 0.202095, 0.131256, 0.201683, -0.143377, 0.202902, 0.0115514, 0, 0
18, 1800.00000, 0.202099, 0.131302, 0.201685, -0.151725, 0.202896, 0.019791, 0, 0
18, 2700.00000, 0.202137, 0.152789, 0.20162, -0.154768, 0.202921, 0.000770692, 0, 0
19, 0.00000, 0.202168, 0.155229, 0.201612, -0.152215, 0.202901, -0.00350787, 0, 0
19, 900.00000, 0.202135, 0.159449, 0.201609, -0.163382, 0.202936, 0.0031998, 0, 0
19, 1800.00000, 0.202084, 0.161207, 0.201625, -0.173285, 0.202973, 0.0116558, 0, 0
19, 2700.00000, 0.20204, 0.151117, 0.201654, -0.178677, 0.202986, 0.0267795, 0, 0
20, 0.00000, 0.201994, 0.17316, 0.201588, -0.212259, 0.2031, 0.0383576, 0, 0
20, 900.00000, 0.201956, 0.167636, 0.201604, -0.211629, 0.203122, 0.04335, 0, 0
20, 1800.00000, 0.201984, 0.187202, 0.201539, -0.227361, 0.20316, 0.0395799, 0, 0
20, 2700.00000, 0.20198, 0.197458, 0.20149, -0.23396, 0.203212, 0.035662, 0, 0
