bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
235894,0,1698,189083.0,150%+,,3,Cold,Not in a census Place,G3000170,,Single-Family Detached,1,Electricity,72F,Yes,12F,Night +5h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,180000-199999,2,50%,91%,Occupied,Electric Standard,Electricity,3.11,0.0,50.38,0,50,14148.2989836342,0.0,0.0,0.0,1722.3786794021498,20142.188510796488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20142.188510796488,3824.0,48270.0,4751.0,7.964600000000001,21.2785,4.505,50.375,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
237098,0,1228,64407.0,120-150%,,3,Cold,"MT, Missoula",G3000630,,Single-Family Detached,1,Natural Gas,70F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,60000-69999,1,50%,91%,Occupied,Natural Gas Standard,Natural Gas,16.72,0.0,50.57,0,40,0.0,632.1542983614834,0.0,0.0,0.0,4459.662474810706,0.0,0.0,0.0,0.0,26025.59024450385,0.0,2351.016124921566,28920.25320459489,0.0,0.0,0.0,0.0,33379.9156794056,8599.0,84294.0,2419.0,6.4003000000000005,5.2044,16.461,51.726,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
237138,0,1698,27012.0,30-60%,,2,Cold,"MT, Missoula",G3000630,,Single-Family Detached,1,Natural Gas,70F,Yes,3F,Night +1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,25000-29999,1,100%,91%,Occupied,Natural Gas Standard,Natural Gas,21.4,0.0,75.03,0,30,0.0,1022.8180349010556,0.0,0.0,0.0,6716.895857277162,0.0,0.0,0.0,0.0,36511.380064195786,0.0,3193.3023805965336,40384.60732759188,0.0,0.0,0.0,0.0,47101.50318486904,22107.0,103094.0,4400.0,10.885,10.0979,23.278,66.4,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
237384,0,881,0.0,Not Available,,2,Cold,In another census Place,G3000530,,Single-Family Detached,2,Electricity,55F,Yes,6F,Day and Night +2h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,200%,91%,Vacant,Electric Standard,Electricity,31.37,77.97,31.37,0,30,4915.974131068856,460.1215801703889,2404.9412018332555,64.18256436771667,365.1665534345889,10402.557635763029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10402.557635763029,10460.0,51779.0,0.0,3.3858,16.8629,23.896,54.375,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
238008,0,1698,42184.0,80-100%,,4,Cold,Not in a census Place,G3000990,,Single-Family Detached,1,Natural Gas,70F,Yes,6F,Night +5h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,40000-44999,1,100%,91%,Occupied,Electric Standard,Electricity,14.33,0.0,58.06,0,50,0.0,857.23288025375,0.0,0.0,1500.2308082116056,7703.959221617205,0.0,0.0,0.0,0.0,30289.188173369337,0.0,0.0,30969.11305616889,0.0,0.0,0.0,0.0,38673.0722777861,18670.0,85439.0,4010.0,6.344399999999999,7.5615,15.107,62.009,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
238279,0,1228,12655.0,0-30%,,2,Cold,"MT, Missoula",G3000630,,Single-Family Detached,1,Natural Gas,67F,No,0F,,"Room AC, EER 9.8",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,10000-14999,2,100%,91%,Occupied,Natural Gas Standard,Natural Gas,2.01,0.0,32.87,0,30,0.0,340.8416546102944,0.0,0.0,0.0,4700.566894492273,0.0,0.0,0.0,0.0,14050.413246196678,0.0,4603.853441335439,18654.26668753212,0.0,0.0,0.0,0.0,23354.833582024392,2206.0,45496.0,8157.0,6.4213000000000005,7.2526,3.065,35.271,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
238424,0,2179,74986.0,80-100%,,3,Cold,Not in a census Place,G3000430,,Single-Family Detached,1,Natural Gas,68F,No,0F,,"Room AC, EER 12.0",80% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,5,200%,91%,Occupied,Natural Gas Tankless,Natural Gas,8.48,0.0,36.62,0,0,0.0,320.3266796982389,0.0,0.0,0.0,10918.948861406485,0.0,0.0,0.0,0.0,13009.717876015116,0.0,14247.650076422584,29693.960829849555,0.0,0.0,0.0,0.0,40612.909691256034,13535.0,42058.0,36660.0,7.2927,7.6934,10.852,36.136,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
238652,0,881,16639.0,30-60%,,2,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,1,Natural Gas,70F,Yes,3F,Night -2h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,15000-19999,1,50%,91%,Occupied,Electric Standard,Electricity,15.44,0.0,51.85,0,30,0.0,780.4482598686277,0.0,0.0,1002.0099889188276,6482.14593006921,0.0,0.0,0.0,0.0,25733.98452968249,0.0,0.0,25733.98452968249,0.0,0.0,0.0,0.0,32216.1304597517,14776.0,72573.0,2292.0,7.4232,7.3905,17.072,63.971,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
238697,0,1698,129299.0,150%+,,3,Cold,In another census Place,G3000490,,Single-Family Detached,1,Natural Gas,75F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,4,200%,91%,Occupied,Natural Gas Standard,Natural Gas,34.65,0.0,108.41,0,40,0.0,1655.5584754028832,0.0,0.0,0.0,13766.134308129622,0.0,0.0,0.0,0.0,58265.75253200968,0.0,13669.71392604296,71935.17338698247,0.0,0.0,0.0,0.0,85701.30769511209,44151.0,164673.0,31334.0,9.6207,8.5809,35.93,106.861,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
239044,0,1228,270137.0,150%+,,3,Cold,In another census Place,G3000470,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night -5h,,,,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,200000+,4,50%,91%,Occupied,Natural Gas Tankless,Natural Gas,0.0,0.0,34.84,0,0,0.0,300.6909179967,0.0,0.0,0.0,6617.251693418606,0.0,0.0,0.0,0.0,12374.046724811567,0.0,3391.1253529627834,17729.334390068583,0.0,0.0,0.0,0.0,24346.58608348719,0.0,40005.0,8725.0,7.4269,8.4251,0.0,30.696,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT
