Source_File,State,Matched_Buildings,Tolerance
res_1113.parquet,MT,"[44149, 113175, 190918, 216487, 256192, 312392, 527227]",5
res_1115.parquet,MT,"[16610, 19379, 99076, 110418, 120236, 140071, 142544, 180039]",10
res_1117.parquet,MT,"[21944, 52939, 65095, 74079, 96263, 96374, 110286, 114857, 126146, 128693, 130079, 134052, 157494, 188799, 245761, 252435, 252620, 254592, 267613, 309133, 316876, 316937, 321836, 347839, 350661, 360585, 385607, 385893, 392721, 395319, 401489, 415757, 423918, 426913, 445537, 452497, 454091, 456181, 493999, 505850, 513770, 526430]",15
res_112.parquet,MT,[424723],40
res_1120.parquet,MT,"[4953, 21261, 82224, 176595, 192296, 208328, 226110, 274043, 285884, 299007, 307523, 386807, 396510, 402453, 433796, 445571, 454967, 474523, 514429, 517693]",20
res_1121.parquet,MT,[424723],50
res_1124.parquet,MT,[93871],25
res_1128.parquet,MT,[494976],15
res_1135.parquet,MT,"[36308, 68953, 217839, 340021, 496046, 508041]",15
res_1138.parquet,MT,[9342],30
res_114.parquet,MT,"[31500, 34599, 44088, 59118, 73994, 88623, 92195, 111252, 111769, 130936, 140947, 208538, 212024, 216000, 217379, 242925, 249629, 267760, 280693, 283213, 315317, 331303, 399269, 416336, 421586, 427686, 451931, 453058, 454505, 455963, 477816, 524525, 546357]",15
res_1142.parquet,MT,"[1403, 7647, 10778, 28314, 31500, 37490, 44017, 59118, 62548, 64084, 66977, 73994, 88623, 92195, 111252, 130936, 143261, 143709, 156064, 159510, 175578, 195762, 202377, 208538, 212024, 213745, 215932, 226832, 227544, 235368, 242234, 242925, 267760, 277210, 280693, 282869, 283073, 288603, 293470, 315317, 327595, 327686, 331937, 343012, 403636, 407406, 416336, 421586, 426622, 427310, 448131, 451931, 454559, 466157, 477816, 487485, 489600, 490055, 496513, 524525, 528669, 545718, 546357]",10
res_1144.parquet,MT,"[135655, 166598, 204231]",25
res_1146.parquet,MT,"[90560, 112553, 167944, 195762, 214098, 317533, 344652, 408049, 488832, 519214, 528576, 539925]",5
res_1148.parquet,MT,"[159135, 325668, 332702, 499687, 525414]",10
res_1149.parquet,MT,"[25591, 252098]",50
res_1153.parquet,MT,"[16610, 98207, 99076, 110418, 120236, 132306, 146221, 262114, 313289, 316244, 321643, 338533, 359333, 365710, 376680, 415874, 464253, 481187]",10
res_1155.parquet,MT,"[1853, 57173, 58427, 65135, 84355, 94967, 108254, 112755, 183198, 187371, 232007, 321929, 332742, 350035, 353483, 372452, 375098, 394566, 429745]",25
res_1157.parquet,MT,"[113175, 118679, 170488, 170814, 204159, 305252, 312392, 324393, 427492, 438998, 473458, 537910]",15
res_1159.parquet,MT,[494976],10
res_116.parquet,MT,"[257610, 460616]",10
res_1160.parquet,MT,"[143709, 277210, 327686, 454559, 490055, 496513]",10
res_1161.parquet,MT,"[108785, 215607, 219441]",25
res_1162.parquet,MT,"[13693, 140071, 180039]",10
res_1166.parquet,MT,[278296],5
res_1173.parquet,MT,"[116468, 133654]",15
res_1174.parquet,MT,"[38070, 89355, 114109, 114857, 157494, 183734, 183986, 277862, 288346, 356183, 378910, 393137, 395721, 415875, 435248, 463956, 487211, 508034, 524356]",10
res_1176.parquet,MT,"[337335, 371830, 538357]",25
res_1177.parquet,MT,"[116343, 119073, 150214, 469082]",10
res_1178.parquet,MT,[132930],60
res_1179.parquet,MT,[424723],30
res_1180.parquet,MT,[424723],90
res_1181.parquet,MT,"[457540, 468325]",20
res_1183.parquet,MT,"[57049, 116468, 129560, 133654, 223148, 340021, 354532, 370278, 496046, 508041]",15
res_1184.parquet,MT,"[200860, 484947]",5
res_1186.parquet,MT,"[13375, 106657, 134544, 144694, 153945, 406029, 412039, 538267]",10
res_1187.parquet,MT,"[324393, 543184]",10
res_1189.parquet,MT,[424723],40
res_119.parquet,MT,"[46094, 87822, 90871, 120493, 160384, 172430, 190616, 241842, 297012, 314702, 315589, 328292, 337759, 400382, 401970, 406129, 450800, 451767, 454483, 475473, 518672]",20
res_1190.parquet,MT,"[88697, 543184]",10
res_1194.parquet,MT,[479520],10
res_1195.parquet,MT,"[114962, 235495, 245711, 371830, 388614, 403077, 495487, 505357, 538357]",15
res_1198.parquet,MT,[424723],75
res_1200.parquet,MT,"[39658, 62256, 69392, 142033, 189550, 239289, 246638, 283213, 303239, 307734, 314390, 342072, 365944, 431714, 441900]",45
res_1204.parquet,MT,"[146221, 313289, 376680]",10
res_1205.parquet,MT,"[102854, 200667, 243835, 410093, 410527]",10
res_1209.parquet,MT,"[88697, 543184]",10
res_121.parquet,MT,"[105900, 118679, 204159]",5
res_1212.parquet,MT,"[186188, 189311, 340409, 384892, 431193]",30
res_1213.parquet,MT,[153454],5
res_1220.parquet,MT,"[119460, 543184]",15
res_1223.parquet,MT,[25591],30
res_1224.parquet,MT,"[28314, 31500, 59118, 62548, 63328, 64084, 87541, 88623, 92195, 93869, 143261, 155028, 158072, 159510, 208538, 212024, 215932, 227544, 235368, 249373, 267760, 277210, 280693, 282869, 283073, 288603, 293470, 327595, 331937, 343012, 403636, 407406, 421586, 427310, 448131, 451045, 451931, 458539, 475326, 477816, 487485, 499681, 524525, 528669]",10
res_1226.parquet,MT,"[61072, 112011, 123539, 154106, 160458, 179411, 216380, 225460, 260286, 264067, 326339, 332563, 341674, 343688, 354020, 367287, 403922, 460187, 486622, 497181]",20
res_1228.parquet,MT,[57772],5
res_1229.parquet,MT,"[113262, 291082, 418786]",20
res_123.parquet,MT,"[133225, 237384]",60
