bldg_id,Occurrence_Count,Unique_Source_Files
61828,3,"['res_943.parquet', 'res_1019.parquet', 'res_763.parquet']"
63604,7,"['res_450.parquet', 'res_1019.parquet', 'res_763.parquet', 'res_577.parquet', 'res_740.parquet', 'res_298.parquet', 'res_564.parquet']"
68202,4,"['res_1019.parquet', 'res_427.parquet', 'res_298.parquet', 'res_1066.parquet']"
77673,3,"['res_1019.parquet', 'res_427.parquet', 'res_298.parquet']"
80129,8,"['res_450.parquet', 'res_1019.parquet', 'res_763.parquet', 'res_1034.parquet', 'res_577.parquet', 'res_740.parquet', 'res_298.parquet', 'res_564.parquet']"
107144,3,"['res_1019.parquet', 'res_1234.parquet', 'res_165.parquet']"
124863,6,"['res_450.parquet', 'res_1019.parquet', 'res_414.parquet', 'res_763.parquet', 'res_577.parquet', 'res_298.parquet']"
129560,3,"['res_1019.parquet', 'res_427.parquet', 'res_1183.parquet']"
136303,6,"['res_450.parquet', 'res_1019.parquet', 'res_763.parquet', 'res_577.parquet', 'res_298.parquet', 'res_564.parquet']"
138494,4,"['res_1019.parquet', 'res_577.parquet', 'res_298.parquet', 'res_128.parquet']"
182480,6,"['res_943.parquet', 'res_1066.parquet', 'res_1019.parquet', 'res_414.parquet', 'res_577.parquet', 'res_1081.parquet']"
183427,3,"['res_1019.parquet', 'res_943.parquet', 'res_411.parquet']"
188202,6,"['res_1019.parquet', 'res_763.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet', 'res_564.parquet']"
201877,6,"['res_943.parquet', 'res_450.parquet', 'res_1019.parquet', 'res_414.parquet', 'res_763.parquet', 'res_577.parquet']"
203519,4,"['res_1019.parquet', 'res_427.parquet', 'res_298.parquet', 'res_1020.parquet']"
210280,7,"['res_450.parquet', 'res_1019.parquet', 'res_763.parquet', 'res_577.parquet', 'res_871.parquet', 'res_298.parquet', 'res_564.parquet']"
244015,7,"['res_450.parquet', 'res_1019.parquet', 'res_763.parquet', 'res_577.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet']"
249167,3,"['res_1019.parquet', 'res_1234.parquet', 'res_165.parquet']"
269841,6,"['res_907.parquet', 'res_1019.parquet', 'res_1020.parquet', 'res_763.parquet', 'res_298.parquet', 'res_356.parquet']"
285884,5,"['res_943.parquet', 'res_1019.parquet', 'res_1120.parquet', 'res_1234.parquet', 'res_165.parquet']"
299007,5,"['res_1019.parquet', 'res_1120.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet']"
310544,8,"['res_450.parquet', 'res_907.parquet', 'res_1019.parquet', 'res_1020.parquet', 'res_763.parquet', 'res_577.parquet', 'res_298.parquet', 'res_564.parquet']"
359999,6,"['res_1019.parquet', 'res_414.parquet', 'res_1034.parquet', 'res_577.parquet', 'res_1081.parquet', 'res_298.parquet']"
361320,4,"['res_1019.parquet', 'res_943.parquet', 'res_1234.parquet', 'res_165.parquet']"
370278,4,"['res_1019.parquet', 'res_427.parquet', 'res_1183.parquet', 'res_1081.parquet']"
385265,3,"['res_943.parquet', 'res_1019.parquet', 'res_763.parquet']"
387143,3,"['res_1019.parquet', 'res_943.parquet', 'res_165.parquet']"
408127,4,"['res_1019.parquet', 'res_943.parquet', 'res_1234.parquet', 'res_165.parquet']"
434908,9,"['res_1268.parquet', 'res_879.parquet', 'res_1019.parquet', 'res_907.parquet', 'res_1020.parquet', 'res_763.parquet', 'res_871.parquet', 'res_298.parquet', 'res_564.parquet']"
445571,5,"['res_1019.parquet', 'res_1120.parquet', 'res_1034.parquet', 'res_740.parquet', 'res_298.parquet']"
454967,5,"['res_1019.parquet', 'res_1120.parquet', 'res_1234.parquet', 'res_165.parquet', 'res_805.parquet']"
467217,5,"['res_30.parquet', 'res_1019.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_356.parquet']"
474523,5,"['res_943.parquet', 'res_1019.parquet', 'res_1120.parquet', 'res_763.parquet', 'res_748.parquet']"
490150,3,"['res_943.parquet', 'res_1019.parquet', 'res_763.parquet']"
