Source_File,State,Matched_Buildings,Tolerance
com_13085.parquet,MT,"[184297, 184381, 184505, 184575, 184828, 184829, 184857, 184867, 184903, 184908]",25.0
com_13088.parquet,MT,[184717],30.0
com_13090.parquet,MT,[],
com_13096.parquet,MT,"[184349, 184522, 184597, 184636]",40.0
com_13100.parquet,MT,[184551],15.0
com_13102.parquet,MT,"[184285, 184358, 184413, 184664, 184878]",20.0
com_13103.parquet,MT,[184805],30.0
com_13107.parquet,MT,[184124],30.0
com_13109.parquet,MT,[],
com_13112.parquet,MT,"[184581, 184694, 184838]",20.0
com_13114.parquet,MT,"[184141, 184716, 184807]",25.0
com_13116.parquet,MT,"[184213, 184300, 184394, 184495, 185024]",20.0
com_13121.parquet,MT,[184717],20.0
com_13123.parquet,MT,"[184401, 184971]",25.0
com_13126.parquet,MT,"[184297, 184505, 184867]",20.0
com_13132.parquet,MT,[184717],25.0
com_13134.parquet,MT,[184754],30.0
com_13135.parquet,MT,"[184554, 184857]",20.0
com_13137.parquet,MT,[184885],20.0
com_13138.parquet,MT,"[184142, 184374]",20.0
com_13141.parquet,MT,"[184288, 184782, 184991]",25.0
com_13144.parquet,MT,[184767],45.0
com_13145.parquet,MT,[184441],20.0
com_13146.parquet,MT,[184646],40.0
com_13147.parquet,MT,[184285],15.0
com_13153.parquet,MT,"[184262, 184812, 184941]",30.0
com_13154.parquet,MT,[184530],20.0
com_13158.parquet,MT,[184797],15.0
com_13164.parquet,MT,[184717],25.0
com_13167.parquet,MT,[184107],15.0
com_13169.parquet,MT,[184694],15.0
com_13171.parquet,MT,[],
com_13172.parquet,MT,"[184349, 184636]",20.0
com_13175.parquet,MT,"[184436, 184863]",15.0
com_13178.parquet,MT,"[184157, 184712, 184755, 184941, 184954]",30.0
com_13182.parquet,MT,"[184167, 184168, 184480, 184561, 184608, 184654, 184656, 184689, 184788, 184843, 184946, 185028]",25.0
com_13187.parquet,MT,"[184107, 184181, 184202, 184338]",20.0
com_13188.parquet,MT,[184608],15.0
com_13190.parquet,MT,"[184142, 184295, 184374]",20.0
com_13193.parquet,MT,[184946],15.0
com_13194.parquet,MT,[184836],30.0
com_13196.parquet,MT,[185005],15.0
com_13202.parquet,MT,"[184372, 184530, 184863]",20.0
com_13210.parquet,MT,"[184580, 184793, 184997]",15.0
com_13212.parquet,MT,[184297],20.0
com_13217.parquet,MT,[184313],15.0
com_13219.parquet,MT,"[184342, 184744]",20.0
com_13221.parquet,MT,[184297],25.0
com_13223.parquet,MT,[184297],25.0
com_13224.parquet,MT,[184471],25.0
com_13226.parquet,MT,"[184394, 184437, 184835, 184962, 184996]",40.0
com_13229.parquet,MT,[184718],20.0
com_13230.parquet,MT,"[184616, 184710, 184727, 185003]",20.0
com_13231.parquet,MT,"[184246, 184821]",30.0
