bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
343215,0,1698,128932.0,150%+,,3,Cold,Not in a census Place,G3000950,,Single-Family Detached,2,Natural Gas,70F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,2,200%,91%,Occupied,Natural Gas Standard,Natural Gas,35.05,0.0,126.86,0,40,0.0,1346.9546385115334,0.0,0.0,0.0,10695.921777005422,0.0,0.0,0.0,0.0,54993.6140335368,0.0,7441.660613813066,63411.49438209355,0.0,0.0,0.0,0.0,74107.41615909897,35375.0,178138.0,15838.0,10.0579,8.7564,35.735,111.198,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
344751,0,5587,270137.0,150%+,,5,Cold,"MT, Billings",G3001110,,Single-Family Detached,1,Natural Gas,68F,Yes,12F,Night -1h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,200000+,4,200%,91%,Occupied,Natural Gas Standard,Natural Gas,23.69,0.0,55.89,0,50,0.0,425.53919389006666,0.0,0.0,0.0,15421.985854602675,0.0,0.0,0.0,0.0,17380.286745493468,0.0,12694.373404509804,30074.367078933097,0.0,0.0,0.0,0.0,45496.352933535774,21793.0,55961.0,29529.0,10.9737,11.1859,21.965,57.368,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
346754,0,5587,108692.0,150%+,,3,Cold,In another census Place,G3001070,,Single-Family Detached,2,Propane,72F,No,0F,,"AC, SEER 13",60% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,100000-119999,2,100%,91%,Occupied,Electric Standard,Electricity,12.43,0.0,77.89,0,50,0.0,1497.5931685800556,0.0,0.0,2797.363364793861,11012.438532791422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52241.67668461965,0.0,0.0,52241.67668461965,63254.11521741107,2067.0,147701.0,8523.0,7.2264,9.9935,19.174,81.313,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
352572,0,2179,108692.0,150%+,,4,Cold,In another census Place,G3000150,,Single-Family Detached,1,Electricity,70F,No,0F,,,,,"Electric Wall Furnace, 100% AFUE",Non-Ducted Heating,Electricity Electric Wall Furnace,,,,100000-119999,2,100%,91%,Occupied,Natural Gas Premium,Natural Gas,0.0,0.0,108.45,0,40,40459.92659262614,0.0,0.0,0.0,0.0,45357.14417520397,0.0,0.0,0.0,0.0,0.0,0.0,4127.90602337575,4127.90602337575,0.0,0.0,0.0,0.0,49485.05019857972,0.0,138041.0,9023.0,13.1816,30.0222,0.0,85.789,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
353483,0,1698,63747.0,120-150%,,2,Cold,"MT, Missoula",G3000630,,Single-Family Detached,1,Electricity,75F,Yes,12F,Night -4h,"AC, SEER 13",100% Conditioned,Central AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,60000-69999,2,200%,91%,Occupied,Electric Standard,Electricity,23.7,0.0,55.71,0,30,26790.79880872352,0.0,0.0,0.0,5049.907610137561,40954.630559076846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40954.630559076846,24071.0,91409.0,16152.000000000002,12.8752,23.512,23.095,55.706,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
354532,0,854,108692.0,150%+,,2,Cold,Not in a census Place,G3000290,,5 to 9 Unit,2,Electricity,70F,Yes,3F,Night +1h,"AC, SEER 13",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,100000-119999,2,100%,105%,Occupied,Electric Standard,Electricity,9.16,0.0,21.31,0,30,8452.169663766888,220.68251583968333,0.0,0.0,2696.253845584444,15609.844410583071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15609.844410583071,3425.0,29566.0,8099.0,9.0811,14.5135,8.095,23.555,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
355927,0,872,129243.0,150%+,,3,Cold,"MT, Bozeman",G3000310,,Single-Family Attached,1,Natural Gas,70F,Yes,3F,Night +4h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,120000-139999,3,50%,79%,Occupied,Natural Gas Premium,Natural Gas,6.6,0.0,11.12,0,40,0.0,85.8698235604611,0.0,0.0,0.0,4450.284200565195,0.0,0.0,0.0,0.0,3992.507188956183,0.0,2734.939226847178,6727.446415803361,0.0,0.0,0.0,0.0,11177.730616368555,2965.0,11178.0,5238.0,5.432600000000001,5.2457,6.063,13.672,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
358611,0,2678,189083.0,150%+,,4,Cold,Not in a census Place,G3000810,,Single-Family Detached,2,Electricity,70F,No,0F,,"AC, SEER 10",80% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,180000-199999,4,100%,91%,Occupied,Electric Standard,Electricity,24.1,0.0,100.71,0,50,39655.153433933214,1040.988441251733,0.0,0.0,5075.1117221723725,56677.01426060605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56677.01426060605,21086.0,138841.0,16228.000000000002,15.5828,31.9369,27.079,71.817,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
358788,0,881,74751.0,150%+,,2,Cold,"MT, Great Falls",G3000130,,Single-Family Detached,1,Natural Gas,68F,Yes,3F,Night -4h,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,70000-79999,1,200%,91%,Occupied,Natural Gas Tankless,Natural Gas,16.61,0.0,59.06,0,0,0.0,719.4894772728056,0.0,0.0,0.0,7142.7281222374,0.0,0.0,0.0,0.0,25413.95092105442,0.0,3083.9868714222944,28497.93779247672,0.0,0.0,0.0,0.0,35640.66591471412,18326.0,71721.0,7935.0,17.7378,17.538700000000002,20.32,82.891,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
359999,0,1228,109096.0,120-150%,,3,Cold,Not in a census Place,G3000710,,Single-Family Detached,1,Propane,60F,No,0F,,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,100000-119999,5,100%,91%,Occupied,Electric Standard,Electricity,0.0,0.0,74.79,0,50,0.0,765.7947063600167,0.0,0.0,6301.321079772951,13311.288007222334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28334.404135320616,0.0,0.0,28334.404135320616,41645.69214254295,0.0,79953.0,20365.0,11.8472,13.0852,0.0,65.273,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,High
