bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State,income_group
189311,0,1698,0.0,Not Available,,5,Cold,Not in a census Place,G3000810,,Single-Family Detached,2,Electricity,55F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,Not Available,0,200%,91%,Vacant,Electric Standard,Electricity,17.5,0.0,42.29,0,66,8247.312985716506,216.57952085727223,0.0,0.0,395.3528736623278,10089.557732819094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10089.557732819094,7899.0,28877.0,0.0,3.2771,7.8013,15.709,19.702,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
215607,0,2179,0.0,Not Available,,4,Cold,In another census Place,G3000070,,Single-Family Detached,1,Electricity,55F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,Not Available,0,100%,91%,Vacant,Electric Premium,Electricity,9.68,0.0,52.21,0,50,12590.626245668838,335.2733042770222,0.0,0.0,218.63101834847777,14777.52257129396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14777.52257129396,10597.0,44100.0,0.0,2.3131,10.0904,10.218,31.402,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
219441,0,1698,0.0,Not Available,,4,Cold,In another census Place,G3000290,,Single-Family Detached,1,Electricity,55F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,Not Available,0,100%,91%,Vacant,Natural Gas Standard,Natural Gas,22.88,0.0,58.19,0,40,15855.144896317222,0.0,0.0,0.0,0.0,18944.113975932443,0.0,0.0,0.0,0.0,0.0,0.0,1889.1361183301444,1889.1361183301444,0.0,0.0,0.0,0.0,20833.25009426259,19310.0,54095.0,0.0,2.761,10.4425,22.703,35.211,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
237384,0,881,0.0,Not Available,,2,Cold,In another census Place,G3000530,,Single-Family Detached,2,Electricity,55F,Yes,6F,Day and Night +2h,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,200%,91%,Vacant,Electric Standard,Electricity,31.37,77.97,31.37,0,30,4915.974131068856,460.1215801703889,2404.9412018332555,64.18256436771667,365.1665534345889,10402.557635763029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10402.557635763029,10460.0,51779.0,0.0,3.3858,16.8629,23.896,54.375,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
253235,0,1698,0.0,Not Available,,3,Cold,"MT, Bozeman",G3000310,,Single-Family Detached,1,Propane,55F,Yes,3F,Night +3h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Wall/Floor Furnace, 68% AFUE",Non-Ducted Heating,Propane Fuel Wall/Floor Furnace,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,16.34,0.0,52.64,0,50,0.0,0.0,0.0,0.0,407.3687875393889,3086.331439983672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18318.99338325509,0.0,0.0,18318.99338325509,21405.324823238763,14086.0,42433.0,0.0,3.6538,1.7278,16.197,43.991,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
261038,0,881,0.0,Not Available,,3,Cold,Not in a census Place,G3000290,,Single-Family Detached,1,Electricity,55F,No,0F,,Ducted Heat Pump,100% Conditioned,Ducted Heat Pump,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Electricity ASHP,,,,Not Available,0,100%,91%,Vacant,Electric Standard,Electricity,29.2,29.0,29.2,0,50,2526.8587670249,284.27893806705555,218.04487620813333,9.671345315683334,365.7526955749333,4847.688571718728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4847.688571718728,13744.0,23085.0,0.0,3.1729000000000003,7.3988,18.167,20.169,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
279107,0,2179,0.0,Not Available,,3,Cold,In another census Place,G3000830,,Single-Family Detached,1,Natural Gas,55F,Yes,3F,Night +5h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,100%,91%,Vacant,Electric Standard,Electricity,32.12,0.0,106.9,0,50,0.0,1011.0951920941668,0.0,0.0,374.5448276801,3757.757261748233,0.0,0.0,0.0,0.0,37927.79254633814,0.0,0.0,37927.79254633814,0.0,0.0,0.0,0.0,41685.549808086376,17481.0,106897.0,0.0,4.0272,2.3634,30.461,78.293,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
291082,0,881,0.0,Not Available,,2,Cold,In another census Place,G3000290,,Single-Family Detached,1,Natural Gas,55F,Yes,3F,Night -5h,"Room AC, EER 9.8",40% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,100%,91%,Vacant,Natural Gas Standard,Natural Gas,3.77,0.0,29.84,0,30,0.0,253.2134046288,0.0,0.0,0.0,1089.0520967599778,0.0,0.0,0.0,0.0,9092.236881023022,0.0,1800.335584067961,10892.27939402081,0.0,0.0,0.0,0.0,11981.331490780787,4883.0,25654.0,0.0,0.4223,0.2657,4.923,24.035,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
317903,0,881,0.0,Not Available,,1,Cold,Not in a census Place,G3000630,,Single-Family Detached,1,Electricity,55F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Electric Furnace, 100% AFUE",Ducted Heating,Electricity Electric Furnace,,,,Not Available,0,50%,91%,Vacant,Electric Standard,Electricity,9.77,0.0,30.92,0,30,5860.835261304101,153.86231184041668,0.0,0.0,379.2339648028556,7828.5144264404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7828.5144264404,8470.0,20521.0,0.0,2.042,5.557,10.056,15.88,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
342822,0,1698,0.0,Not Available,,3,Cold,"MT, Missoula",G3000630,,Single-Family Detached,2,Electricity,55F,No,0F,,,,,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,Not Available,0,200%,91%,Vacant,Electric Standard,Electricity,0.0,0.0,52.0,0,50,12209.92692551512,0.0,0.0,0.0,378.6478226625112,13363.74772878316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13363.74772878316,0.0,41657.0,0.0,1.6888,9.596,0.0,27.416,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
396048,0,3171,0.0,Not Available,,3,Cold,In another census Place,G3000290,,3 or 4 Unit,2,Electricity,55F,Yes,3F,Night +5h,"Room AC, EER 10.7",20% Conditioned,Room AC,Shared Heating,Ducted Heating,Electricity Shared Heating,,,,Not Available,0,50%,96%,Vacant,Natural Gas Standard,Natural Gas,1.94,0.0,27.65,0,40,6879.257230152572,83.2321839289111,0.0,0.0,0.0,7328.535180726589,0.0,0.0,0.0,0.0,0.0,0.0,1698.6399227182,1698.6399227182,0.0,0.0,0.0,0.0,9027.175103444788,16.0,22206.0,0.0,0.1181,8.1126,0.576,30.543,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
418786,0,881,0.0,Not Available,,3,Cold,"MT, Butte-Silver Bow Balance",G3000930,,Single-Family Detached,1,Natural Gas,55F,Yes,12F,Night,"Room AC, EER 10.7",40% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,100%,91%,Vacant,Natural Gas Standard,Natural Gas,4.01,0.0,35.91,0,40,0.0,167.34358106833886,0.0,0.0,0.0,720.9548326236667,0.0,0.0,0.0,0.0,6357.004583105672,0.0,1743.4797964545498,8100.484379560223,0.0,0.0,0.0,0.0,8821.43921218389,1465.0,20334.0,0.0,0.4216,0.3399,5.62,35.397,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
480344,0,2179,0.0,Not Available,,3,Cold,"MT, Great Falls",G3000130,,Single-Family Detached,2,Electricity,55F,Yes,3F,Night -5h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,Not Available,0,100%,91%,Vacant,Electric Standard,Electricity,4.14,0.0,98.68,0,50,20937.5833952439,0.0,0.0,0.0,365.4596245047612,22123.34894516071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22123.34894516071,1208.0,71429.0,0.0,2.0398,26.908,6.389,91.605,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
504363,0,2179,0.0,Not Available,,4,Cold,In another census Place,G3000830,,Single-Family Detached,1,Natural Gas,55F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,Not Available,0,200%,91%,Vacant,Natural Gas Standard,Natural Gas,15.11,0.0,79.47,0,40,0.0,961.8592523052332,0.0,0.0,0.0,4956.417938752622,0.0,0.0,0.0,0.0,36066.79125074453,0.0,1720.0341108407722,37786.8253615853,0.0,0.0,0.0,0.0,42743.24330033793,11888.0,101730.0,0.0,2.3314,1.1248,14.502,77.318,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
542391,0,881,0.0,Not Available,,3,Cold,In another census Place,G3000310,,Single-Family Detached,2,Electricity,55F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Electric Baseboard, 100% Efficiency",Non-Ducted Heating,Electricity Baseboard,,,,Not Available,0,100%,91%,Vacant,"Electric Heat Pump, 50 gal, 3.45 UEF",Electricity,3.16,0.0,60.12,0,50,16253.721551751443,0.0,0.0,0.0,223.3201554712333,17455.019868387382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17455.019868387382,2263.0,55456.0,0.0,2.5759000000000003,15.696,4.764,52.258,Metadata_MT_Residential_MT_baseline_metadata_and_annual_results.csv,MT,Not Available
