folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_VT,325517,1030516.2117491298,1030516.2117491298,1030516.2117491298,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325519,52310.23295128899,110072.15482450975,52310.23295128899,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",57761.92187322076,0.0,1,9
parquet_commercial_202512_comm_VT,325521,3179229.4867779333,3179229.4867779333,3179229.4867779333,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325522,1893260.8028188332,1893260.8028188332,1893260.8028188332,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325523,748201.4907088096,748201.4907088096,748201.4907088096,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325524,120819.9504121349,179560.19667942455,120819.9504121349,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",58740.24626728965,0.0,1,9
parquet_commercial_202512_comm_VT,325525,759409.9846259803,864525.0766708569,759409.9846259803,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",105115.09204487666,0.0,1,9
parquet_commercial_202512_comm_VT,325532,1564557.092897874,1979710.8034703047,1564557.092897874,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",415153.71057243063,0.0,1,9
parquet_commercial_202512_comm_VT,325534,1183680.1071659913,1183680.1071659913,1183680.1071659913,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325535,1418272.335764246,1418272.335764246,1418272.335764246,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325537,335360.91968155885,335360.91968155885,335360.91968155885,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325538,312916.5038402809,451472.36807746306,312916.5038402809,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",138555.8642371822,0.0,1,9
parquet_commercial_202512_comm_VT,325539,2467310.4488169183,2467310.4488169183,2467310.4488169183,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325540,2403872.8429481387,2403872.8429481387,2403872.8429481387,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325542,1727842.7562464636,1727842.7562464636,1727842.7562464636,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325546,152562.16234243265,141958.1339975199,136133.04882515915,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-10604.028344912746,-16429.11351727351,1,2
parquet_commercial_202512_comm_VT,325547,1297001.7345220523,1297001.7345220523,1297001.7345220523,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325549,474096.94041275216,657372.1965234515,474096.94041275216,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",183275.25611069932,0.0,8,2
parquet_commercial_202512_comm_VT,325554,1535721.3952491942,1535721.3952491942,1535721.3952491942,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325555,1435053.2181682931,1435053.2181682931,1435053.2181682931,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325557,61780.535504186984,80339.73807308455,61780.535504186984,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",18559.202568897563,0.0,1,9
parquet_commercial_202512_comm_VT,325558,951994.4388505501,1119375.5360719778,951994.4388505501,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",167381.0972214277,0.0,1,9
parquet_commercial_202512_comm_VT,325559,183560.09767741864,190176.78705043497,175777.59435551707,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",6616.689373016328,-7782.503321901575,1,2
parquet_commercial_202512_comm_VT,325562,1762971.5519322816,1908587.1261654298,1701494.148391097,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",145615.57423314825,-61477.403541184496,1,2
parquet_commercial_202512_comm_VT,325563,979099.0463964548,1076299.3910393901,979099.0463964548,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",97200.34464293532,0.0,1,9
parquet_commercial_202512_comm_VT,325565,1293762.7716688027,1293762.7716688027,1293762.7716688027,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325566,1446369.9110590299,1626982.3289271777,1446369.9110590299,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",180612.41786814784,0.0,1,9
parquet_commercial_202512_comm_VT,325567,108907.89281064432,153661.06617914542,108907.89281064432,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",44753.1733685011,0.0,1,9
parquet_commercial_202512_comm_VT,325570,96533.76507003132,96533.76507003132,96533.76507003132,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325571,308162.3300118743,308162.3300118743,308162.3300118743,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325573,110054.91990175312,188148.78446107788,110054.91990175312,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",78093.86455932476,0.0,1,9
parquet_commercial_202512_comm_VT,325576,603305.8045119379,767374.8518116417,603305.8045119379,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",164069.04729970382,0.0,1,9
parquet_commercial_202512_comm_VT,325577,7610128.202303396,7610128.202303396,7610128.202303396,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325581,1116104.7327473545,1116104.7327473545,1116104.7327473545,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_VT,325587,1259542.2959396492,1397706.05504742,1259542.2959396492,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",138163.75910777086,0.0,1,9
